,Fig Index,DOI,Mistake,Fig ID,Journal,Measurand,Absolute/Relative,Measurement Type,Measurand Level I,Measurand Level II,Log transformation
0,10.1021:acsnano.2c07293_zero_fig1,10.1021:acsnano.2c07293,zero,1,acs_nano,Temperature (°C),Relative,Measured value,Temperature,Temperature,No
1,10.1021:acsnano.2c07436_zero_fig1,10.1021:acsnano.2c07436,zero,1,acs_nano,Hydroxy radicals scavenging (%),Relative,Percentage,Percentage,Percentage,No
2,10.1021:acsnano.2c07439_zero_fig1,10.1021:acsnano.2c07439,zero,1,acs_nano,Intracellular MFI (a.u.),Relative,Calculated value,Relative luminescence,Fluorescence,No
3,10.1021:acsnano.2c08153_zero_fig1,10.1021:acsnano.2c08153,zero,1,acs_nano,Wavelength shift (nm),Absolute,Measured value,Length,Length,No
4,10.1021:acsnano.2c08190_zero_fig1,10.1021:acsnano.2c08190,zero,1,acs_nano,Percentage of DCF fluorescence (%),Relative,Percentage,Percentage,Percentage,No
5,10.1021:acsnano.2c08240_zero_fig1,10.1021:acsnano.2c08240,zero,1,acs_nano,Extracellular ATP (nM),Absolute,Measured value,Concentration,Concentration,No
6,10.1021:acsnano.2c09008_zero_fig1,10.1021:acsnano.2c09008,zero,1,acs_nano,Log10 (CFU/g),Absolute,Measured value,Titer,Concentration,10
7,10.1021:acsnano.2c09127_zero_fig1,10.1021:acsnano.2c09127,zero,1,acs_nano,SOD activity (%),Relative,Percentage,Percentage,Percentage,No
8,10.1021:acsnano.2c09127_zero_fig2,10.1021:acsnano.2c09127,zero,2,acs_nano,BV/TV (%),Relative,Percentage,Percentage,Percentage,No
9,10.1021:acsnano.2c09127_zero_fig3,10.1021:acsnano.2c09127,zero,3,acs_nano,TNF-alpha concentration (pg/mL),Absolute,Measured value,Cytokine concentration,Concentration,No
10,10.1021:acsnano.2c09266_zero_fig1,10.1021:acsnano.2c09266,zero,1,acs_nano,Heart area/body weight,Absolute,Measured value,Area,Others,No
11,10.1021:acsnano.2c09266_zero_fig2,10.1021:acsnano.2c09266,zero,2,acs_nano,Relative fluorescence intensity (AU),Relative,Calculated value,Relative luminescence,Fluorescence,No
12,10.1021:acsnano.2c09664_zero_fig1,10.1021:acsnano.2c09664,zero,1,acs_nano,T/N contrast ratio,Relative,Ratio,Ratio,Ratio,No
13,10.1021:acsnano.2c09664_zero_fig2,10.1021:acsnano.2c09664,zero,2,acs_nano,T/N contrast ratio,Relative,Ratio,Ratio,Ratio,No
14,10.1021:acsnano.2c09729_zero_fig1,10.1021:acsnano.2c09729,zero,1,acs_nano,Female birth weight (g),Absolute,Measured value,Mass,Mass,No
15,10.1021:acsnano.2c09729_zero_fig2,10.1021:acsnano.2c09729,zero,2,acs_nano,Adult male body weight (g),Absolute,Measured value,Mass,Mass,No
16,10.1021:acsnano.2c09729_zero_fig3,10.1021:acsnano.2c09729,zero,3,acs_nano,Adult female body weight (g),Absolute,Measured value,Mass,Mass,No
17,10.1021:acsnano.2c09729_zero_fig4,10.1021:acsnano.2c09729,zero,4,acs_nano,Male birth weight (g),Absolute,Measured value,Mass,Mass,No
18,10.1021:acsnano.2c09908_zero_fig1,10.1021:acsnano.2c09908,zero,1,acs_nano,I_Ex.405nm/I_Ex.488nm,Relative,Ratio,Ratio,Ratio,No
