Publication Title,Percentage of articles with bar graphs,Percentage of articles without bar graphs
Nature Biomedical Engineering,83.4862385321101,16.51376146788991
Cell,95.28619528619528,4.713804713804714
Science Translational Medicine,90.32258064516128,9.67741935483871
ACS Nano,87.98543689320388,12.014563106796118
Science Immunology,95.6896551724138,4.310344827586207
Nature Cancer,100.0,0.0
Nature Nanotechnology,81.81818181818183,18.181818181818183
Nature,87.90613718411552,12.093862815884476
Nature Biotechnology,89.171974522293,10.828025477707007
Nature Cell Biology,97.5,2.5
Science Signaling,90.0990099009901,9.900990099009901
Bioengineering & Translational Medicine,87.12121212121212,12.878787878787879
Nature Neuroscience,83.66013071895425,16.33986928104575
Science,76.35782747603834,23.642172523961662
Nature Plants,85.71428571428571,14.285714285714285
Total,88.13108945969886,11.868910540301151
