"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UISRW6NA","journalArticle","2024","Bauer, Julian; Reichl, Andreas; Tinnefeld, Philip","Kinetic Referencing Allows Identification of Epigenetic Cytosine Modifications by Single-Molecule Hybridization Kinetics and Superresolution DNA-PAINT Microscopy","ACS Nano","","1936-0851","10.1021/acsnano.3c08451","https://doi.org/10.1021/acsnano.3c08451","We develop a DNA origami-based internal kinetic referencing system with a colocalized reference and target molecule to provide increased sensitivity and robustness for transient binding kinetics. To showcase this, we investigate the subtle changes in binding strength of DNA oligonucleotide hybrids induced by cytosine modifications. These cytosine modifications, especially 5-methylcytosine but also its oxidized derivatives, have been increasingly studied in the context of epigenetics. Recently revealed correlations of epigenetic modifications and disease also render them interesting biomarkers for early diagnosis. Internal kinetic referencing allows us to probe and compare the influence of the different epigenetic cytosine modifications on the strengths of 7-nucleotide long DNA hybrids with one or two modified nucleotides by single-molecule imaging of their transient binding, revealing subtle differences in binding times. Interestingly, the influence of epigenetic modifications depends on their position in the DNA strand, and in the case of two modifications, effects are additive. The sensitivity of the assay indicates its potential for the direct detection of epigenetic disease markers.","2024-01-16","2024-07-04 22:19:20","2024-07-05 21:45:29","2024-07-04 22:17:40","1496-1503","","2","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/PFT4PXV4/Bauer et al. - 2024 - Kinetic Referencing Allows Identification of Epige.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LFR2DPL","journalArticle","2024","Song, Haohao; Huang, Wenping; Jia, Fuhao; Wang, Zhihang; Zhang, Jie; Qian, Ruihao; Nie, Gungjun; Wang, Hai","Targeted Degradation of Signal Transduction and Activator of Transcription 3 by Chaperone-Mediated Autophagy Targeting Chimeric Nanoplatform","ACS Nano","","1936-0851","10.1021/acsnano.3c09536","https://doi.org/10.1021/acsnano.3c09536","Chaperone-mediated autophagy (CMA) is a lysosomal-dependent proteolysis pathway for the degradation of cytosolic proteins. However, exploiting CMA-mediated proteolysis to degrade proteins of interest in cancer therapy has not been widely applied. In this study, we develop a CMA-targeting chimera (CMATAC) to efficiently and specifically degrade signal transduction and activator of transcription 3 (STAT3) in tumor cells. CMATAC consists of STAT3 and heat shock cognate 70 kDa protein (HSC70) targeting peptides connected by a linker. To efficiently deliver CMATACs into tumor cells, lipid nanoparticles (LNPs) are used to encapsulate CMATACs (nCMATACs) and decorated with an insulin-like growth factor 2 receptor (IGF2R) targeting peptide (InCMATACs) to achieve tumor targeting and precise delivery. The CMA pathway is activated in tumor cells by a fasting-mimicking diet (FMD). Furthermore, FMD treatment strongly enhances the cellular uptake and tumor accumulation of InCMATACs by upregulating the IGF2R expression. As a result, InCMATACs efficiently degrade STAT3 protein in both A549 and HCC827 tumor cells and inhibit tumor growths in vivo. This study demonstrates that InCMATACs can be used for selective proteolysis in cancer therapy.","2024-01-16","2024-07-04 22:19:20","2024-07-04 23:15:42","2024-07-04 22:17:41","1599-1610","","2","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/N4CX8IGC/Song et al. - 2024 - Targeted Degradation of Signal Transduction and Ac.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSYJICAI","journalArticle","2024","Cao, Dongjian; Qin, Xinxin; Wang, Wenjing; Zhang, Ying; Peng, Sunxiang; Gong, Hui; Luo, Qingming; Yang, Jie","Designing a Hybrid Chain Reaction Probe for Multiplex Transcripts Assay with High-Level Imaging","ACS Nano","","1936-0851","10.1021/acsnano.3c08720","https://doi.org/10.1021/acsnano.3c08720","The hybrid chain reaction (HCR), an isothermal and enzyme-free amplification strategy, has found extensive use in fluorescent in situ hybridization (FISH) assays. However, the existing HCRs are limited, being time-consuming processes and low-efficiency imaging due to weak signal, significantly restricting their application in transcriptomic assays. To address the limitations, we developed nine orthogonal HCR hairpin-pair (hp) probes in this study to enable efficient signal amplification for multiplex assays. To enhance the efficiency and imaging quality of multiplex assays using these HCR probes, we employed two strategies. First, we coupled fluorescent molecules to HCR hairpins via disulfide bonds, facilitating easy removal through chemical cleavage. As a result, the workflow was greatly simplified. Second, we combined HCR with in situ rolling circle amplification (ISRCA), creating ISRCA-HCR, which achieved a 17-fold signal amplification. ISRCA-HCR demonstrated a high-level imaging capability for spatial cell type assays. This study shows the application for cell typing based on the developed HCR probes, enabling accurate and high-level signal amplification for multiplex FISH imaging. This provides an effective research tool for transcriptome and spatial cell type analysis.","2024-01-09","2024-07-04 22:19:20","2024-07-05 21:57:48","2024-07-04 22:17:42","618-629","","1","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/8JF5AHBZ/Cao et al. - 2024 - Designing a Hybrid Chain Reaction Probe for Multip.pdf","","Zero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YJQ3TMP","journalArticle","2024","Shang, Yixuan; Sun, Lingyu; Gan, Jingjing; Xu, Dongyu; Zhao, Yuanjin; Sun, Lingyun","A Biomimetic Cardiac Fibrosis-on-a-Chip as a Visible Disease Model for Evaluating Mesenchymal Stem Cell-Derived Exosome Therapy","ACS Nano","","1936-0851","10.1021/acsnano.3c09368","https://doi.org/10.1021/acsnano.3c09368","Cardiac fibrosis acts as a serious worldwide health issue due to its prevalence in numerous forms of cardiac disease and its essential link to cardiac failure. Considering the efficiency of stem cell therapy for cardiac fibrosis, great efforts have been dedicated to developing accurate models for investigating their underlying therapeutic mechanisms. Herein we present an elaborate biomimetic cardiac fibrosis-on-a-chip based on Janus structural color film (SCF) to provide microphysiological visuals for stem cell therapeutic studies. By coculturing cardiomyocytes (CMs) and cardiac fibroblasts (FBs) on Janus SCF with fibrosis induction, the chip can recreate physiological intercellular crosstalk within the fibrotic microenvironment, elucidating the physiological alterations of fibrotic hearts. In particular, the Janus structural color film possesses superior perceptual capabilities for capturing and responding to a weak cardiac force, demonstrating synchronized structural color shifts. Based on these features, we have not only explored the dynamic relationship between color mapping and the evaluated disease phenotype but also demonstrated the self-reporting capacity of the cardiac fibrosis-on-a-chip for the assessment of mesenchymal stem cell-derived exosome therapy. These features suggest that such a chip can potentially facilitate the evolution of precision medicine strategies and create a protocol for preclinical cardiac drug screening.","2024-01-09","2024-07-04 22:19:20","2024-07-05 21:52:04","2024-07-04 22:17:43","829-838","","1","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/Y8XUS3U8/Shang et al. - 2024 - A Biomimetic Cardiac Fibrosis-on-a-Chip as a Visib.pdf","","Zero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8YXHYM4","journalArticle","2024","Wang, Min; Li, Ting; Tian, Jing; Zhang, Liuyang; Wang, Yidan; Li, Sihua; Lei, Bo; Xu, Peng","Engineering Single-Component Antibacterial Anti-inflammatory Polyitaconate-Based Hydrogel for Promoting Methicillin-Resistant Staphylococcus aureus-Infected Wound Healing and Skin Regeneration","ACS Nano","","1936-0851","10.1021/acsnano.3c07638","https://doi.org/10.1021/acsnano.3c07638","Hydrogel wound dressings play a crucial role in promoting the healing of drug-resistant bacterially infected wounds. However, their clinical application often faces challenges such as the use of numerous components, a complicated preparation process, and insufficient biological activity. Itaconic acid, known for its excellent biological and reaction activities, has not been extensively studied for the preparation of itaconic acid-based hydrogels and their application in infected wound healing. Therefore, there is a need to develop a multifunctional single-component itaconic acid-based hydrogel that is easy to synthesize and holds promising prospects for clinical use in promoting the healing of infected wounds. In this study, we present a single-component polyitaconate-based hydrogel (PICGI) with antibacterial, anti-inflammatory, and biological activity. The PICGI hydrogel demonstrates great potential in promoting healing of infected wounds and skin regeneration. It exhibits desirable thermosensitive, injectable, and adhesive properties, as well as broad-spectrum antibacterial activity and anti-inflammatory effects. Furthermore, the PICGI hydrogel is biocompatible and significantly enhances the migration and tube formation of endothelial cells. In the case of drug-resistant bacterially infected wounds, the PICGI hydrogel effectively inhibits bacterial infection and inflammation, promotes angiogenesis, and facilitates collagen deposition, thereby accelerating the healing and regeneration of the skin. This study highlights the promising application of the PICGI hydrogel as a single-component hydrogel in tissue repair associated with bacterial infection and inflammation. Moreover, the simplicity of its components, convenient preparation process, and sufficient biological activity make the PICGI hydrogel highly suitable for promotion and clinical application.","2024-01-09","2024-07-04 22:19:20","2024-07-05 21:50:48","2024-07-04 22:17:44","395-409","","1","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/TCHXKIMT/Wang et al. - 2024 - Engineering Single-Component Antibacterial Anti-in.pdf","","Zero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSGUFSP2","journalArticle","2024","Xu, Hanqing; Wu, Xianlan; Liu, Qian; Yang, Cheng; Shen, Man; Wang, Yingran; Liu, Shuai; Zhao, Shuang; Xiao, Ting; Sun, Minghui; Ding, Zishan; Bao, Jing; Chen, Ming; Gao, Mingxuan","A Universal Strategy for Enhancing the Circulating miRNAs’ Detection Performance of Rolling Circle Amplification by Using a Dual-Terminal Stem-Loop Padlock","ACS Nano","","1936-0851","10.1021/acsnano.3c07721","https://doi.org/10.1021/acsnano.3c07721","Rolling circle amplification (RCA) is one of the most promising nucleic acid detection technologies and has been widely used in the molecular diagnosis of disease. Padlock probes are often used to form circular templates, which are the core of RCA. However, RCA often suffers from insufficient specificity and sensitivity. Here we report a reconstruction strategy for conventional padlock probes to promote their overall performance in nucleic acid detection while maintaining probe functions uncompromised. When two rationally designed stem-loops were strategically placed at the two terminals of linear padlock probes, the specificity of target recognition was enhanced and the negative signal was significantly delayed. Our design achieved the best single-base discrimination compared with other structures and over a 1000-fold higher sensitivity than that of the conventional padlock probe, validating the effectiveness of this reconstruction. In addition, the underlying mechanisms of our design were elucidated through molecular dynamics simulations, and the versatility was validated with longer and shorter padlocks targeting the same target, as well as five additional targets (four miRNAs and dengue virus – 2 RNA mimic (DENV-2)). Finally, clinical applicability in multiplex detection was demonstrated by testing real plasma samples. Our exploration of the structures of nucleic acids provided another perspective for developing high-performance detection systems, improving the efficacy of practical detection strategies, and advancing clinical diagnostic research.","2024-01-09","2024-07-04 22:19:20","2024-07-05 21:49:30","2024-07-04 22:17:45","436-450","","1","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/DQ5DHYHZ/Xu et al. - 2024 - A Universal Strategy for Enhancing the Circulating.pdf","","Zero; Others","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EKKPY5Z","journalArticle","2024","Strohm, Eric M.; Callaghan, Neal I.; Ding, Yu; Latifi, Neda; Rafatian, Naimeh; Funakoshi, Shunsuke; Fernandes, Ian; Reitz, Cristine J.; Di Paola, Michelle; Gramolini, Anthony O.; Radisic, Milica; Keller, Gordon; Kolios, Michael C.; Simmons, Craig A.","Noninvasive Quantification of Contractile Dynamics in Cardiac Cells, Spheroids, and Organs-on-a-Chip Using High-Frequency Ultrasound","ACS Nano","","1936-0851","10.1021/acsnano.3c06325","https://doi.org/10.1021/acsnano.3c06325","Cell-based models that mimic in vivo heart physiology are poised to make significant advances in cardiac disease modeling and drug discovery. In these systems, cardiomyocyte (CM) contractility is an important functional metric, but current measurement methods are inaccurate and low-throughput or require complex setups. To address this need, we developed a standalone noninvasive, label-free ultrasound technique operating at 40–200 MHz to measure the contractile kinetics of cardiac models, ranging from single adult CMs to 3D microtissue constructs in standard cell culture formats. The high temporal resolution of 1000 fps resolved the beat profile of single mouse CMs paced at up to 9 Hz, revealing limitations of lower speed optical based measurements to resolve beat kinetics or characterize aberrant beats. Coupling of ultrasound with traction force microscopy enabled the measurement of the CM longitudinal modulus and facile estimation of adult mouse CM contractile forces of 2.34 ± 1.40 μN, comparable to more complex measurement techniques. Similarly, the beat rate, rhythm, and drug responses of CM spheroid and microtissue models were measured, including in configurations without optical access. In conclusion, ultrasound can be used for the rapid characterization of CM contractile function in a wide range of commonly studied configurations ranging from single cells to 3D tissue constructs using standard well plates and custom microdevices, with applications in cardiac drug discovery and cardiotoxicity evaluation.","2024-01-09","2024-07-04 22:19:20","2024-07-05 21:51:22","2024-07-04 22:17:46","314-327","","1","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/TS6B5DK6/Strohm et al. - 2024 - Noninvasive Quantification of Contractile Dynamics.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MUJCTE9","journalArticle","2024","Pellow, Carly; Jafari Sojahrood, Amin; Zhao, Xiaoxiao; Kolios, Michael C.; Exner, Agata A.; Goertz, David E.","Synchronous Intravital Imaging and Cavitation Monitoring of Antivascular Focused Ultrasound in Tumor Microvasculature Using Monodisperse Low Boiling Point Nanodroplets","ACS Nano","","1936-0851","10.1021/acsnano.3c07711","https://doi.org/10.1021/acsnano.3c07711","Focused ultrasound-stimulated microbubbles can induce blood flow shutdown and ischemic necrosis at higher pressures in an approach termed antivascular ultrasound. Combined with conventional therapies of chemotherapy, immunotherapy, and radiation therapy, this approach has demonstrated tumor growth inhibition and profound synergistic antitumor effects. However, the lower cavitation threshold of microbubbles can potentially yield off-target damage that the polydispersity of clinical agent may further exacerbate. Here we investigate the use of a monodisperse nanodroplet formulation for achieving antivascular effects in tumors. We first develop stable low boiling point monodisperse lipid nanodroplets and examine them as an alternative agent to mediate antivascular ultrasound. With synchronous intravital imaging and ultrasound monitoring of focused ultrasound-stimulated nanodroplets in tumor microvasculature, we show that nanodroplets can trigger blood flow shutdown and do so with a sharper pressure threshold and with fewer additional events than conventionally used microbubbles. We further leverage the smaller size and prolonged pharmacokinetic profile of nanodroplets to allow for potential passive accumulation in tumor tissue prior to antivascular ultrasound, which may be a means by which to promote selective tumor targeting. We find that vascular shutdown is accompanied by inertial cavitation and complex-order sub- and ultraharmonic acoustic signatures, presenting an opportunity for effective feedback control of antivascular ultrasound.","2024-01-09","2024-07-04 22:19:20","2024-07-05 21:52:25","2024-07-04 22:17:47","410-427","","1","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/9FYWDXTG/Pellow et al. - 2024 - Synchronous Intravital Imaging and Cavitation Moni.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIHVYNQ9","journalArticle","2024","He, Yan; Cheng, Chuanxu; Liu, Yuheng; Chen, Fang-Man; Chen, Yinglu; Yang, Chao; Zhao, Zhibin; Dawulieti, Jianati; Shen, Zikun; Zhang, Yunjiao; Du, Jin-Zhi; Guan, Shan; Shao, Dan","Intravenous Senescent Erythrocyte Vaccination Modulates Adaptive Immunity and Splenic Complement Production","ACS Nano","","1936-0851","10.1021/acsnano.3c07943","https://doi.org/10.1021/acsnano.3c07943","Targeted delivery of vaccines to the spleen remains a challenge. Inspired by the erythrophagocytotic process in the spleen, we herein report that intravenous administration of senescent erythrocyte-based vaccines profoundly alters their tropism toward splenic antigen-presenting cells (APCs) for imprinting adaptive immune responses. Compared with subcutaneous inoculation, intravenous vaccination significantly upregulated splenic complement expression in vivo and demonstrated synergistic antibody killing in vitro. Consequently, intravenous senescent erythrocyte vaccination produces potent SARS-CoV-2 antibody-neutralizing effects, with potential protective immune responses. Moreover, the proposed senescent erythrocyte can deliver antigens from resected tumors and adjuvants to splenic APCs, thereby inducing a personalized immune reaction against tumor recurrence after surgery. Hence, our findings suggest that senescent erythrocyte-based vaccines can specifically target splenic APCs and evoke adaptive immunity and complement production, broadening the tools for modulating immunity, helping to understand adaptive response mechanisms to senescent erythrocytes better, and developing improved vaccines against cancer and infectious diseases.","2024-01-09","2024-07-04 22:19:20","2024-07-05 21:54:00","2024-07-04 22:17:48","470-482","","1","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/M7VYGQJG/He et al. - 2024 - Intravenous Senescent Erythrocyte Vaccination Modu.pdf","","Zero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FWRJILTB","journalArticle","2024","Fang, Yang; Cai, Jiansong; Ren, Mengqi; Zhong, Tongtong; Wang, Dali; Zhang, Ke","Inhalable Bottlebrush Polymer Bioconjugates as Vectors for Efficient Pulmonary Delivery of Oligonucleotides","ACS Nano","","1936-0851","10.1021/acsnano.3c08660","https://doi.org/10.1021/acsnano.3c08660","Antisense oligonucleotides hold therapeutic promise for various lung disorders, but their efficacy is limited by suboptimal delivery. To address this challenge, we explored the use of inhaled bottlebrush polymer–DNA conjugates, named pacDNA, as a delivery strategy. Inhaled pacDNA exhibits superior mucus penetration, achieving a uniform and sustained lung distribution in mice. Targeting the 5′ splice site of an aberrant enhanced green fluorescence protein (EGFP) pre-mRNA in EGFP-654 mice, inhaled pacDNA more efficiently corrects splicing than a B-peptide conjugate and restores EGFP expression in the lung. Additionally, in an orthotopic NCI-H358 non-small-cell lung tumor mouse model, inhaled pacDNA targeting wild-type KRAS mRNA effectively suppresses KRAS expression and inhibits lung tumor growth, requiring a substantially lower dosage compared to intravenously injected pacDNA. These findings demonstrate the potential of bottlebrush polymer–DNA conjugates as a promising agent for enhanced oligonucleotide therapy in the lung and advancing the treatment landscape for lung disorders.","2024-01-09","2024-07-04 22:19:20","2024-07-05 21:55:13","2024-07-04 22:17:49","592-599","","1","18","","ACS Nano","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/Users/tlin/Zotero/storage/IFL4UAID/Fang et al. - 2024 - Inhalable Bottlebrush Polymer Bioconjugates as Vec.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
