"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N8JQSX43","journalArticle","2023","Liu, Hsuan-Chen; Capuani, Simone; Badachhape, Andrew A.; Di Trani, Nicola; Davila Gonzalez, Daniel; Vander Pol, Robin S.; Viswanath, Dixita I.; Saunders, Shani; Hernandez, Nathanael; Ghaghada, Ketan B.; Chen, Shu-Hsia; Nance, Elizabeth; Annapragada, Ananth V.; Chua, Corrine Ying Xuan; Grattoni, Alessandro","Intratumoral nanofluidic system enhanced tumor biodistribution of PD-L1 antibody in triple-negative breast cancer","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10594","https://onlinelibrary.wiley.com/doi/abs/10.1002/btm2.10594","Immune checkpoint inhibitors (ICI), pembrolizumab and atezolizumab, were recently approved for treatment-refractory triple-negative breast cancer (TNBC), where those with Programmed death-ligand 1 (PD-L1) positive early-stage disease had improved responses. ICIs are administered systemically in the clinic, however, reaching effective therapeutic dosing is challenging due to severe off-tumor toxicities. As such, intratumoral (IT) injection is increasingly investigated as an alternative delivery approach. However, repeated administration, which sometimes is invasive, is required due to rapid drug clearance from the tumor caused by increased interstitial fluid pressure. To minimize off-target drug biodistribution, we developed the nanofluidic drug-eluting seed (NDES) platform for sustained intratumoral release of therapeutic via molecular diffusion. Here we compared drug biodistribution between the NDES, intraperitoneal (IP) and intratumoral (IT) injection using fluorescently labeled PD-L1 monoclonal antibody (αPD-L1). We used two syngeneic TNBC murine models, EMT6 and 4T1, that differ in PD-L1 expression, immunogenicity, and transport phenotype. We investigated on-target (tumor) and off-target distribution using different treatment approaches. As radiotherapy is increasingly used in combination with immunotherapy, we sought to investigate its effect on αPD-L1 tumor accumulation and systemic distribution. The NDES-treated cohort displayed sustained levels of αPD-L1 in the tumor over the study period of 14 days with significantly lower off-target organ distribution, compared to the IP or IT injection. However, we observed differences in the biodistribution of αPD-L1 across tumor models and with radiation pretreatment. Thus, we sought to extensively characterize the tumor properties via histological analysis, diffusion evaluation and nanoparticles contrast-enhanced CT. Overall, we demonstrate that ICI delivery via NDES is an effective method for sustained on-target tumor delivery across tumor models and combination treatments.","2023","2024-04-22 18:19:18","2024-05-30 00:10:04","2024-04-22 18:19:18","e10594","","6","8","","","","","","","","","","en","© 2023 The Authors. Bioengineering & Translational Medicine published by Wiley Periodicals LLC on behalf of American Institute of Chemical Engineers.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/btm2.10594","","/Users/tlin/Zotero/storage/XZ3IAGER/Liu et al. - 2023 - Intratumoral nanofluidic system enhanced tumor bio.pdf; /Users/tlin/Zotero/storage/B2XSPVE5/Liu et al. - 2023 - Intratumoral nanofluidic system enhanced tumor bio.pdf; /Users/tlin/Zotero/storage/SJEQJ8YP/btm2.html","","Log","drug delivery; tumor microenvironment; anti PD-L1; biodistribution; CT; radiotherapy; TNBC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVTZ7G3R","journalArticle","2023","Lamson, Nicholas G.; Pickering, Andrew J.; Wyckoff, Jeffrey; Ganesh, Priya; Calle, Elizabeth A.; Straehla, Joelle P.; Hammond, Paula T.","Trafficking through the blood–brain barrier is directed by core and outer surface components of layer-by-layer nanoparticles","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10636","https://aiche.onlinelibrary.wiley.com/doi/10.1002/btm2.10636","Abstract Drug-carrying nanoparticles are a promising strategy to deliver therapeutics into the brain, but their translation requires better characterization of interactions between nanomaterials and endothelial cells of the blood?brain barrier (BBB). Here, we use a library of 18 layer-by-layer electrostatically assembled nanoparticles (NPs) to independently assess the impact of NP core and surface materials on in vitro uptake, transport, and intracellular trafficking in brain endothelial cells. We demonstrate that NP core stiffness determines the magnitude of transport, while surface chemistry directs intracellular trafficking. Finally, we demonstrate that these factors similarly dictate in vivo BBB transport using intravital imaging through cranial windows in mice. We identify that hyaluronic acid surface chemistry increases transport across the BBB in vivo, and flow conditions are necessary to replicate this finding in vitro. Taken together, these findings highlight the importance of assay geometry, cell biology, and fluid flow in developing nanocarriers for delivery to the brain.","2023-12-28","2024-05-27 00:54:41","2024-05-30 00:08:07","2024-05-27 00:54:27","e10636","","n/a","n/a","","","","","","","","","","","","","","","aiche.onlinelibrary.wiley.com (Atypon)","","Publisher: John Wiley & Sons, Ltd","","/Users/tlin/Zotero/storage/W3ZJJRT3/Lamson et al. - 2023 - Trafficking through the blood–brain barrier is dir.pdf; /Users/tlin/Zotero/storage/JVWBSJ32/btm2.html","","No problem","drug delivery; nanoparticles; blood–brain barrier; in vitro models; intracellular trafficking; intravital imaging; layer-by-layer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QP99NDK8","journalArticle","2023","D'Costa, Claudy; Sharma, Oshin; Manna, Riddha; Singh, Minakshi; Singh, Samrat; Singh, Srushti; Mahto, Anish; Govil, Pratiksha; Satti, Sampath; Mehendale, Ninad; Italia, Yazdi; Paul, Debjani","Differential sensitivity to hypoxia enables shape-based classification of sickle cell disease and trait blood samples at point of care","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10643","https://aiche.onlinelibrary.wiley.com/doi/10.1002/btm2.10643","Abstract Red blood cells (RBCs) become sickle-shaped and stiff under hypoxia as a consequence of hemoglobin (Hb) polymerization in sickle cell anemia. Distinguishing between sickle cell disease and trait is crucial during the diagnosis of sickle cell disease. While genetic analysis or high-performance liquid chromatography (HPLC) can accurately differentiate between these two genotypes, these tests are unsuitable for field use. Here, we report a novel microscopy-based diagnostic test called ShapeDx? to distinguish between disease and trait blood in less than 1?h. This is achieved by mixing an unknown blood sample with low and high concentrations of a chemical oxygen scavenger and thereby subjecting the blood to slow and fast hypoxia, respectively. The different rates of Hb polymerization resulting from slow and fast hypoxia lead to two distinct RBC shape distributions in the same blood sample, which allows us to identify it as healthy, trait, or disease. The controlled hypoxic environment necessary for differential Hb polymerization is generated using an imaging microchamber, which also reduces the sickling time of trait blood from several hours to just 30?min. In a single-blinded proof-of-concept study conducted on a small cohort of clinical samples, the results of the ShapeDx? test were 100% concordant with HPLC results. Additionally, our field studies have demonstrated that ShapeDx? is the first reported microscopy test capable of distinguishing between sickle cell disease and trait samples in resource-limited settings with the same accuracy as a gold standard test.","2023-12-27","2024-05-27 00:54:41","2024-05-29 23:56:53","2024-05-27 00:54:29","e10643","","n/a","n/a","","","","","","","","","","","","","","","aiche.onlinelibrary.wiley.com (Atypon)","","Publisher: John Wiley & Sons, Ltd","","/Users/tlin/Zotero/storage/7GP7N6ZP/D'Costa et al. - 2023 - Differential sensitivity to hypoxia enables shape-.pdf; /Users/tlin/Zotero/storage/R5KJTNNN/btm2.html","","No bar","diagnostics; hemoglobin polymerization; RBC shape; shape-based classifier; sickle cell anemia; smartphone microscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZGGZKFM","journalArticle","2024","Chen, Shih-Heng; Wang, Hsin-Wen; Yang, Pei-Ching; Chen, Shih-Shien; Ho, Chia-Hsin; Yang, Pei-Ching; Kao, Ying-Chi; Liu, Shao-Wen; Chiu, Han; Lin, Yu-Jie; Chuang, Er-Yuan; Huang, Jen-Huang; Kao, Huang-Kai; Huang, Chieh-Cheng","Schwann cells acquire a repair phenotype after assembling into spheroids and show enhanced in vivo therapeutic potential for promoting peripheral nerve repair","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10635","https://aiche.onlinelibrary.wiley.com/doi/10.1002/btm2.10635","Abstract The prognosis for postinjury peripheral nerve regeneration remains suboptimal. Although transplantation of exogenous Schwann cells (SCs) has been considered a promising treatment to promote nerve repair, this strategy has been hampered in practice by the limited availability of SC sources and an insufficient postengraftment cell retention rate. In this study, to address these challenges, SCs were aggregated into spheroids before being delivered to an injured rat sciatic nerve. We found that the three-dimensional aggregation of SCs induced their acquisition of a repair phenotype, as indicated by enhanced levels of c-Jun expression/activation and decreased expression of myelin sheath protein. Furthermore, our in vitro results demonstrated the superior potential of the SC spheroid-derived secretome in promoting neurite outgrowth of dorsal root ganglion neurons, enhancing the proliferation and migration of endogenous SCs, and recruiting macrophages. Moreover, transplantation of SC spheroids into rats after sciatic nerve transection effectively increased the postinjury nerve structure restoration and motor functional recovery rates, demonstrating the therapeutic potential of SC spheroids. In summary, transplantation of preassembled SC spheroids may hold great potential for enhancing the cell delivery efficiency and the resultant therapeutic outcome, thereby improving SC-based transplantation approaches for promoting peripheral nerve regeneration.","2024-03","2024-05-27 00:54:41","2024-05-29 23:54:59","2024-05-27 00:54:29","e10635","","2","9","","","","","","","","","","","","","","","aiche.onlinelibrary.wiley.com (Atypon)","","Publisher: John Wiley & Sons, Ltd","","/Users/tlin/Zotero/storage/C9L9YNLC/Chen et al. - 2024 - Schwann cells acquire a repair phenotype after ass.pdf","","No problem","cell therapy; cell spheroid; peripheral nerve injury; regenerative medicine; Schwann cell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WVCXSVQ","journalArticle","2023","Sweeney, Elizabeth E.; Sekhri, Palak; Muniraj, Nethaji; Chen, Jie; Feng, Sally; Terao, Joshua; Chin, Samantha J.; Schmidt, Danielle E.; Bollard, Catherine M.; Cruz, Conrad Russell Y.; Fernandes, Rohan","Photothermal Prussian blue nanoparticles generate potent multi-targeted tumor-specific T cells as an adoptive cell therapy","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10639","https://aiche.onlinelibrary.wiley.com/doi/10.1002/btm2.10639","Abstract Prussian blue nanoparticle-based photothermal therapy (PBNP-PTT) is an effective tumor treatment capable of eliciting an antitumor immune response. Motivated by the ability of PBNP-PTT to potentiate endogenous immune responses, we recently demonstrated that PBNP-PTT could be used ex vivo to generate tumor-specific T cells against glioblastoma (GBM) cell lines as an adoptive T cell therapy (ATCT). In this study, we further developed this promising T cell development platform. First, we assessed the phenotype and function of T cells generated using PBNP-PTT. We observed that PBNP-PTT facilitated CD8+ T cell expansion from healthy donor PBMCs that secreted IFN? and TNFα and upregulated CD107a in response to engagement with target U87 cells, suggesting specific antitumor T cell activation and degranulation. Further, CD8+ effector and effector memory T cell populations significantly expanded after co-culture with U87 cells, consistent with tumor-specific effector responses. In orthotopically implanted U87 GBM tumors in vivo, PBNP-PTT-derived T cells effectively reduced U87 tumor growth and generated long-term survival in >80% of tumor-bearing mice by Day 100, compared to 0% of mice treated with PBS, non-specific T cells, or T cells expanded from lysed U87 cells, demonstrating an enhanced antitumor efficacy of this ATCT platform. Finally, we tested the generalizability of our approach by generating T cells targeting medulloblastoma (D556), breast cancer (MDA-MB-231), neuroblastoma (SH-SY5Y), and acute monocytic leukemia (THP-1) cell lines. The resulting T cells secreted IFN? and exerted increased tumor-specific cytolytic function relative to controls, demonstrating the versatility of PBNP-PTT in generating tumor-specific T cells for ATCT.","2023-12-22","2024-05-27 00:54:41","2024-05-30 00:18:50","2024-05-27 00:54:30","e10639","","n/a","n/a","","","","","","","","","","","","","","","aiche.onlinelibrary.wiley.com (Atypon)","","Publisher: John Wiley & Sons, Ltd","","/Users/tlin/Zotero/storage/HUXHW68C/btm2.html; /Users/tlin/Zotero/storage/7479WTF6/Sweeney et al. - 2023 - Photothermal Prussian blue nanoparticles generate .pdf","","No problem","cancer; adoptive T cell therapy; hematological malignancies; photothermal therapy; Prussian blue nanoparticles; solid tumors; tumor-specific T cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TN4GTN83","journalArticle","2024","Tan, Yaxin; Zhang, Mengde; Kong, Yi; Zhang, Fanliang; Wang, Yuzhen; Huang, Yuyan; Song, Wei; Li, Zhao; Hou, Linhao; Liang, Liting; Guo, Xu; Liu, Qinghua; Feng, Yu; Zhang, Chao; Fu, Xiaobing; Huang, Sha","Fibroblasts and endothelial cells interplay drives hypertrophic scar formation: Insights from in vitro and in vivo models","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10630","https://aiche.onlinelibrary.wiley.com/doi/10.1002/btm2.10630","Abstract Hypertrophic scar formation is influenced by the intricate interplay between fibroblasts and endothelial cells. In this study, we investigated this relationship using in vitro and in vivo models. Clinical observations revealed distinct morphological changes and increased vascularity at pathological scar sites. Further analysis using OCTA, immunohistochemistry, and immunofluorescence confirmed the involvement of angiogenesis in scar formation. Our indirect co-culture systems demonstrated that endothelial cells enhance the proliferation and migration of fibroblasts through the secretion of cytokines including VEGF, PDGF, bFGF, and TGF-?. Additionally, a suspended co-culture multicellular spheroid model revealed molecular-level changes associated with extracellular matrix remodeling, cellular behaviors, inflammatory response, and pro-angiogenic activity. Furthermore, KEGG pathway analysis identified the involvement of TGF-?, IL-17, Wnt, Notch, PI3K-Akt, and MAPK pathways in regulating fibroblasts activity. These findings underscore the critical role of fibroblasts-endothelial cells crosstalk in scar formation and provide potential targets for therapeutic intervention. Understanding the molecular mechanisms underlying this interplay holds promise for the development of innovative approaches to treat tissue injuries and diseases.","2024-03","2024-05-27 00:54:41","2024-05-27 01:01:52","2024-05-27 00:54:31","e10630","","2","9","","","Fibroblasts and endothelial cells interplay drives hypertrophic scar formation","","","","","","","","","","","","aiche.onlinelibrary.wiley.com (Atypon)","","Publisher: John Wiley & Sons, Ltd","","/Users/tlin/Zotero/storage/D4R7IX6Z/Tan et al. - 2024 - Fibroblasts and endothelial cells interplay drives.pdf","","Zero","cell crosstalk; endothelial cell; fibroblast; scar formation; spheroids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHVM4QCC","journalArticle","2024","Huang, Chengnan; Wang, Yuelin; Huang, Jinliang; Liu, Huiqin; Chen, Zhidong; Jiang, Yang; Chen, Youxin; Qian, Feng","A bioengineered anti-VEGF protein with high affinity and high concentration for intravitreal treatment of wet age-related macular degeneration","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10632","https://aiche.onlinelibrary.wiley.com/doi/10.1002/btm2.10632","Abstract Intravitreal (IVT) injection of anti-vascular endothelial growth factor (anti-VEGF) has greatly improved the treatment of many retinal disorders, including wet age-related macular degeneration (wAMD), which is the third leading cause of blindness. However, frequent injections can be difficult for patients and may lead to various risks such as elevated intraocular pressure, infection, and retinal detachment. To address this issue, researchers have found that IVT injection of anti-VEGF proteins at their maximally viable concentration and dose can be an effective strategy. However, the intrinsic protein structure can limit the maximum concentration due to stability and solution viscosity. To overcome this challenge, we developed a novel anti-VEGF protein called nanoFc by fusing anti-VEGF nanobodies with a crystallizable fragment (Fc). NanoFc has demonstrated high binding affinity to VEGF165 through multivalency and potent bioactivity in various bioassays. Furthermore, nanoFc maintains satisfactory chemical and physical stability at 4°C over 1?month and is easily injectable at concentrations up to 200?mg/mL due to its unique architecture that yields a smaller shape factor. The design of nanoFc offers a bioengineering strategy to ensure both strong anti-VEGF binding affinity and high protein concentration, with the goal of reducing the frequency of IV injections.","2024-03","2024-05-27 00:54:41","2024-05-27 05:22:07","2024-05-27 00:54:31","e10632","","2","9","","","","","","","","","","","","","","","aiche.onlinelibrary.wiley.com (Atypon)","","Publisher: John Wiley & Sons, Ltd","","/Users/tlin/Zotero/storage/BL3MULUI/Huang et al. - 2024 - A bioengineered anti-VEGF protein with high affini.pdf","","Zero","high concentration protein; intravitreal injection; multivalency; nanobody; protein engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HCAMHR9","journalArticle","2024","Rösch, Yannick; Stolte, Thorald; Weisskopf, Miriam; Frey, Sabrina; Schwartz, Rob; Cesarovic, Nikola; Obrist, Dominik","Efficacy of catheter-based drug delivery in a hybrid in vitro model of cardiac microvascular obstruction with porcine microthrombi","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10631","https://aiche.onlinelibrary.wiley.com/doi/10.1002/btm2.10631","Abstract Microvascular obstruction (MVO) often occurs in ST-elevation myocardial infarction (STEMI) patients after percutaneous coronary intervention (PCI). Diagnosis and treatment of MVO lack appropriate and established procedures. This study focused on two major points by using an in vitro multiscale flow model, which comprised an aortic root model with physiological blood flow and a microfluidic model of the microcirculation with vessel diameters down to 50??m. First, the influence of porcine microthrombi (MT), injected into the fluidic microchip, on perfusion was investigated. We found that only 43% of all injected MT were fully occlusive. Second, it could also be shown that the maximal concentration of a dye (representing therapeutic agent) during intracoronary infusion could be increased on average by 58%, when proximally occluding the coronary artery by a balloon during drug infusion. The obtained results and insights enhance the understanding of perfusion in MVO-affected microcirculation and could lead to improved treatment methods for MVO patients.","2024-03","2024-05-27 00:54:41","2024-05-27 01:02:39","2024-05-27 00:54:32","e10631","","2","9","","","","","","","","","","","","","","","aiche.onlinelibrary.wiley.com (Atypon)","","Publisher: John Wiley & Sons, Ltd","","/Users/tlin/Zotero/storage/FXHALLQ5/Rösch et al. - 2024 - Efficacy of catheter-based drug delivery in a hybr.pdf","","No problem","coronary circulation; intracoronary controlled flow infusion; microfluidic chip; microvascular obstruction; proximal balloon occlusion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WN9RG7P7","journalArticle","2024","Hendy, Dylan A.; Pena, Erik S.; Ontiveros-Padilla, Luis; Dixon, Timothy A.; Middleton, Denzel D.; Williamson, Grace L.; Lukesh, Nicole Rose; Simpson, Sean R.; Stiepel, Rebeca T.; Islam, Md Jahirul; Carlock, Michael A.; Ross, Ted M.; Bachelder, Eric M.; Ainslie, Kristy M.","Immunogenicity of an adjuvanted broadly active influenza vaccine in immunocompromised and diverse populations","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10634","https://aiche.onlinelibrary.wiley.com/doi/10.1002/btm2.10634","Abstract Influenza virus outbreaks are a major burden worldwide each year. Current vaccination strategies are inadequate due to antigenic drift/shift of the virus and the elicitation of low immune responses. The use of computationally optimized broadly reactive antigen (COBRA) hemagglutinin (HA) immunogens subvert the constantly mutating viruses; however, they are poorly immunogenic on their own. To increase the immunogenicity of subunit vaccines such as this, adjuvants can be delivered with the vaccine. For example, agonists of the stimulator of interferon genes (STING) have proven efficacy as vaccine adjuvants. However, their use in high-risk populations most vulnerable to influenza virus infection has not been closely examined. Here, we utilize a vaccine platform consisting of acetalated dextran microparticles loaded with COBRA HA and the STING agonist cyclic GMP-AMP. We examine the immunogenicity of this platform in mouse models of obesity, aging, and chemotherapy-induced immunosuppression. Further, we examine vaccine efficacy in collaborative cross mice, a genetically diverse population that mimics human genetic heterogeneity. Overall, this vaccine platform had variable efficacy in these populations supporting work to better tailor adjuvants to specific populations.","2024-03","2024-05-27 00:54:41","2024-05-30 00:01:58","2024-05-27 00:54:33","e10634","","2","9","","","","","","","","","","","","","","","aiche.onlinelibrary.wiley.com (Atypon)","","Publisher: John Wiley & Sons, Ltd","","/Users/tlin/Zotero/storage/V97GQW7G/Hendy et al. - 2024 - Immunogenicity of an adjuvanted broadly active inf.pdf","","Log; Zero","chemotherapy; aging; collaborative cross; obesity; polymeric microparticles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GQ8VBK7","journalArticle","2024","Hu, Wei-Wen; Chen, Yen-Chi; Tsao, Chia-Wen; Chen, Shen-Liang; Tzeng, Chung-Yuh","Development of a multifunctional bioreactor to evaluate the promotion effects of cyclic stretching and electrical stimulation on muscle differentiation","Bioengineering & Translational Medicine","","2380-6761","10.1002/btm2.10633","https://aiche.onlinelibrary.wiley.com/doi/10.1002/btm2.10633","Abstract A multifunctional bioreactor was fabricated in this study to investigate the facilitation efficiency of electrical and mechanical stimulations on myogenic differentiation. This bioreactor consisted of a highly stretchable conductive membrane prepared by depositing polypyrrole (PPy) on a flexible polydimethylsiloxane (PDMS) film. The tensile deformation of the PPy/PDMS membrane can be tuned by adjusting the channel depth. In addition, PPy/PDMS maintained its electrical conductivity under continuous cyclic stretching in the strain range of 6.5%?13% for 24?h. This device can be used to individually or simultaneously perform cyclic stretching and electrical stimulation. The results of single stimulation showed that either cyclic stretching or electrical stimulation upregulated myogenic gene expression and promoted myotube formation, where electrical stimulation improved better than cyclic stretching. However, only cyclic stretching can align C2C12 cells perpendicular to the stretching direction, and electrical stimulation did not affect cell morphology. Myosin heavy chain (MHC) immunostaining demonstrated that oriented cells under cyclic stretching resulted in parallel myotubes. The combination of these two stimuli exhibited synergetic effects on both myogenic gene regulation and myotube formation, and the incorporated electrical field did not affect the orientation effect of the cyclic stretching. These results suggested that these two treatments likely influenced cells through different pathways. Overall, the simultaneous application of cyclic stretching and electrical stimulation preserved both stimuli's advantages, so myo-differentiation can be highly improved to obtain abundant parallel myotubes, suggesting that our developed multifunctional bioreactor should benefit muscle tissue engineering applications.","2024-03","2024-05-27 00:54:41","2024-05-30 00:02:33","2024-05-27 00:54:33","e10633","","2","9","","","","","","","","","","","","","","","aiche.onlinelibrary.wiley.com (Atypon)","","Publisher: John Wiley & Sons, Ltd","","/Users/tlin/Zotero/storage/ZLNXG4JE/Hu et al. - 2024 - Development of a multifunctional bioreactor to eva.pdf","","No problem","bioreactor; cyclic stretching; electrical stimulation; myoblasts; myogenic differentiation; polydimethylsiloxane; polypyrrole","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
