"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MYDX5WGP","journalArticle","2023","Ahn, Matae; Chen, Vivian Chih-Wei; Rozario, Pritisha; Ng, Wei Lun; Kong, Pui San; Sia, Wan Rong; Kang, Adrian Eng Zheng; Su, Qi; Nguyen, Lan Huong; Zhu, Feng; Chan, Wharton O.Y.; Tan, Chee Wah; Cheong, Wan Shoo; Hey, Ying Ying; Foo, Randy; Guo, Fusheng; Lim, Yan Ting; Li, Xin; Chia, Wan Ni; Sobota, Radoslaw M.; Fu, Nai Yang; Irving, Aaron T.; Wang, Lin-Fa","Bat ASC2 suppresses inflammasomes and ameliorates inflammatory diseases","Cell","","0092-8674","10.1016/j.cell.2023.03.036","https://doi.org/10.1016/j.cell.2023.03.036","","2023-05-11","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","2144-2159.e22","","10","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/LJG5KDB8/Ahn et al. - 2023 - Bat ASC2 suppresses inflammasomes and ameliorates .pdf","","Log","inflammasome; COVID-19; SARS-CoV-2; inflammation; bats; disease resistance; immune complex; inflammatory diseases; longevity; viral reservoir","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MJWTEG9","journalArticle","2023","Aid, Malika; Sciacca, Michaela; McMahan, Katherine; Hope, David; Liu, Jinyan; Jacob-Dolan, Catherine; Powers, Olivia; Barrett, Julia; Wu, Cindy; Mutoni, Audrey; Murdza, Tetyana; Richter, Hannah; Velasco, Jason; Teow, Elyse; Boursiquot, Mona; Cook, Anthony; Orekov, Tatyana; Hamilton, Melissa; Pessaint, Laurent; Ryan, Alaina; Hayes, Tammy; Martinot, Amanda J.; Seaman, Michael S.; Lewis, Mark G.; Andersen, Hanne; Barouch, Dan H.","Mpox infection protects against re-challenge in rhesus macaques","Cell","","0092-8674","10.1016/j.cell.2023.08.023","https://doi.org/10.1016/j.cell.2023.08.023","","2023-10-12","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","4652-4661.e13","","21","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/R9KKLD7M/Aid et al. - 2023 - Mpox infection protects against re-challenge in rh.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"646VF7BT","journalArticle","2023","Alfonso-Gonzalez, Carlos; Legnini, Ivano; Holec, Sarah; Arrigoni, Laura; Ozbulut, Hasan Can; Mateos, Fernando; Koppstein, David; Rybak-Wolf, Agnieszka; Bönisch, Ulrike; Rajewsky, Nikolaus; Hilgers, Valérie","Sites of transcription initiation drive mRNA isoform selection","Cell","","0092-8674","10.1016/j.cell.2023.04.012","https://doi.org/10.1016/j.cell.2023.04.012","","2023-05-25","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","2438-2455.e22","","11","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/H6UWZ5C3/Alfonso-Gonzalez et al. - 2023 - Sites of transcription initiation drive mRNA isofo.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUVBCHFG","journalArticle","2023","Allen, William E.; Blosser, Timothy R.; Sullivan, Zuri A.; Dulac, Catherine; Zhuang, Xiaowei","Molecular and spatial signatures of mouse brain aging at single-cell resolution","Cell","","0092-8674","10.1016/j.cell.2022.12.010","https://doi.org/10.1016/j.cell.2022.12.010","","2023-01-05","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","194-208.e18","","1","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/F3H49W5M/Allen et al. - 2023 - Molecular and spatial signatures of mouse brain ag.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWYUKEVT","journalArticle","2023","Anand, Giridhar M.; Megale, Heitor C.; Murphy, Sean H.; Weis, Theresa; Lin, Zuwan; He, Yichun; Wang, Xiao; Liu, Jia; Ramanathan, Sharad","Controlling organoid symmetry breaking uncovers an excitable system underlying human axial elongation","Cell","","0092-8674","10.1016/j.cell.2022.12.043","https://doi.org/10.1016/j.cell.2022.12.043","","2023-02-02","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","497-512.e23","","3","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/LS6EYQNX/Anand et al. - 2023 - Controlling organoid symmetry breaking uncovers an.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4HU96YE","journalArticle","2023","Arieta, Christina M.; Xie, Yushu Joy; Rothenberg, Daniel A.; Diao, Huitian; Harjanto, Dewi; Meda, Shirisha; Marquart, Krisann; Koenitzer, Byron; Sciuto, Tracey E.; Lobo, Alexander; Zuiani, Adam; Krumm, Stefanie A.; Cadima Couto, Carla Iris; Hein, Stephanie; Heinen, André P.; Ziegenhals, Thomas; Liu-Lupo, Yunpeng; Vogel, Annette B.; Srouji, John R.; Fesser, Stephanie; Thanki, Kaushik; Walzer, Kerstin; Addona, Theresa A.; Türeci, Özlem; Şahin, Uğur; Gaynor, Richard B.; Poran, Asaf","The T-cell-directed vaccine BNT162b4 encoding conserved non-spike antigens protects animals from severe SARS-CoV-2 infection","Cell","","0092-8674","10.1016/j.cell.2023.04.007","https://doi.org/10.1016/j.cell.2023.04.007","","2023-05-25","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","2392-2409.e21","","11","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/NSBT86LZ/Arieta et al. - 2023 - The T-cell-directed vaccine BNT162b4 encoding cons.pdf","","Log","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B6QJQUHC","journalArticle","2023","Arora, Mansi; Moser, Justin; Hoffman, Timothy E.; Watts, Lotte P.; Min, Mingwei; Musteanu, Monica; Rong, Yao; Ill, C. Ryland; Nangia, Varuna; Schneider, Jordan; Sanclemente, Manuel; Lapek, John; Nguyen, Lisa; Niessen, Sherry; Dann, Stephen; VanArsdale, Todd; Barbacid, Mariano; Miller, Nichol; Spencer, Sabrina L.","Rapid adaptation to CDK2 inhibition exposes intrinsic cell-cycle plasticity","Cell","","0092-8674","10.1016/j.cell.2023.05.013","https://doi.org/10.1016/j.cell.2023.05.013","","2023-06-08","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","2628-2643.e21","","12","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/WTXZMNNA/Arora et al. - 2023 - Rapid adaptation to CDK2 inhibition exposes intrin.pdf","","Zero","CDK plasticity; CDK2; CDK4/6; cyclin A; drug adaptation; Palbociclib; PF-06873600; PF-07104091; Rb; restriction point","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6AWV3RMD","journalArticle","2023","Atanas, Adam A.; Kim, Jungsoo; Wang, Ziyu; Bueno, Eric; Becker, McCoy; Kang, Di; Park, Jungyeon; Kramer, Talya S.; Wan, Flossie K.; Baskoylu, Saba; Dag, Ugur; Kalogeropoulou, Elpiniki; Gomes, Matthew A.; Estrem, Cassi; Cohen, Netta; Mansinghka, Vikash K.; Flavell, Steven W.","Brain-wide representations of behavior spanning multiple timescales and states in C. elegans","Cell","","0092-8674","10.1016/j.cell.2023.07.035","https://doi.org/10.1016/j.cell.2023.07.035","","2023-09-14","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","4134-4151.e31","","19","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/WWIELB6Y/Atanas et al. - 2023 - Brain-wide representations of behavior spanning mu.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QT3U3P4G","journalArticle","2023","Baek, Kheewoong; Scott, Daniel C.; Henneberg, Lukas T.; King, Moeko T.; Mann, Matthias; Schulman, Brenda A.","Systemwide disassembly and assembly of SCF ubiquitin ligase complexes","Cell","","0092-8674","10.1016/j.cell.2023.02.035","https://doi.org/10.1016/j.cell.2023.02.035","","2023-04-27","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","1895-1911.e21","","9","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/7HXM9294/Baek et al. - 2023 - Systemwide disassembly and assembly of SCF ubiquit.pdf","","No bar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QMDWPU6L","journalArticle","2023","Baggen, Jim; Jacquemyn, Maarten; Persoons, Leentje; Vanstreels, Els; Pye, Valerie E.; Wrobel, Antoni G.; Calvaresi, Valeria; Martin, Stephen R.; Roustan, Chloë; Cronin, Nora B.; Reading, Eamonn; Thibaut, Hendrik Jan; Vercruysse, Thomas; Maes, Piet; De Smet, Frederik; Yee, Angie; Nivitchanyong, Toey; Roell, Marina; Franco-Hernandez, Natalia; Rhinn, Herve; Mamchak, Alusha Andre; Ah Young-Chapon, Maxime; Brown, Eric; Cherepanov, Peter; Daelemans, Dirk","TMEM106B is a receptor mediating ACE2-independent SARS-CoV-2 cell entry","Cell","","0092-8674","10.1016/j.cell.2023.06.005","https://doi.org/10.1016/j.cell.2023.06.005","","2023-08-03","2024-06-12 06:23:42","2024-06-12 06:23:42","2024-05-27","3427-3442.e22","","16","186","","","","","","","","","","","","","","","","","Publisher: Elsevier","","/Users/tlin/Zotero/storage/YZKJVBWN/Baggen et al. - 2023 - TMEM106B is a receptor mediating ACE2-independent .pdf","","Log","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
