"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3DH48N3R","journalArticle","2023","Zhu, Yining; Ma, Jingyao; Shen, Ruochen; Lin, Jinghan; Li, Shuyi; Lu, Xiaoya; Stelzel, Jessica L.; Kong, Jiayuan; Cheng, Leonardo; Vuong, Ivan; Yao, Zhi-Cheng; Wei, Christine; Korinetz, Nicole M.; Toh, Wu Han; Choy, Joseph; Reynolds, Rebekah A.; Shears, Melanie J.; Cho, Won June; Livingston, Natalie K.; Howard, Gregory P.; Hu, Yizong; Tzeng, Stephany Y.; Zack, Donald J.; Green, Jordan J.; Zheng, Lei; Doloff, Joshua C.; Schneck, Jonathan P.; Reddy, Sashank K.; Murphy, Sean C.; Mao, Hai-Quan","Screening for lipid nanoparticles that modulate the immune activity of helper T cells towards enhanced antitumour activity","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01131-0","https://www.nature.com/articles/s41551-023-01131-0","Lipid nanoparticles (LNPs) can be designed to potentiate cancer immunotherapy by promoting their uptake by antigen-presenting cells, stimulating the maturation of these cells and modulating the activity of adjuvants. Here we report an LNP-screening method for the optimization of the type of helper lipid and of lipid-component ratios to enhance the delivery of tumour-antigen-encoding mRNA to dendritic cells and their immune-activation profile towards enhanced antitumour activity. The method involves screening for LNPs that enhance the maturation of bone-marrow-derived dendritic cells and antigen presentation in vitro, followed by assessing immune activation and tumour-growth suppression in a mouse model of melanoma after subcutaneous or intramuscular delivery of the LNPs. We found that the most potent antitumour activity, especially when combined with immune checkpoint inhibitors, resulted from a coordinated attack by T cells and NK cells, triggered by LNPs that elicited strong immune activity in both type-1 and type-2 T helper cells. Our findings highlight the importance of optimizing the LNP composition of mRNA-based cancer vaccines to tailor antigen-specific immune-activation profiles.","2023-12-11","2024-06-11 05:50:13","2024-06-11 05:50:13","2023-12-16 02:02:50","1-17","","","","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/EYTIZ9RW/Zhu et al. - 2023 - Screening for lipid nanoparticles that modulate th.pdf","","Log","Tumour immunology; Gene delivery; Nanoparticles; RNA vaccines; DNA and RNA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XD6JJKNJ","journalArticle","2023","DeGrave, Alex J.; Cai, Zhuo Ran; Janizek, Joseph D.; Daneshjou, Roxana; Lee, Su-In","Auditing the inference processes of medical-image classifiers by leveraging generative AI and the expertise of physicians","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01160-9","https://www.nature.com/articles/s41551-023-01160-9","The inferences of most machine-learning models powering medical artificial intelligence are difficult to interpret. Here we report a general framework for model auditing that combines insights from medical experts with a highly expressive form of explainable artificial intelligence. Specifically, we leveraged the expertise of dermatologists for the clinical task of differentiating melanomas from melanoma ‘lookalikes’ on the basis of dermoscopic and clinical images of the skin, and the power of generative models to render ‘counterfactual’ images to understand the ‘reasoning’ processes of five medical-image classifiers. By altering image attributes to produce analogous images that elicit a different prediction by the classifiers, and by asking physicians to identify medically meaningful features in the images, the counterfactual images revealed that the classifiers rely both on features used by human dermatologists, such as lesional pigmentation patterns, and on undesirable features, such as background skin texture and colour balance. The framework can be applied to any specialized medical domain to make the powerful inference processes of machine-learning models medically understandable.","2023-12-28","2024-06-11 05:50:13","2024-06-11 05:50:13","2024-05-27 00:47:12","1-13","","","","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/WE3UHZEK/DeGrave et al. - 2023 - Auditing the inference processes of medical-image .pdf","","Zero","Biomedical engineering; Medical imaging; Skin diseases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBIP3QGT","journalArticle","2024","Harter, Marius F.; Recaldin, Timothy; Gerard, Regine; Avignon, Blandine; Bollen, Yannik; Esposito, Cinzia; Guja-Jarosz, Karolina; Kromer, Kristina; Filip, Adrian; Aubert, Julien; Schneider, Anneliese; Bacac, Marina; Bscheider, Michael; Stokar-Regenscheit, Nadine; Piscuoglio, Salvatore; Beumer, Joep; Gjorevski, Nikolche","Analysis of off-tumour toxicities of T-cell-engaging bispecific antibodies via donor-matched intestinal organoids and tumouroids","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01156-5","https://www.nature.com/articles/s41551-023-01156-5","Predicting the toxicity of cancer immunotherapies preclinically is challenging because models of tumours and healthy organs do not typically fully recapitulate the expression of relevant human antigens. Here we show that patient-derived intestinal organoids and tumouroids supplemented with immune cells can be used to study the on-target off-tumour toxicities of T-cell-engaging bispecific antibodies (TCBs), and to capture clinical toxicities not predicted by conventional tissue-based models as well as inter-patient variabilities in TCB responses. We analysed the mechanisms of T-cell-mediated damage of neoplastic and donor-matched healthy epithelia at a single-cell resolution using multiplexed immunofluorescence. We found that TCBs that target the epithelial cell-adhesion molecule led to apoptosis in healthy organoids in accordance with clinical observations, and that apoptosis is associated with T-cell activation, cytokine release and intra-epithelial T-cell infiltration. Conversely, tumour organoids were more resistant to damage, probably owing to a reduced efficiency of T-cell infiltration within the epithelium. Patient-derived intestinal organoids can aid the study of immune–epithelial interactions as well as the preclinical and clinical development of cancer immunotherapies.","2024-04","2024-06-11 05:50:13","2024-06-11 05:50:13","2024-05-27 00:47:12","345-360","","4","8","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/MJ2C6KCN/Harter et al. - 2024 - Analysis of off-tumour toxicities of T-cell-engagi.pdf","","No problem","Immunotherapy; Drug safety; Intestinal stem cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YZFPFJHQ","journalArticle","2023","Nanivadekar, Ameya C.; Bose, Rohit; Petersen, Bailey A.; Okorokova, Elizaveta V.; Sarma, Devapratim; Madonna, Tyler J.; Barra, Beatrice; Farooqui, Juhi; Dalrymple, Ashley N.; Levy, Isaiah; Helm, Eric R.; Miele, Vincent J.; Boninger, Michael L.; Capogrosso, Marco; Bensmaia, Sliman J.; Weber, Douglas J.; Fisher, Lee E.","Restoration of sensory feedback from the foot and reduction of phantom limb pain via closed-loop spinal cord stimulation","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01153-8","https://www.nature.com/articles/s41551-023-01153-8","Restoring somatosensory feedback in individuals with lower-limb amputations would reduce the risk of falls and alleviate phantom limb pain. Here we show, in three individuals with transtibial amputation (one traumatic and two owing to diabetic peripheral neuropathy), that sensations from the missing foot, with control over their location and intensity, can be evoked via lateral lumbosacral spinal cord stimulation with commercially available electrodes and by modulating the intensity of stimulation in real time on the basis of signals from a wireless pressure-sensitive shoe insole. The restored somatosensation via closed-loop stimulation improved balance control (with a 19-point improvement in the composite score of the Sensory Organization Test in one individual) and gait stability (with a 5-point improvement in the Functional Gait Assessment in one individual). And over the implantation period of the stimulation leads, the three individuals experienced a clinically meaningful decrease in phantom limb pain (with an average reduction of nearly 70% on a visual analogue scale). Our findings support the further clinical assessment of lower-limb neuroprostheses providing somatosensory feedback.","2023-12-14","2024-06-11 05:50:13","2024-06-11 05:50:13","2024-05-27 00:47:13","1-12","","","","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/WRMLFZTD/Nanivadekar et al. - 2023 - Restoration of sensory feedback from the foot and .pdf","","Zero","Translational research; Somatosensory system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F5GNPYWA","journalArticle","2023","Webber, Beau R.; Johnson, Matthew J.; Skeate, Joseph G.; Slipek, Nicholas J.; Lahr, Walker S.; DeFeo, Anthony P.; Mills, Lauren J.; Qiu, Xiaohong; Rathmann, Blaine; Diers, Miechaleen D.; Wick, Bryce; Henley, Tom; Choudhry, Modassir; Starr, Timothy K.; McIvor, R. Scott; Moriarity, Branden S.","Cas9-induced targeted integration of large DNA payloads in primary human T cells via homology-mediated end-joining DNA repair","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01157-4","https://www.nature.com/articles/s41551-023-01157-4","The reliance on viral vectors for the production of genetically engineered immune cells for adoptive cellular therapies remains a translational bottleneck. Here we report a method leveraging the DNA repair pathway homology-mediated end joining, as well as optimized reagent composition and delivery, for the Cas9-induced targeted integration of large DNA payloads into primary human T cells with low toxicity and at efficiencies nearing those of viral vectors (targeted knock-in of 1–6.7 kb payloads at rates of up to 70% at multiple targeted genomic loci and with cell viabilities of over 80%). We used the method to produce T cells with an engineered T-cell receptor or a chimaeric antigen receptor and show that the cells maintained low levels of exhaustion markers and excellent capacities for proliferation and cytokine production and that they elicited potent antitumour cytotoxicity in vitro and in mice. The method is readily adaptable to current good manufacturing practices and scale-up processes, and hence may be used as an alternative to viral vectors for the production of genetically engineered T cells for cancer immunotherapies.","2023-12-13","2024-06-11 05:50:13","2024-06-11 05:50:13","2024-05-27 00:47:13","1-18","","","","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/M6JQZS45/Webber et al. - 2023 - Cas9-induced targeted integration of large DNA pay.pdf","","No problem","Immunotherapy; Genetic engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5QREJUH","journalArticle","2024","Abbaspourazad, Hamidreza; Erturk, Eray; Pesaran, Bijan; Shanechi, Maryam M.","Dynamical flexible inference of nonlinear latent factors and structures in neural population activity","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01106-1","https://www.nature.com/articles/s41551-023-01106-1","Modelling the spatiotemporal dynamics in the activity of neural populations while also enabling their flexible inference is hindered by the complexity and noisiness of neural observations. Here we show that the lower-dimensional nonlinear latent factors and latent structures can be computationally modelled in a manner that allows for flexible inference causally, non-causally and in the presence of missing neural observations. To enable flexible inference, we developed a neural network that separates the model into jointly trained manifold and dynamic latent factors such that nonlinearity is captured through the manifold factors and the dynamics can be modelled in tractable linear form on this nonlinear manifold. We show that the model, which we named ‘DFINE’ (for ‘dynamical flexible inference for nonlinear embeddings’) achieves flexible inference in simulations of nonlinear dynamics and across neural datasets representing a diversity of brain regions and behaviours. Compared with earlier neural-network models, DFINE enables flexible inference, better predicts neural activity and behaviour, and better captures the latent neural manifold structure. DFINE may advance the development of neurotechnology and investigations in neuroscience.","2024-01","2024-06-11 05:50:13","2024-06-11 05:50:13","2024-05-27 00:47:13","85-108","","1","8","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/B3IMJ6QC/Abbaspourazad et al. - 2024 - Dynamical flexible inference of nonlinear latent f.pdf","","Zero","Biomedical engineering; Computational neuroscience; Computational science; Motor control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF5DJBU6","journalArticle","2023","Zhao, Tom Y.; Johnson, Ethan M. I.; Elisha, Guy; Halder, Sourav; Smith, Ben C.; Allen, Bradley D.; Markl, Michael; Patankar, Neelesh A.","Blood–wall fluttering instability as a physiomarker of the progression of thoracic aortic aneurysms","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01130-1","https://www.nature.com/articles/s41551-023-01130-1","The diagnosis of aneurysms is informed by empirically tracking their size and growth rate. Here, by analysing the growth of aortic aneurysms from first principles via linear stability analysis of flow through an elastic blood vessel, we show that abnormal aortic dilatation is associated with a transition from stable flow to unstable aortic fluttering. This transition to instability can be described by the critical threshold for a dimensionless number that depends on blood pressure, the size of the aorta, and the shear stress and stiffness of the aortic wall. By analysing data from four-dimensional flow magnetic resonance imaging for 117 patients who had undergone cardiothoracic imaging and for 100 healthy volunteers, we show that the dimensionless number is a physiomarker for the growth of thoracic ascending aortic aneurysms and that it can be used to accurately discriminate abnormal versus natural growth. Further characterization of the transition to blood–wall fluttering instability may aid the understanding of the mechanisms underlying aneurysm progression in patients.","2023-12","2024-06-11 05:50:13","2024-06-11 05:50:13","2024-05-27 00:47:13","1614-1626","","12","7","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/GZ44YC3F/Zhao et al. - 2023 - Blood–wall fluttering instability as a physiomarke.pdf","","No bar","Biophysics; Aneurysm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RAEILRYD","journalArticle","2024","Nozari, Erfan; Bertolero, Maxwell A.; Stiso, Jennifer; Caciagli, Lorenzo; Cornblath, Eli J.; He, Xiaosong; Mahadevan, Arun S.; Pappas, George J.; Bassett, Dani S.","Macroscopic resting-state brain dynamics are best described by linear models","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01117-y","https://www.nature.com/articles/s41551-023-01117-y","It is typically assumed that large networks of neurons exhibit a large repertoire of nonlinear behaviours. Here we challenge this assumption by leveraging mathematical models derived from measurements of local field potentials via intracranial electroencephalography and of whole-brain blood-oxygen-level-dependent brain activity via functional magnetic resonance imaging. We used state-of-the-art linear and nonlinear families of models to describe spontaneous resting-state activity of 700 participants in the Human Connectome Project and 122 participants in the Restoring Active Memory project. We found that linear autoregressive models provide the best fit across both data types and three performance metrics: predictive power, computational complexity and the extent of the residual dynamics unexplained by the model. To explain this observation, we show that microscopic nonlinear dynamics can be counteracted or masked by four factors associated with macroscopic dynamics: averaging over space and over time, which are inherent to aggregated macroscopic brain activity, and observation noise and limited data samples, which stem from technological limitations. We therefore argue that easier-to-interpret linear models can faithfully describe macroscopic brain dynamics during resting-state conditions.","2024-01","2024-06-11 05:50:13","2024-06-11 05:50:13","2024-05-27 00:47:14","68-84","","1","8","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/NLHDTJKV/Nozari et al. - 2024 - Macroscopic resting-state brain dynamics are best .pdf","","No bar","Electrical and electronic engineering; Computational neuroscience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRGMIMKY","journalArticle","2024","Chang, Patrick C.; Yuan, Xuegang; Zampieri, Alexandre; Towns, Chloe; Yoo, Sang Pil; Engstrom, Claire; Tsai, Steven; Robles, Christopher R.; Zhu, Yuhua; Lopez, Shawn; Montel-Hagen, Amelie; Seet, Christopher S.; Crooks, Gay M.","Generation of antigen-specific mature T cells from RAG1−/−RAG2−/−B2M−/− stem cells by engineering their microenvironment","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01146-7","https://www.nature.com/articles/s41551-023-01146-7","Pluripotent stem cells (PSCs) are a promising source of allogeneic T cells for off-the-shelf immunotherapies. However, the process of differentiating genetically engineered PSCs to generate mature T cells requires that the same molecular elements that are crucial for the selection of these cells be removed to prevent alloreactivity. Here we show that antigen-restricted mature T cells can be generated in vitro from PSCs edited via CRISPR to lack endogenous T cell receptors (TCRs) and class I major histocompatibility complexes. Specifically, we used T cell precursors from RAG1−/−RAG2−/−B2M−/− human PSCs expressing a single TCR, and a murine stromal cell line providing the cognate human major histocompatibility complex molecule and other critical signals for T cell maturation. Possibly owing to the absence of TCR mispairing, the generated T cells showed substantially better tumour control in mice than T cells with an intact endogenous TCR. Introducing the T cell selection components into the stromal microenvironment of the PSCs overcomes inherent biological challenges associated with the development of T cell immunotherapies from allogeneic PSCs.","2024-04","2024-06-11 05:50:13","2024-06-11 05:50:13","2024-05-27 00:47:14","461-478","","4","8","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/9HTL5KRU/Chang et al. - 2024 - Generation of antigen-specific mature T cells from.pdf","","Log","Genetic engineering; Differentiation; Embryonic stem cells; Cytotoxic T cells; Cell culture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEUB6MHB","journalArticle","2023","Xie, Hao; Han, Xiaofei; Xiao, Guihua; Xu, Hanyun; Zhang, Yuanlong; Zhang, Guoxun; Li, Qingwei; He, Jing; Zhu, Dan; Yu, Xinguang; Dai, Qionghai","Multifocal fluorescence video-rate imaging of centimetre-wide arbitrarily shaped brain surfaces at micrometric resolution","Nature Biomedical Engineering","","2157-846X","10.1038/s41551-023-01155-6","https://www.nature.com/articles/s41551-023-01155-6","Fluorescence microscopy allows for the high-throughput imaging of cellular activity across brain areas in mammals. However, capturing rapid cellular dynamics across the curved cortical surface is challenging, owing to trade-offs in image resolution, speed, field of view and depth of field. Here we report a technique for wide-field fluorescence imaging that leverages selective illumination and the integration of focal areas at different depths via a spinning disc with varying thickness to enable video-rate imaging of previously reconstructed centimetre-scale arbitrarily shaped surfaces at micrometre-scale resolution and at a depth of field of millimetres. By implementing the technique in a microscope capable of acquiring images at 1.68 billion pixels per second and resolving 16.8 billion voxels per second, we recorded neural activities and the trajectories of neutrophils in real time on curved cortical surfaces in live mice. The technique can be integrated into many microscopes and macroscopes, in both reflective and fluorescence modes, for the study of multiscale cellular interactions on arbitrarily shaped surfaces.","2023-12-06","2024-06-11 05:50:13","2024-06-11 05:50:13","2024-05-27 00:47:14","1-14","","","","","Nat. Biomed. Eng","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/QURMKVK2/Xie et al. - 2023 - Multifocal fluorescence video-rate imaging of cent.pdf","","No bar","Fluorescence imaging; Wide-field fluorescence microscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
