"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WZE4TXI4","journalArticle","2023","Allesøe, Rosa Lundbye; Lundgaard, Agnete Troen; Hernández Medina, Ricardo; Aguayo-Orozco, Alejandro; Johansen, Joachim; Nissen, Jakob Nybo; Brorsson, Caroline; Mazzoni, Gianluca; Niu, Lili; Biel, Jorge Hernansanz; Leal Rodríguez, Cristina; Brasas, Valentas; Webel, Henry; Benros, Michael Eriksen; Pedersen, Anders Gorm; Chmura, Piotr Jaroslaw; Jacobsen, Ulrik Plesner; Mari, Andrea; Koivula, Robert; Mahajan, Anubha; Vinuela, Ana; Tajes, Juan Fernandez; Sharma, Sapna; Haid, Mark; Hong, Mun-Gwan; Musholt, Petra B.; De Masi, Federico; Vogt, Josef; Pedersen, Helle Krogh; Gudmundsdottir, Valborg; Jones, Angus; Kennedy, Gwen; Bell, Jimmy; Thomas, E. Louise; Frost, Gary; Thomsen, Henrik; Hansen, Elizaveta; Hansen, Tue Haldor; Vestergaard, Henrik; Muilwijk, Mirthe; Blom, Marieke T.; ‘t Hart, Leen M.; Pattou, Francois; Raverdy, Violeta; Brage, Soren; Kokkola, Tarja; Heggie, Alison; McEvoy, Donna; Mourby, Miranda; Kaye, Jane; Hattersley, Andrew; McDonald, Timothy; Ridderstråle, Martin; Walker, Mark; Forgie, Ian; Giordano, Giuseppe N.; Pavo, Imre; Ruetten, Hartmut; Pedersen, Oluf; Hansen, Torben; Dermitzakis, Emmanouil; Franks, Paul W.; Schwenk, Jochen M.; Adamski, Jerzy; McCarthy, Mark I.; Pearson, Ewan; Banasik, Karina; Rasmussen, Simon; Brunak, Søren","Discovery of drug–omics associations in type 2 diabetes with generative deep-learning models","Nature Biotechnology","","1546-1696","10.1038/s41587-022-01520-x","https://www.nature.com/articles/s41587-022-01520-x","The application of multiple omics technologies in biomedical cohorts has the potential to reveal patient-level disease characteristics and individualized response to treatment. However, the scale and heterogeneous nature of multi-modal data makes integration and inference a non-trivial task. We developed a deep-learning-based framework, multi-omics variational autoencoders (MOVE), to integrate such data and applied it to a cohort of 789 people with newly diagnosed type 2 diabetes with deep multi-omics phenotyping from the DIRECT consortium. Using in silico perturbations, we identified drug–omics associations across the multi-modal datasets for the 20 most prevalent drugs given to people with type 2 diabetes with substantially higher sensitivity than univariate statistical tests. From these, we among others, identified novel associations between metformin and the gut microbiota as well as opposite molecular responses for the two statins, simvastatin and atorvastatin. We used the associations to quantify drug–drug similarities, assess the degree of polypharmacy and conclude that drug effects are distributed across the multi-omics modalities.","2023-03","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-03-07 06:52:25","399-408","","3","41","","Nat Biotechnol","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/6QFR9KNJ/Allesøe et al. - 2023 - Discovery of drug–omics associations in type 2 dia.pdf","","No problem","Machine learning; Systems biology; Data integration; Type 2 diabetes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W9ZESPDF","journalArticle","2023","Ivorra-Molla, Esther; Akhuli, Dipayan; McAndrew, Martin B. L.; Scott, William; Kumar, Lokesh; Palani, Saravanan; Mishima, Masanori; Crow, Allister; Balasubramanian, Mohan K.","A monomeric StayGold fluorescent protein","Nature Biotechnology","","1546-1696","10.1038/s41587-023-02018-w","https://www.nature.com/articles/s41587-023-02018-w","StayGold is an exceptionally bright and stable fluorescent protein that is highly resistant to photobleaching. Despite favorable fluorescence properties, use of StayGold as a fluorescent tag is limited because it forms a natural dimer. Here we report the 1.6 Å structure of StayGold and generate a derivative, mStayGold, that retains the brightness and photostability of the original protein while being fully monomeric.","2023-12-11","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-05-26 17:22:38","1-4","","","","","Nat Biotechnol","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/LY55LRRS/Ivorra-Molla et al. - 2023 - A monomeric StayGold fluorescent protein.pdf","","No bar","Fluorescence imaging; X-ray crystallography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CATQIB2I","journalArticle","2023","Keymeulen, Bart; De Groot, Kaat; Jacobs-Tulleneers-Thevissen, Daniel; Thompson, David M.; Bellin, Melena D.; Kroon, Evert J.; Daniels, Mark; Wang, Richard; Jaiman, Manasi; Kieffer, Timothy J.; Foyt, Howard L.; Pipeleers, Daniel","Encapsulated stem cell–derived β cells exert glucose control in patients with type 1 diabetes","Nature Biotechnology","","1546-1696","10.1038/s41587-023-02055-5","https://www.nature.com/articles/s41587-023-02055-5","Clinical studies on the treatment of type 1 diabetes with device-encapsulated pancreatic precursor cells derived from human embryonic stem cells found that insulin output was insufficient for clinical benefit. We are conducting a phase 1/2, open-label, multicenter trial aimed at optimizing cell engraftment (ClinicalTrials.gov identifier: NCT03163511). Here we report interim, 1-year outcomes in one study group that received 2–3-fold higher cell doses in devices with an optimized membrane perforation pattern. β cell function was measured by meal-stimulated plasma C-peptide levels at 3-month intervals, and the effect on glucose control was assessed by continuous glucose monitoring (CGM) and insulin dosing. Of 10 patients with undetectable baseline C-peptide, three achieved levels ≥0.1 nmol l−1 from month 6 onwards that correlated with improved CGM measures and reduced insulin dosing, indicating a glucose-controlling effect. The patient with the highest C-peptide (0.23 nmol l−1) increased CGM time-in-range from 55% to 85% at month 12; β cell mass in sentinel devices in this patient at month 6 was 4% of the initial cell mass, indicating directions for improving efficacy.","2023-11-27","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-05-26 17:22:38","1-8","","","","","Nat Biotechnol","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/RXC8DZMB/Keymeulen et al. - 2023 - Encapsulated stem cell–derived β cells exert gluco.pdf","","No bar","Stem-cell differentiation; Type 1 diabetes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQTLYKBL","journalArticle","2023","Lötstedt, Britta; Stražar, Martin; Xavier, Ramnik; Regev, Aviv; Vickovic, Sanja","Spatial host–microbiome sequencing reveals niches in the mouse gut","Nature Biotechnology","","1546-1696","10.1038/s41587-023-01988-1","https://www.nature.com/articles/s41587-023-01988-1","Mucosal and barrier tissues, such as the gut, lung or skin, are composed of a complex network of cells and microbes forming a tight niche that prevents pathogen colonization and supports host–microbiome symbiosis. Characterizing these networks at high molecular and cellular resolution is crucial for understanding homeostasis and disease. Here we present spatial host–microbiome sequencing (SHM-seq), an all-sequencing-based approach that captures tissue histology, polyadenylated RNAs and bacterial 16S sequences directly from a tissue by modifying spatially barcoded glass surfaces to enable simultaneous capture of host transcripts and hypervariable regions of the 16S bacterial ribosomal RNA. We applied our approach to the mouse gut as a model system, used a deep learning approach for data mapping and detected spatial niches defined by cellular composition and microbial geography. We show that subpopulations of gut cells express specific gene programs in different microenvironments characteristic of regional commensal bacteria and impact host–bacteria interactions. SHM-seq should enhance the study of native host–microbe interactions in health and disease.","2023-11-20","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-05-26 17:22:38","1-10","","","","","Nat Biotechnol","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/XZE5LLS5/Lötstedt et al. - 2023 - Spatial host–microbiome sequencing reveals niches .pdf","","No problem","Next-generation sequencing; Genomic analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8Y7GL7WA","journalArticle","2023","Saarenpää, Sami; Shalev, Or; Ashkenazy, Haim; Carlos, Vanessa; Lundberg, Derek Severi; Weigel, Detlef; Giacomello, Stefania","Spatial metatranscriptomics resolves host–bacteria–fungi interactomes","Nature Biotechnology","","1546-1696","10.1038/s41587-023-01979-2","https://www.nature.com/articles/s41587-023-01979-2","The interactions of microorganisms among themselves and with their multicellular host take place at the microscale, forming complex networks and spatial patterns. Existing technology does not allow the simultaneous investigation of spatial interactions between a host and the multitude of its colonizing microorganisms, which limits our understanding of host–microorganism interactions within a plant or animal tissue. Here we present spatial metatranscriptomics (SmT), a sequencing-based approach that leverages 16S/18S/ITS/poly-d(T) multimodal arrays for simultaneous host transcriptome- and microbiome-wide characterization of tissues at 55-µm resolution. We showcase SmT in outdoor-grown Arabidopsis thaliana leaves as a model system, and find tissue-scale bacterial and fungal hotspots. By network analysis, we study inter- and intrakingdom spatial interactions among microorganisms, as well as the host response to microbial hotspots. SmT provides an approach for answering fundamental questions on host–microbiome interplay.","2023-11-20","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-05-26 17:22:38","1-10","","","","","Nat Biotechnol","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/FQ5D6TJQ/Saarenpää et al. - 2023 - Spatial metatranscriptomics resolves host–bacteria.pdf","","No problem","Metagenomics; Microbe; Microbiome; Transcriptomics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9J6N37S5","journalArticle","2023","Tao, Yunlong; Li, Xueyan; Dong, Qiping; Kong, Linghai; Petersen, Andrew J.; Yan, Yuanwei; Xu, Ke; Zima, Seth; Li, Yanru; Schmidt, Danielle K.; Ayala, Melvin; Mathivanan, Sakthikumar; Sousa, Andre M. M.; Chang, Qiang; Zhang, Su-Chun","Generation of locus coeruleus norepinephrine neurons from human pluripotent stem cells","Nature Biotechnology","","1546-1696","10.1038/s41587-023-01977-4","https://www.nature.com/articles/s41587-023-01977-4","Central norepinephrine (NE) neurons, located mainly in the locus coeruleus (LC), are implicated in diverse psychiatric and neurodegenerative diseases and are an emerging target for drug discovery. To facilitate their study, we developed a method to generate 40–60% human LC-NE neurons from human pluripotent stem cells. The approach depends on our identification of ACTIVIN A in regulating LC-NE transcription factors in dorsal rhombomere 1 (r1) progenitors. In vitro generated human LC-NE neurons display extensive axonal arborization; release and uptake NE; and exhibit pacemaker activity, calcium oscillation and chemoreceptor activity in response to CO2. Single-nucleus RNA sequencing (snRNA-seq) analysis at multiple timepoints confirmed NE cell identity and revealed the differentiation trajectory from hindbrain progenitors to NE neurons via an ASCL1-expressing precursor stage. LC-NE neurons engineered with an NE sensor reliably reported extracellular levels of NE. The availability of functional human LC-NE neurons enables investigation of their roles in psychiatric and neurodegenerative diseases and provides a tool for therapeutics development.","2023-11-16","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-05-26 17:22:38","1-13","","","","","Nat Biotechnol","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/CZKTEN8V/Tao et al. - 2023 - Generation of locus coeruleus norepinephrine neuro.pdf","","No problem","Differentiation; Cell fate and cell lineage; Neural stem cells; Neuronal development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NLBRXDE","journalArticle","2023","Greig, Jenny A.; Martins, Kelly M.; Breton, Camilo; Lamontagne, R. Jason; Zhu, Yanqing; He, Zhenning; White, John; Zhu, Jing-Xu; Chichester, Jessica A.; Zheng, Qi; Zhang, Zhe; Bell, Peter; Wang, Lili; Wilson, James M.","Integrated vector genomes may contribute to long-term expression in primate liver after AAV administration","Nature Biotechnology","","1546-1696","10.1038/s41587-023-01974-7","https://www.nature.com/articles/s41587-023-01974-7","The development of liver-based adeno-associated virus (AAV) gene therapies is facing concerns about limited efficiency and durability of transgene expression. We evaluated nonhuman primates following intravenous dosing of AAV8 and AAVrh10 vectors for over 2 years to better define the mechanism(s) of transduction that affect performance. High transduction of non-immunogenic transgenes was achieved, although expression declined over the first 90 days to reach a lower but stable steady state. More than 10% of hepatocytes contained single nuclear domains of vector DNA that persisted despite the loss of transgene expression. Greater reductions in vector DNA and RNA were observed with immunogenic transgenes. Genomic integration of vector sequences, including complex concatemeric structures, were detected in 1 out of 100 cells at broadly distributed loci that were not in proximity to genes associated with hepatocellular carcinoma. Our studies suggest that AAV-mediated transgene expression in primate hepatocytes occurs in two phases: high but short-lived expression from episomal genomes, followed by much lower but stable expression, likely from integrated vectors.","2023-11-06","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-05-26 17:22:38","1-11","","","","","Nat Biotechnol","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/XLXXJ5R5/Greig et al. - 2023 - Integrated vector genomes may contribute to long-t.pdf","","No problem","Translational research; Genetics research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPC9WUA2","journalArticle","2023","Yao, Douglas; Binan, Loic; Bezney, Jon; Simonton, Brooke; Freedman, Jahanara; Frangieh, Chris J.; Dey, Kushal; Geiger-Schuller, Kathryn; Eraslan, Basak; Gusev, Alexander; Regev, Aviv; Cleary, Brian","Scalable genetic screening for regulatory circuits using compressed Perturb-seq","Nature Biotechnology","","1546-1696","10.1038/s41587-023-01964-9","https://www.nature.com/articles/s41587-023-01964-9","Pooled CRISPR screens with single-cell RNA sequencing readout (Perturb-seq) have emerged as a key technique in functional genomics, but they are limited in scale by cost and combinatorial complexity. In this study, we modified the design of Perturb-seq by incorporating algorithms applied to random, low-dimensional observations. Compressed Perturb-seq measures multiple random perturbations per cell or multiple cells per droplet and computationally decompresses these measurements by leveraging the sparse structure of regulatory circuits. Applied to 598 genes in the immune response to bacterial lipopolysaccharide, compressed Perturb-seq achieves the same accuracy as conventional Perturb-seq with an order of magnitude cost reduction and greater power to learn genetic interactions. We identified known and novel regulators of immune responses and uncovered evolutionarily constrained genes with downstream targets enriched for immune disease heritability, including many missed by existing genome-wide association studies. Our framework enables new scales of interrogation for a foundational method in functional genomics.","2023-10-23","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-05-26 17:22:38","1-14","","","","","Nat Biotechnol","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/4P4FLQIF/Yao et al. - 2023 - Scalable genetic screening for regulatory circuits.pdf","","No problem","High-throughput screening; Gene expression profiling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVYV567M","journalArticle","2023","Gurung, Hem R.; Heidersbach, Amy J.; Darwish, Martine; Chan, Pamela Pui Fung; Li, Jenny; Beresini, Maureen; Zill, Oliver A.; Wallace, Andrew; Tong, Ann-Jay; Hascall, Dan; Torres, Eric; Chang, Andy; Lou, Kenny ‘Hei-Wai’; Abdolazimi, Yassan; Hammer, Christian; Xavier-Magalhães, Ana; Marcu, Ana; Vaidya, Samir; Le, Daniel D.; Akhmetzyanova, Ilseyar; Oh, Soyoung A.; Moore, Amanda J.; Uche, Uzodinma N.; Laur, Melanie B.; Notturno, Richard J.; Ebert, Peter J. R.; Blanchette, Craig; Haley, Benjamin; Rose, Christopher M.","Systematic discovery of neoepitope–HLA pairs for neoantigens shared among patients and tumor types","Nature Biotechnology","","1546-1696","10.1038/s41587-023-01945-y","https://www.nature.com/articles/s41587-023-01945-y","The broad application of precision cancer immunotherapies is limited by the number of validated neoepitopes that are common among patients or tumor types. To expand the known repertoire of shared neoantigen–human leukocyte antigen (HLA) complexes, we developed a high-throughput platform that coupled an in vitro peptide–HLA binding assay with engineered cellular models expressing individual HLA alleles in combination with a concatenated transgene harboring 47 common cancer neoantigens. From more than 24,000 possible neoepitope–HLA combinations, biochemical and computational assessment yielded 844 unique candidates, of which 86 were verified after immunoprecipitation mass spectrometry analyses of engineered, monoallelic cell lines. To evaluate the potential for immunogenicity, we identified T cell receptors that recognized select neoepitope–HLA pairs and elicited a response after introduction into human T cells. These cellular systems and our data on therapeutically relevant neoepitopes in their HLA contexts will aid researchers studying antigen processing as well as neoepitope targeting therapies.","2023-10-19","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-05-26 17:22:38","1-11","","","","","Nat Biotechnol","","","","","","","","en","2023 Genentech, Inc. and Adaptive Biotechnologies Corp.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/E77ETFDP/Gurung et al. - 2023 - Systematic discovery of neoepitope–HLA pairs for n.pdf","","No problem","Mass spectrometry; Targeted therapies; Target identification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6V5VU3S7","journalArticle","2023","Singh, Naveen K.; Wang, Yixun; Wen, Connie; Davis, Brandon; Wang, Xuelin; Lee, Kyungsene; Wang, Yong","High-affinity one-step aptamer selection using a non-fouling porous hydrogel","Nature Biotechnology","","1546-1696","10.1038/s41587-023-01973-8","https://www.nature.com/articles/s41587-023-01973-8","Aptamers, commonly referred to as chemical antibodies, are used in a wide range of applications including drug delivery and biosensing. However, the process of aptamer selection poses a substantial challenge, as it requires numerous cycles of enrichment and involves issues with nonspecific binding. We present a simple, fast instrument-free method for aptamer enrichment and selection based on a diffusion-binding process in a three-dimensional non-fouling porous hydrogel with immobilized target proteins. Low-affinity aptamer candidates can be rapidly released from the hydrogel, whereas high-affinity candidates are restricted due to their strong binding to the immobilized protein targets. Consequently, a one-step enriched aptamer pool can strongly bind the protein targets. This enrichment is consistent across five proteins with isoelectric points in varying ranges. With thrombin as a representative model, the anti-thrombin aptamer identified from an enriched aptamer pool has been found to have a binding affinity that is comparable to those identified over ten cycles of selection using traditional methods.","2023-10-05","2024-06-11 01:00:48","2024-06-11 01:00:48","2024-05-26 17:22:38","1-8","","","","","Nat Biotechnol","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/KGAYEP8M/Singh et al. - 2023 - High-affinity one-step aptamer selection using a n.pdf","","No problem","Biomedical engineering; DNA and RNA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
