"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2WP8W3GB","journalArticle","2024","Payton, Marc; Belmontes, Brian; Hanestad, Kelly; Moriguchi, Jodi; Chen, Kui; McCarter, John D.; Chung, Grace; Ninniri, Maria Stefania; Sun, Jan; Manoukian, Raffi; Chambers, Stuart; Ho, Seok-Man; Kurzeja, Robert J. M.; Edson, Katheryne Z.; Dahal, Upendra P.; Wu, Tian; Wannberg, Sharon; Beltran, Pedro J.; Canon, Jude; Boghossian, Andrew S.; Rees, Matthew G.; Ronan, Melissa M.; Roth, Jennifer A.; Minocherhomji, Sheroy; Bourbeau, Matthew P.; Allen, Jennifer R.; Coxon, Angela; Tamayo, Nuria A.; Hughes, Paul E.","Small-molecule inhibition of kinesin KIF18A reveals a mitotic vulnerability enriched in chromosomally unstable cancers","Nature Cancer","","2662-1347","10.1038/s43018-023-00699-5","https://www.nature.com/articles/s43018-023-00699-5","Chromosomal instability (CIN) is a hallmark of cancer, caused by persistent errors in chromosome segregation during mitosis. Aggressive cancers like high-grade serous ovarian cancer (HGSOC) and triple-negative breast cancer (TNBC) have a high frequency of CIN and TP53 mutations. Here, we show that inhibitors of the KIF18A motor protein activate the mitotic checkpoint and selectively kill chromosomally unstable cancer cells. Sensitivity to KIF18A inhibition is enriched in TP53-mutant HGSOC and TNBC cell lines with CIN features, including in a subset of CCNE1-amplified, CDK4–CDK6-inhibitor-resistant and BRCA1-altered cell line models. Our KIF18A inhibitors have minimal detrimental effects on human bone marrow cells in culture, distinct from other anti-mitotic agents. In mice, inhibition of KIF18A leads to robust anti-cancer effects with tumor regression observed in human HGSOC and TNBC models at well-tolerated doses. Collectively, our results provide a rational therapeutic strategy for selective targeting of CIN cancers via KIF18A inhibition.","2024-01","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","66-84","","1","5","","Nat Cancer","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/SJLS8G2N/Payton et al. - 2024 - Small-molecule inhibition of kinesin KIF18A reveal.pdf","","No problem","Cancer; Target identification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5EVTRB7F","journalArticle","2024","Ghasemi, Ali; Martinez-Usatorre, Amaia; Li, Luqing; Hicham, Mehdi; Guichard, Alan; Marcone, Rachel; Fournier, Nadine; Torchia, Bruno; Martinez Bedoya, Darel; Davanture, Suzel; Fernández-Vaquero, Mirian; Fan, Chaofan; Janzen, Jakob; Mohammadzadeh, Yahya; Genolet, Raphael; Mansouri, Nahal; Wenes, Mathias; Migliorini, Denis; Heikenwalder, Mathias; De Palma, Michele","Cytokine-armed dendritic cell progenitors for antigen-agnostic cancer immunotherapy","Nature Cancer","","2662-1347","10.1038/s43018-023-00668-y","https://www.nature.com/articles/s43018-023-00668-y","Dendritic cells (DCs) are antigen-presenting myeloid cells that regulate T cell activation, trafficking and function. Monocyte-derived DCs pulsed with tumor antigens have been tested extensively for therapeutic vaccination in cancer, with mixed clinical results. Here, we present a cell-therapy platform based on mouse or human DC progenitors (DCPs) engineered to produce two immunostimulatory cytokines, IL-12 and FLT3L. Cytokine-armed DCPs differentiated into conventional type-I DCs (cDC1) and suppressed tumor growth, including melanoma and autochthonous liver models, without the need for antigen loading or myeloablative host conditioning. Tumor response involved synergy between IL-12 and FLT3L and was associated with natural killer and T cell infiltration and activation, M1-like macrophage programming and ischemic tumor necrosis. Antitumor immunity was dependent on endogenous cDC1 expansion and interferon-γ signaling but did not require CD8+ T cell cytotoxicity. Cytokine-armed DCPs synergized effectively with anti-GD2 chimeric-antigen receptor (CAR) T cells in eradicating intracranial gliomas in mice, illustrating their potential in combination therapies.","2024-02","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","240-261","","2","5","","Nat Cancer","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/7P6F2APP/Ghasemi et al. - 2024 - Cytokine-armed dendritic cell progenitors for anti.pdf","","No problem","Tumour immunology; Cancer; Cancer immunotherapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9S4KDW3E","journalArticle","2023","Hwangbo, Haeun; Patterson, Sarah C.; Dai, Andy; Plana, Deborah; Palmer, Adam C.","Additivity predicts the efficacy of most approved combination therapies for advanced cancer","Nature Cancer","","2662-1347","10.1038/s43018-023-00667-z","https://www.nature.com/articles/s43018-023-00667-z","Most advanced cancers are treated with drug combinations. Rational design aims to identify synergistic combinations, but existing synergy metrics apply to preclinical, not clinical data. Here we propose a model of drug additivity for progression-free survival (PFS) to assess whether clinical efficacies of approved drug combinations are additive or synergistic. This model includes patient-to-patient variability in best single-drug response plus the weaker drug per patient. Among US Food and Drug Administration approvals of drug combinations for advanced cancers (1995–2020), 95% exhibited additive or less than additive effects on PFS times. Among positive or negative phase 3 trials published between 2014–2018, every combination that improved PFS was expected to succeed by additivity (100% sensitivity) and most failures were expected to fail (78% specificity). This study shows synergy is neither a necessary nor common property of clinically effective drug combinations. The predictable efficacy of approved combinations suggests that additivity can be a design principle for combination therapies.","2023-12","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","1693-1704","","12","4","","Nat Cancer","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/3W5VZJG8/Hwangbo et al. - 2023 - Additivity predicts the efficacy of most approved .pdf","","No problem","Cancer therapy; Systems biology; Computational biology and bioinformatics; Clinical trial design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KLL6E22H","journalArticle","2023","Maura, Francesco; Boyle, Eileen M.; Coffey, David; Maclachlan, Kylee; Gagler, Dylan; Diamond, Benjamin; Ghamlouch, Hussein; Blaney, Patrick; Ziccheddu, Bachisio; Cirrincione, Anthony; Chojnacka, Monika; Wang, Yubao; Siegel, Ariel; Hoffman, James E.; Kazandjian, Dickran; Hassoun, Hani; Guzman, Emily; Mailankody, Sham; Shah, Urvi A.; Tan, Carlyn; Hultcrantz, Malin; Scordo, Michael; Shah, Gunjan L.; Landau, Heather; Chung, David J.; Giralt, Sergio; Zhang, Yanming; Arbini, Arnaldo; Gao, Qi; Roshal, Mikhail; Dogan, Ahmet; Lesokhin, Alexander M.; Davies, Faith E.; Usmani, Saad Z.; Korde, Neha; Morgan, Gareth J.; Landgren, Ola","Genomic and immune signatures predict clinical outcome in newly diagnosed multiple myeloma treated with immunotherapy regimens","Nature Cancer","","2662-1347","10.1038/s43018-023-00657-1","https://www.nature.com/articles/s43018-023-00657-1","Despite improving outcomes, 40% of patients with newly diagnosed multiple myeloma treated with regimens containing daratumumab, a CD38-targeted monoclonal antibody, progress prematurely. By integrating tumor whole-genome and microenvironment single-cell RNA sequencing from upfront phase 2 trials using carfilzomib, lenalidomide and dexamethasone with daratumumab (NCT03290950), we show how distinct genomic drivers including high APOBEC mutational activity, IKZF3 and RPL5 deletions and 8q gain affect clinical outcomes. Furthermore, evaluation of paired bone marrow profiles, taken before and after eight cycles of carfilzomib, lenalidomide and dexamethasone with daratumumab, shows that numbers of natural killer cells before treatment, high T cell receptor diversity before treatment, the disappearance of sustained immune activation (that is, B cells and T cells) and monocyte expansion over time are all predictive of sustained minimal residual disease negativity. Overall, this study provides strong evidence of a complex interplay between tumor cells and the immune microenvironment that is predictive of clinical outcome and depth of treatment response in patients with newly diagnosed multiple myeloma treated with highly effective combinations containing anti-CD38 antibodies.","2023-12","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","1660-1674","","12","4","","Nat Cancer","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/BP9ZT4NF/Maura et al. - 2023 - Genomic and immune signatures predict clinical out.pdf","","No problem","Cancer; Cancer immunotherapy; Cancer microenvironment; Myeloma; Cancer genomics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G36PQZEJ","journalArticle","2024","Bruedigam, Claudia; Porter, Amy H.; Song, Axia; Vroeg in de Wei, Gerjanne; Stoll, Thomas; Straube, Jasmin; Cooper, Leanne; Cheng, Guidan; Kahl, Vivian F. S.; Sobinoff, Alexander P.; Ling, Victoria Y.; Jebaraj, Billy Michael Chelliah; Janardhanan, Yashaswini; Haldar, Rohit; Bray, Laura J.; Bullinger, Lars; Heidel, Florian H.; Kennedy, Glen A.; Hill, Michelle M.; Pickett, Hilda A.; Abdel-Wahab, Omar; Hartel, Gunter; Lane, Steven W.","Imetelstat-mediated alterations in fatty acid metabolism to induce ferroptosis as a therapeutic strategy for acute myeloid leukemia","Nature Cancer","","2662-1347","10.1038/s43018-023-00653-5","https://www.nature.com/articles/s43018-023-00653-5","Telomerase enables replicative immortality in most cancers including acute myeloid leukemia (AML). Imetelstat is a first-in-class telomerase inhibitor with clinical efficacy in myelofibrosis and myelodysplastic syndromes. Here, we develop an AML patient-derived xenograft resource and perform integrated genomics, transcriptomics and lipidomics analyses combined with functional genetics to identify key mediators of imetelstat efficacy. In a randomized phase II-like preclinical trial in patient-derived xenografts, imetelstat effectively diminishes AML burden and preferentially targets subgroups containing mutant NRAS and oxidative stress-associated gene expression signatures. Unbiased, genome-wide CRISPR/Cas9 editing identifies ferroptosis regulators as key mediators of imetelstat efficacy. Imetelstat promotes the formation of polyunsaturated fatty acid-containing phospholipids, causing excessive levels of lipid peroxidation and oxidative stress. Pharmacological inhibition of ferroptosis diminishes imetelstat efficacy. We leverage these mechanistic insights to develop an optimized therapeutic strategy using oxidative stress-inducing chemotherapy to sensitize patient samples to imetelstat causing substantial disease control in AML.","2024-01","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","47-65","","1","5","","Nat Cancer","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/K6ST85CS/Bruedigam et al. - 2024 - Imetelstat-mediated alterations in fatty acid meta.pdf","","Log","Drug development; Cancer; Acute myeloid leukaemia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y7H5LDKF","journalArticle","2023","Mandal, Kamal; Wicaksono, Gianina; Yu, Clinton; Adams, Jarrett J.; Hoopmann, Michael R.; Temple, William C.; Izgutdina, Adila; Escobar, Bonell Patiño; Gorelik, Maryna; Ihling, Christian H.; Nix, Matthew A.; Naik, Akul; Xie, William H.; Hübner, Juwita; Rollins, Lisa A.; Reid, Sandy M.; Ramos, Emilio; Kasap, Corynn; Steri, Veronica; Serrano, Juan Antonio Camara; Salangsang, Fernando; Phojanakong, Paul; McMillan, Melanie; Gavallos, Victor; Leavitt, Andrew D.; Logan, Aaron C.; Rooney, Cliona M.; Eyquem, Justin; Sinz, Andrea; Huang, Benjamin J.; Stieglitz, Elliot; Smith, Catherine C.; Moritz, Robert L.; Sidhu, Sachdev S.; Huang, Lan; Wiita, Arun P.","Structural surfaceomics reveals an AML-specific conformation of integrin β2 as a CAR T cellular therapy target","Nature Cancer","","2662-1347","10.1038/s43018-023-00652-6","https://www.nature.com/articles/s43018-023-00652-6","Safely expanding indications for cellular therapies has been challenging given a lack of highly cancer-specific surface markers. Here we explore the hypothesis that tumor cells express cancer-specific surface protein conformations that are invisible to standard target discovery pipelines evaluating gene or protein expression, and these conformations can be identified and immunotherapeutically targeted. We term this strategy integrating cross-linking mass spectrometry with glycoprotein surface capture ‘structural surfaceomics’. As a proof of principle, we apply this technology to acute myeloid leukemia (AML), a hematologic malignancy with dismal outcomes and no known optimal immunotherapy target. We identify the activated conformation of integrin β2 as a structurally defined, widely expressed AML-specific target. We develop and characterize recombinant antibodies to this protein conformation and show that chimeric antigen receptor T cells eliminate AML cells and patient-derived xenografts without notable toxicity toward normal hematopoietic cells. Our findings validate an AML conformation-specific target antigen and demonstrate a tool kit for applying these strategies more broadly.","2023-11","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","1592-1609","","11","4","","Nat Cancer","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/AKMGGKFP/Mandal et al. - 2023 - Structural surfaceomics reveals an AML-specific co.pdf","","No problem","Proteomics; Cancer; Cancer immunotherapy; Acute myeloid leukaemia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FWRTJBB","journalArticle","2023","Knorr, Katherine; Rahman, Jahan; Erickson, Caroline; Wang, Eric; Monetti, Mara; Li, Zhuoning; Ortiz-Pacheco, Juliana; Jones, Andrew; Lu, Sydney X.; Stanley, Robert F.; Baez, Maria; Fox, Nina; Castro, Cynthia; Marino, Alessandra E.; Jiang, Caroline; Penson, Alex; Hogg, Simon J.; Mi, Xiaoli; Nakajima, Hideaki; Kunimoto, Hiroyoshi; Nishimura, Koutarou; Inoue, Daichi; Greenbaum, Benjamin; Knorr, David; Ravetch, Jeffrey; Abdel-Wahab, Omar","Systematic evaluation of AML-associated antigens identifies anti-U5 SNRNP200 therapeutic antibodies for the treatment of acute myeloid leukemia","Nature Cancer","","2662-1347","10.1038/s43018-023-00656-2","https://www.nature.com/articles/s43018-023-00656-2","Despite recent advances in the treatment of acute myeloid leukemia (AML), there has been limited success in targeting surface antigens in AML, in part due to shared expression across malignant and normal cells. Here, high-density immunophenotyping of AML coupled with proteogenomics identified unique expression of a variety of antigens, including the RNA helicase U5 snRNP200, on the surface of AML cells but not on normal hematopoietic precursors and skewed Fc receptor distribution in the AML immune microenvironment. Cell membrane localization of U5 snRNP200 was linked to surface expression of the Fcγ receptor IIIA (FcγIIIA, also known as CD32A) and correlated with expression of interferon-regulated immune response genes. Anti-U5 snRNP200 antibodies engaging activating Fcγ receptors were efficacious across immunocompetent AML models and were augmented by combination with azacitidine. These data provide a roadmap of AML-associated antigens with Fc receptor distribution in AML and highlight the potential for targeting the AML cell surface using Fc-optimized therapeutics.","2023-12","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","1675-1692","","12","4","","Nat Cancer","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/9VW5TS66/Knorr et al. - 2023 - Systematic evaluation of AML-associated antigens i.pdf","","Log","Cancer therapy; Cancer; Immunotherapy; Applied immunology; Acute myeloid leukaemia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IKNYRAAL","journalArticle","2024","Feng, Zunyong; Zhang, Xuanbo; Zhou, Jing; Li, Qiang; Chu, Liuxi; Di, Guangfu; Xu, Zhengyuan; Chen, Qun; Wang, Ming; Jiang, Xiaochun; Xia, Hongping; Chen, Xiaoyuan","An in vitro-transcribed circular RNA targets the mitochondrial inner membrane cardiolipin to ablate EIF4G2+/PTBP1+ pan-adenocarcinoma","Nature Cancer","","2662-1347","10.1038/s43018-023-00650-8","https://www.nature.com/articles/s43018-023-00650-8","In vitro-transcribed (IVT) mRNA has arisen as a rapid method for the production of nucleic acid drugs. Here, we have constructed an oncolytic IVT mRNA that utilizes human rhinovirus type 2 (HRV2) internal ribosomal entry sites (IRESs) to selectively trigger translation in cancer cells with high expression of EIF4G2 and PTBP1. The oncolytic effect was provided by a long hGSDMDc .825 T>A/c.884 A>G-F1LCT mutant mRNA sequence with mitochondrial inner membrane cardiolipin targeting toxicity that triggers mitophagy. Utilizing the permuted intron-exon (PIE) splicing circularization strategy and lipid nanoparticle (LNP) encapsulation reduced immunogenicity of the mRNA and enabled delivery to eukaryotic cells in vivo. Engineered HRV2 IRESs-GSDMDp.D275E/E295G-F1LCT circRNA-LNPs (GSDMDENG circRNA) successfully inhibited EIF4G2+/PTBP1+ pan-adenocarcinoma xenografts growth. Importantly, in a spontaneous tumor model with abnormal EIF4G2 and PTBP1 caused by KRASG12Dmutation, GSDMDENG circRNA significantly prevented the occurrence of pancreatic, lung and colon adenocarcinoma, improved the survival rate and induced persistent KRASG12Dtumor antigen-specific cytotoxic T lymphocyte responses.","2024-01","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","30-46","","1","5","","Nat Cancer","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/6KSXJMYK/Feng et al. - 2024 - An in vitro-transcribed circular RNA targets the m.pdf","","No problem","Nanoparticles; Cancer; Targeted therapies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A3MZIQXC","journalArticle","2024","Recouvreux, Maria Victoria; Grenier, Shea F.; Zhang, Yijuan; Esparza, Edgar; Lambies, Guillem; Galapate, Cheska Marie; Maganti, Swetha; Duong-Polk, Karen; Bhullar, Deepika; Naeem, Razia; Scott, David A.; Lowy, Andrew M.; Tiriac, Hervé; Commisso, Cosimo","Glutamine mimicry suppresses tumor progression through asparagine metabolism in pancreatic ductal adenocarcinoma","Nature Cancer","","2662-1347","10.1038/s43018-023-00649-1","https://www.nature.com/articles/s43018-023-00649-1","In pancreatic ductal adenocarcinoma (PDAC), glutamine is a critical nutrient that drives a wide array of metabolic and biosynthetic processes that support tumor growth. Here, we elucidate how 6-diazo-5-oxo-l-norleucine (DON), a glutamine antagonist that broadly inhibits glutamine metabolism, blocks PDAC tumor growth and metastasis. We find that DON significantly reduces asparagine production by inhibiting asparagine synthetase (ASNS), and that the effects of DON are rescued by asparagine. As a metabolic adaptation, PDAC cells upregulate ASNS expression in response to DON, and we show that ASNS levels are inversely correlated with DON efficacy. We also show that l-asparaginase (ASNase) synergizes with DON to affect the viability of PDAC cells, and that DON and ASNase combination therapy has a significant impact on metastasis. These results shed light on the mechanisms that drive the effects of glutamine mimicry and point to the utility of cotargeting adaptive responses to control PDAC progression.","2024-01","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","100-113","","1","5","","Nat Cancer","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/FTLJX7XM/Recouvreux et al. - 2024 - Glutamine mimicry suppresses tumor progression thr.pdf","","No problem","Cancer; Targeted therapies; Cancer metabolism; Pancreatic cancer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JD353Z2T","journalArticle","2024","Encarnación-Rosado, Joel; Sohn, Albert S. W.; Biancur, Douglas E.; Lin, Elaine Y.; Osorio-Vasquez, Victoria; Rodrick, Tori; González-Baerga, Diana; Zhao, Ende; Yokoyama, Yumi; Simeone, Diane M.; Jones, Drew R.; Parker, Seth J.; Wild, Robert; Kimmelman, Alec C.","Targeting pancreatic cancer metabolic dependencies through glutamine antagonism","Nature Cancer","","2662-1347","10.1038/s43018-023-00647-3","https://www.nature.com/articles/s43018-023-00647-3","Pancreatic ductal adenocarcinoma (PDAC) cells use glutamine (Gln) to support proliferation and redox balance. Early attempts to inhibit Gln metabolism using glutaminase inhibitors resulted in rapid metabolic reprogramming and therapeutic resistance. Here, we demonstrated that treating PDAC cells with a Gln antagonist, 6-diazo-5-oxo-l-norleucine (DON), led to a metabolic crisis in vitro. In addition, we observed a profound decrease in tumor growth in several in vivo models using sirpiglenastat (DRP-104), a pro-drug version of DON that was designed to circumvent DON-associated toxicity. We found that extracellular signal-regulated kinase (ERK) signaling is increased as a compensatory mechanism. Combinatorial treatment with DRP-104 and trametinib led to a significant increase in survival in a syngeneic model of PDAC. These proof-of-concept studies suggested that broadly targeting Gln metabolism could provide a therapeutic avenue for PDAC. The combination with an ERK signaling pathway inhibitor could further improve the therapeutic outcome.","2024-01","2024-06-11 00:52:23","2024-06-11 00:52:23","2024-05-27 00:50:35","85-99","","1","5","","Nat Cancer","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/ESNS4MSF/Encarnación-Rosado et al. - 2024 - Targeting pancreatic cancer metabolic dependencies.pdf","","No problem","Cancer therapy; Cancer; Cancer metabolism; Pancreatic cancer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
