"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RQ9C89QH","journalArticle","2023","Jiang, Allen Y.; Witten, Jacob; Raji, Idris O.; Eweje, Feyisayo; MacIsaac, Corina; Meng, Sabrina; Oladimeji, Favour A.; Hu, Yizong; Manan, Rajith S.; Langer, Robert; Anderson, Daniel G.","Combinatorial development of nebulized mRNA delivery formulations for the lungs","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01548-3","https://www.nature.com/articles/s41565-023-01548-3","Inhaled delivery of mRNA has the potential to treat a wide variety of diseases. However, nebulized mRNA lipid nanoparticles (LNPs) face several unique challenges including stability during nebulization and penetration through both cellular and extracellular barriers. Here we develop a combinatorial approach addressing these barriers. First, we observe that LNP formulations can be stabilized to resist nebulization-induced aggregation by altering the nebulization buffer to increase the LNP charge during nebulization, and by the addition of a branched polymeric excipient. Next, we synthesize a combinatorial library of ionizable, degradable lipids using reductive amination, and evaluate their delivery potential using fully differentiated air–liquid interface cultured primary lung epithelial cells. The final combination of ionizable lipid, charge-stabilized formulation and stability-enhancing excipient yields a significant improvement in lung mRNA delivery over current state-of-the-art LNPs and polymeric nanoparticles.","2023-11-20","2023-11-29 05:33:15","2024-05-28 07:45:36","2023-11-29 05:33:15","1-12","","","","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/5G9FRCT9/Jiang et al. - 2023 - Combinatorial development of nebulized mRNA delive.pdf","","Log","Drug delivery; Nanomedicine; Nanoparticles; Biomedical engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32I4IYHB","journalArticle","2023","Koo, Sagang; Sohn, Hee Su; Kim, Tae Hee; Yang, Siyeon; Jang, Se Youn; Ye, Seongryeol; Choi, Boomin; Kim, Soo Hyeon; Park, Kyoung Sun; Shin, Hyun Mu; Park, Ok Kyu; Kim, Cheesue; Kang, Mikyung; Soh, Min; Yoo, Jin; Kim, Dokyoon; Lee, Nohyun; Kim, Byung-Soo; Jung, Youngmee; Hyeon, Taeghwan","Ceria-vesicle nanohybrid therapeutic for modulation of innate and adaptive immunity in a collagen-induced arthritis model","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01523-y","https://www.nature.com/articles/s41565-023-01523-y","Commencing with the breakdown of immune tolerance, multiple pathogenic factors, including synovial inflammation and harmful cytokines, are conjointly involved in the progression of rheumatoid arthritis. Intervening to mitigate some of these factors can bring a short-term therapeutic effect, but other unresolved factors will continue to aggravate the disease. Here we developed a ceria nanoparticle-immobilized mesenchymal stem cell nanovesicle hybrid system to address multiple factors in rheumatoid arthritis. Each component of this nanohybrid works individually and also synergistically, resulting in comprehensive treatment. Alleviation of inflammation and modulation of the tissue environment into an immunotolerant-favourable state are combined to recover the immune system by bridging innate and adaptive immunity. The therapy is shown to successfully treat and prevent rheumatoid arthritis by relieving the main symptoms and also by restoring the immune system through the induction of regulatory T cells in a mouse model of collagen-induced arthritis.","2023-12","2024-04-27 23:11:23","2024-05-28 07:44:48","2024-04-27 23:11:23","1502-1514","","12","18","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/R2JR6RU8/Koo et al. - 2023 - Ceria-vesicle nanohybrid therapeutic for modulatio.pdf","","Zero","Nanomedicine; Nanoparticles; Biomaterials","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZS52HCHF","journalArticle","2024","Gao, Jinchao; Song, Qingxiang; Gu, Xiao; Jiang, Gan; Huang, Jialin; Tang, Yuyun; Yu, Renhe; Wang, Antian; Huang, Yukun; Zheng, Gang; Chen, Hongzhuan; Gao, Xiaoling","Intracerebral fate of organic and inorganic nanoparticles is dependent on microglial extracellular vesicle function","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01551-8","https://www.nature.com/articles/s41565-023-01551-8","Nanoparticles (NPs) represent an important advance for delivering diagnostic and therapeutic agents across the blood–brain barrier. However, NP clearance is critical for safety and therapeutic applicability. Here we report on a study of the clearance of model organic and inorganic NPs from the brain. We find that microglial extracellular vesicles (EVs) play a crucial role in the clearance of inorganic and organic NPs from the brain. Inorganic NPs, unlike organic NPs, perturb the biogenesis of microglial EVs through the inhibition of ERK1/2 signalling. This increases the accumulation of inorganic NPs in microglia, hindering their elimination via the paravascular route. We also demonstrate that stimulating the release of microglial EVs by an ERK1/2 activator increased the paravascular glymphatic pathway-mediated brain clearance of inorganic NPs. These findings highlight the modulatory role of microglial EVs on the distinct patterns of the clearance of organic and inorganic NPs from the brain and provide a strategy for modulating the intracerebral fate of NPs.","2024-03","2024-05-26 17:18:08","2024-05-28 07:45:52","2024-05-26 17:18:08","376-386","","3","19","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/92WWDM5W/Gao et al. - 2024 - Intracerebral fate of organic and inorganic nanopa.pdf","","No problem","Nanoparticles; Biotechnology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3JR7GTB","journalArticle","2024","Le Floch, Paul; Zhao, Siyuan; Liu, Ren; Molinari, Nicola; Medina, Eder; Shen, Hao; Wang, Zheliang; Kim, Junsoo; Sheng, Hao; Partarrieu, Sebastian; Wang, Wenbo; Sessler, Chanan; Zhang, Guogao; Park, Hyunsu; Gong, Xian; Spencer, Andrew; Lee, Jongha; Ye, Tianyang; Tang, Xin; Wang, Xiao; Bertoldi, Katia; Lu, Nanshu; Kozinsky, Boris; Suo, Zhigang; Liu, Jia","3D spatiotemporally scalable in vivo neural probes based on fluorinated elastomers","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01545-6","https://www.nature.com/articles/s41565-023-01545-6","Electronic devices for recording neural activity in the nervous system need to be scalable across large spatial and temporal scales while also providing millisecond and single-cell spatiotemporal resolution. However, existing high-resolution neural recording devices cannot achieve simultaneous scalability on both spatial and temporal levels due to a trade-off between sensor density and mechanical flexibility. Here we introduce a three-dimensional (3D) stacking implantable electronic platform, based on perfluorinated dielectric elastomers and tissue-level soft multilayer electrodes, that enables spatiotemporally scalable single-cell neural electrophysiology in the nervous system. Our elastomers exhibit stable dielectric performance for over a year in physiological solutions and are 10,000 times softer than conventional plastic dielectrics. By leveraging these unique characteristics we develop the packaging of lithographed nanometre-thick electrode arrays in a 3D configuration with a cross-sectional density of 7.6 electrodes per 100 µm2. The resulting 3D integrated multilayer soft electrode array retains tissue-level flexibility, reducing chronic immune responses in mouse neural tissues, and demonstrates the ability to reliably track electrical activity in the mouse brain or spinal cord over months without disrupting animal behaviour.","2024-03","2024-05-26 17:18:08","2024-05-28 07:43:38","2024-05-26 17:18:08","319-329","","3","19","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/MED8NP9D/Le Floch et al. - 2024 - 3D spatiotemporally scalable in vivo neural probes.pdf","","Log","Bionanoelectronics; Sensors and biosensors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GB8DYLWA","journalArticle","2024","Udani, Shreya; Langerman, Justin; Koo, Doyeon; Baghdasarian, Sevana; Cheng, Brian; Kang, Simran; Soemardy, Citradewi; de Rutte, Joseph; Plath, Kathrin; Di Carlo, Dino","Associating growth factor secretions and transcriptomes of single cells in nanovials using SEC-seq","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01560-7","https://www.nature.com/articles/s41565-023-01560-7","Cells secrete numerous bioactive molecules that are essential for the function of healthy organisms. However, scalable methods are needed to link individual cell secretions to their transcriptional state over time. Here, by developing and using secretion-encoded single-cell sequencing (SEC-seq), which exploits hydrogel particles with subnanolitre cavities (nanovials) to capture individual cells and their secretions, we simultaneously measured the secretion of vascular endothelial growth factor A (VEGF-A) and the transcriptome for thousands of individual mesenchymal stromal cells. Our data indicate that VEGF-A secretion is heterogeneous across the cell population and is poorly correlated with the VEGFA transcript level. The highest VEGF-A secretion occurs in a subpopulation of mesenchymal stromal cells characterized by a unique gene expression signature comprising a surface marker, interleukin-13 receptor subunit alpha 2 (IL13RA2), which allowed the enrichment of this subpopulation. SEC-seq enables the identification of gene signatures linked to specific secretory states, facilitating mechanistic studies, the isolation of secretory subpopulations and the development of means to modulate cellular secretion.","2024-03","2024-05-26 17:18:08","2024-05-28 07:43:34","2024-05-26 17:18:08","354-363","","3","19","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/I24GW96F/Udani et al. - 2024 - Associating growth factor secretions and transcrip.pdf","","No problem","Biomedical engineering; Microfluidics; Characterization and analytical techniques; Tissue engineering and regenerative medicine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9938TZR","journalArticle","2024","Liu, Guangna; Ma, Nana; Cheng, Keman; Feng, Qingqing; Ma, Xiaotu; Yue, Yale; Li, Yao; Zhang, Tianjiao; Gao, Xiaoyu; Liang, Jie; Zhang, Lizhuo; Wang, Xinwei; Ren, Zhenhua; Fu, Yang-Xin; Zhao, Xiao; Nie, Guangjun","Bacteria-derived nanovesicles enhance tumour vaccination by trained immunity","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01553-6","https://www.nature.com/articles/s41565-023-01553-6","Trained immunity enhances the responsiveness of immune cells to subsequent infections or vaccinations. Here we demonstrate that pre-vaccination with bacteria-derived outer-membrane vesicles, which contain large amounts of pathogen-associated molecular patterns, can be used to potentiate, and enhance, tumour vaccination by trained immunity. Intraperitoneal administration of these outer-membrane vesicles to mice activates inflammasome signalling pathways and induces interleukin-1β secretion. The elevated interleukin-1β increases the generation of antigen-presenting cell progenitors. This results in increased immune response when tumour antigens are delivered, and increases tumour-antigen-specific T-cell activation. This trained immunity increased protection from tumour challenge in two distinct cancer models.","2024-03","2024-05-26 17:18:08","2024-05-28 07:43:37","2024-05-26 17:18:08","387-398","","3","19","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/ITK943R8/Liu et al. - 2024 - Bacteria-derived nanovesicles enhance tumour vacci.pdf","","Zero","Biotechnology; Nanostructures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"358TF6PE","journalArticle","2024","Tian, Ye; Song, Yizhi; Xia, Yijie; Hong, Jiani; Huang, Yupeng; Ma, Runze; You, Sifan; Guan, Dong; Cao, Duanyun; Zhao, Mengze; Chen, Ji; Song, Chen; Liu, Kaihui; Xu, Li-Mei; Gao, Yi Qin; Wang, En-Ge; Jiang, Ying","Nanoscale one-dimensional close packing of interfacial alkali ions driven by water-mediated attraction","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01550-9","https://www.nature.com/articles/s41565-023-01550-9","The permeability and selectivity of biological and artificial ion channels correlate with the specific hydration structure of single ions. However, fundamental understanding of the effect of ion–ion interaction remains elusive. Here, via non-contact atomic force microscopy measurements, we demonstrate that hydrated alkali metal cations (Na+ and K+) at charged surfaces could come into close contact with each other through partial dehydration and water rearrangement processes, forming one-dimensional chain structures. We prove that the interplay at the nanoscale between the water–ion and water–water interaction can lead to an effective ion–ion attraction overcoming the ionic Coulomb repulsion. The tendency for different ions to become closely packed follows the sequence K+ > Na+ > Li+, which is attributed to their different dehydration energies and charge densities. This work highlights the key role of water molecules in prompting close packing and concerted movement of ions at charged surfaces, which may provide new insights into the mechanism of ion transport under atomic confinement.","2024-04","2024-05-26 17:18:08","2024-05-28 07:43:31","2024-05-26 17:18:08","479-484","","4","19","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/XVBINXN5/Tian et al. - 2024 - Nanoscale one-dimensional close packing of interfa.pdf","","No bar","Nanostructures; Chemical physics; Computational chemistry; Fluidics; Scanning probe microscopy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I9QIDXI3","journalArticle","2024","Bauer, Magnus S.; Gruber, Sophia; Hausch, Adina; Melo, Marcelo C. R.; Gomes, Priscila S. F. C.; Nicolaus, Thomas; Milles, Lukas F.; Gaub, Hermann E.; Bernardi, Rafael C.; Lipfert, Jan","Single-molecule force stability of the SARS-CoV-2–ACE2 interface in variants-of-concern","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01536-7","https://www.nature.com/articles/s41565-023-01536-7","Mutations in SARS-CoV-2 have shown effective evasion of population immunity and increased affinity to the cellular receptor angiotensin-converting enzyme 2 (ACE2). However, in the dynamic environment of the respiratory tract, forces act on the binding partners, which raises the question of whether not only affinity but also force stability of the SARS-CoV-2–ACE2 interaction might be a selection factor for mutations. Using magnetic tweezers, we investigate the impact of amino acid substitutions in variants of concern (Alpha, Beta, Gamma and Delta) and on force-stability and bond kinetic of the receptor-binding domain–ACE2 interface at a single-molecule resolution. We find a higher affinity for all of the variants of concern (>fivefold) compared with the wild type. In contrast, Alpha is the only variant of concern that shows higher force stability (by 17%) compared with the wild type. Using molecular dynamics simulations, we rationalize the mechanistic molecular origins of this increase in force stability. Our study emphasizes the diversity of contributions to the transmissibility of variants and establishes force stability as one of the several factors for fitness. Understanding fitness advantages opens the possibility for the prediction of probable mutations, allowing a rapid adjustment of therapeutics, vaccines and intervention measures.","2024-03","2024-05-26 17:18:08","2024-05-28 07:44:16","2024-05-26 17:18:08","399-405","","3","19","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/RWQSC7G8/Bauer et al. - 2024 - Single-molecule force stability of the SARS-CoV-2–.pdf","","No bar","Biological physics; SARS-CoV-2; Biosensors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TL9U6Q7X","journalArticle","2024","Krishnan, Nishta; Jiang, Yao; Zhou, Jiarong; Mohapatra, Animesh; Peng, Fei-Xing; Duan, Yaou; Holay, Maya; Chekuri, Sanam; Guo, Zhongyuan; Gao, Weiwei; Fang, Ronnie H.; Zhang, Liangfang","A modular approach to enhancing cell membrane-coated nanoparticle functionality using genetic engineering","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01533-w","https://www.nature.com/articles/s41565-023-01533-w","Since their initial development, cell membrane-coated nanoparticles (CNPs) have become increasingly popular in the biomedical field. Despite their inherent versatility and ability to enable complex biological applications, there is considerable interest in augmenting the performance of CNPs through the introduction of additional functionalities. Here we demonstrate a genetic-engineering-based modular approach to CNP functionalization that can encompass a wide range of ligands onto the nanoparticle surface. The cell membrane coating is engineered to express a SpyCatcher membrane anchor that can readily form a covalent bond with any moiety modified with SpyTag. To demonstrate the broad utility of this technique, three unique targeted CNP formulations are generated using different classes of targeting ligands, including a designed ankyrin repeat protein, an affibody and a single-chain variable fragment. In vitro, the modified nanoparticles exhibit enhanced affinity towards cell lines overexpressing the cognate receptors for each ligand. When formulated with a chemotherapeutic payload, the modularly functionalized nanoparticles display strong targeting ability and growth suppression in a murine tumour xenograft model of ovarian cancer. Our data suggest genetic engineering offers a feasible approach for accelerating the development of multifunctional CNPs for a broad range of biomedical applications.","2024-03","2024-05-26 17:18:08","2024-05-28 07:45:13","2024-05-26 17:18:08","345-353","","3","19","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/V2ENHYU8/Krishnan et al. - 2024 - A modular approach to enhancing cell membrane-coat.pdf","","No problem","Drug delivery; Nanoparticles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWEPFND6","journalArticle","2024","Zhang, Wei; Jiang, Wei; Zhang, Chao; Qin, Xuezhi; Zheng, Huanxi; Xu, Wanghuai; Cui, Miaomiao; Wang, Bin; Wu, Jianing; Wang, Zuankai","Honeybee comb-inspired stiffness gradient-amplified catapult for solid particle repellency","Nature Nanotechnology","","1748-3395","10.1038/s41565-023-01524-x","https://www.nature.com/articles/s41565-023-01524-x","Natural surfaces that repel foreign matter are ubiquitous and crucial for living organisms. Despite remarkable liquid repellency driven by surface energy in many organisms, repelling tiny solid particles from surfaces is rare. The main challenge lies in the unfavourable scaling of inertia versus adhesion in the microscale and the inability of solids to release surface energy. Here we report a previously unexplored solid repellency on a honeybee’s comb: a catapult-like effect to immediately eject pollen after grooming dirty antennae for self-cleaning. Nanoindentation tests revealed the 38-μm-long comb features a stiffness gradient spanning nearly two orders of magnitude from ~25 MPa at the tip to ~645 MPa at the base. This significantly augments the elastic energy storage and accelerates the subsequent conversion into kinetic energy. The reinforcement in energy storage and conversion allows the particle’s otherwise weak inertia to outweigh its adhesion, thereby suppressing the unfavourable scaling effect and realizing solid repellency that is impossible in conventional uniform designs. We capitalize on this to build an elastomeric bioinspired stiffness-gradient catapult and demonstrate its generality and practicality. Our findings advance the fundamental understanding of natural catapult phenomena with the potential to develop bioinspired stiffness-gradient materials, catapult-based actuators and robotic cleaners.","2024-02","2024-05-26 17:18:08","2024-05-28 07:44:18","2024-05-26 17:18:09","219-225","","2","19","","Nat. Nanotechnol.","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/3W7EDDUU/Zhang et al. - 2024 - Honeybee comb-inspired stiffness gradient-amplifie.pdf","","No problem","Biomaterials; Biological physics; Applied physics; Mechanical engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
