"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LQ362DZL","journalArticle","2024","Santisteban, Monica M.; Schaeffer, Samantha; Anfray, Antoine; Faraco, Giuseppe; Brea, David; Wang, Gang; Sobanko, Melissa J.; Sciortino, Rose; Racchumi, Gianfranco; Waisman, Ari; Park, Laibaik; Anrather, Josef; Iadecola, Costantino","Meningeal interleukin-17-producing T cells mediate cognitive impairment in a mouse model of salt-sensitive hypertension","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01497-z","https://www.nature.com/articles/s41593-023-01497-z","Hypertension (HTN), a disease afflicting over one billion individuals worldwide, is a leading cause of cognitive impairment, the mechanisms of which remain poorly understood. In the present study, in a mouse model of HTN, we find that the neurovascular and cognitive dysfunction depends on interleukin (IL)-17, a cytokine elevated in individuals with HTN. However, neither circulating IL-17 nor brain angiotensin signaling can account for the dysfunction. Rather, IL-17 produced by T cells in the dura mater is the mediator released in the cerebrospinal fluid and activating IL-17 receptors on border-associated macrophages (BAMs). Accordingly, depleting BAMs, deleting IL-17 receptor A in brain macrophages or suppressing meningeal T cells rescues cognitive function without attenuating blood pressure elevation, circulating IL-17 or brain angiotensin signaling. Our data unveil a critical role of meningeal T cells and macrophage IL-17 signaling in the neurovascular and cognitive dysfunction in a mouse model of HTN.","2024-01","2024-05-28 05:56:02","2024-05-28 06:19:39","2024-05-28 05:56:02","63-77","","1","27","","Nat Neurosci","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/D29ZGRYW/Santisteban et al. - 2024 - Meningeal interleukin-17-producing T cells mediate.pdf","","No problem","Neuroimmunology; Neuro–vascular interactions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5TM237XK","journalArticle","2023","Perl, Ofer; Duek, Or; Kulkarni, Kaustubh R.; Gordon, Charles; Krystal, John H.; Levy, Ifat; Harpaz-Rotem, Ilan; Schiller, Daniela","Neural patterns differentiate traumatic from sad autobiographical memories in PTSD","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01483-5","https://www.nature.com/articles/s41593-023-01483-5","For people with post-traumatic stress disorder (PTSD), recall of traumatic memories often displays as intrusions that differ profoundly from processing of ‘regular’ negative memories. These mnemonic features fueled theories speculating a unique cognitive state linked with traumatic memories. Yet, to date, little empirical evidence supports this view. Here we examined neural activity of patients with PTSD who were listening to narratives depicting their own memories. An intersubject representational similarity analysis of cross-subject semantic content and neural patterns revealed a differentiation in hippocampal representation by narrative type: semantically similar, sad autobiographical memories elicited similar neural representations across participants. By contrast, within the same individuals, semantically similar trauma memories were not represented similarly. Furthermore, we were able to decode memory type from hippocampal multivoxel patterns. Finally, individual symptom severity modulated semantic representation of the traumatic narratives in the posterior cingulate cortex. Taken together, these findings suggest that traumatic memories are an alternative cognitive entity that deviates from memory per se.","2023-12","2024-05-28 05:56:02","2024-05-28 06:25:32","2024-05-28 05:56:03","2226-2236","","12","26","","Nat Neurosci","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/6WEABWP7/Perl et al. - 2023 - Neural patterns differentiate traumatic from sad a.pdf","","No problem","Learning and memory; Psychology; Cognitive neuroscience; Post-traumatic stress disorder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y7EW38AU","journalArticle","2024","Benisty, Hadas; Barson, Daniel; Moberly, Andrew H.; Lohani, Sweyta; Tang, Lan; Coifman, Ronald R.; Crair, Michael C.; Mishne, Gal; Cardin, Jessica A.; Higley, Michael J.","Rapid fluctuations in functional connectivity of cortical networks encode spontaneous behavior","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01498-y","https://www.nature.com/articles/s41593-023-01498-y","Experimental work across species has demonstrated that spontaneously generated behaviors are robustly coupled to variations in neural activity within the cerebral cortex. Functional magnetic resonance imaging data suggest that temporal correlations in cortical networks vary across distinct behavioral states, providing for the dynamic reorganization of patterned activity. However, these data generally lack the temporal resolution to establish links between cortical signals and the continuously varying fluctuations in spontaneous behavior observed in awake animals. Here, we used wide-field mesoscopic calcium imaging to monitor cortical dynamics in awake mice and developed an approach to quantify rapidly time-varying functional connectivity. We show that spontaneous behaviors are represented by fast changes in both the magnitude and correlational structure of cortical network activity. Combining mesoscopic imaging with simultaneous cellular-resolution two-photon microscopy demonstrated that correlations among neighboring neurons and between local and large-scale networks also encode behavior. Finally, the dynamic functional connectivity of mesoscale signals revealed subnetworks not predicted by traditional anatomical atlas-based parcellation of the cortex. These results provide new insights into how behavioral information is represented across the neocortex and demonstrate an analytical framework for investigating time-varying functional connectivity in neural networks.","2024-01","2024-05-28 05:56:02","2024-05-28 06:22:44","2024-05-28 05:56:03","148-158","","1","27","","Nat Neurosci","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/9LYGCFJ9/Benisty et al. - 2024 - Rapid fluctuations in functional connectivity of c.pdf","","No problem","Neural circuits; Sensorimotor processing; Dynamic networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"689P8HXJ","journalArticle","2024","Griggs, Whitney S.; Norman, Sumner L.; Deffieux, Thomas; Segura, Florian; Osmanski, Bruno-Félix; Chau, Geeling; Christopoulos, Vasileios; Liu, Charles; Tanter, Mickael; Shapiro, Mikhail G.; Andersen, Richard A.","Decoding motor plans using a closed-loop ultrasonic brain–machine interface","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01500-7","https://www.nature.com/articles/s41593-023-01500-7","Brain–machine interfaces (BMIs) enable people living with chronic paralysis to control computers, robots and more with nothing but thought. Existing BMIs have trade-offs across invasiveness, performance, spatial coverage and spatiotemporal resolution. Functional ultrasound (fUS) neuroimaging is an emerging technology that balances these attributes and may complement existing BMI recording technologies. In this study, we use fUS to demonstrate a successful implementation of a closed-loop ultrasonic BMI. We streamed fUS data from the posterior parietal cortex of two rhesus macaque monkeys while they performed eye and hand movements. After training, the monkeys controlled up to eight movement directions using the BMI. We also developed a method for pretraining the BMI using data from previous sessions. This enabled immediate control on subsequent days, even those that occurred months apart, without requiring extensive recalibration. These findings establish the feasibility of ultrasonic BMIs, paving the way for a new class of less-invasive (epidural) interfaces that generalize across extended time periods and promise to restore function to people with neurological impairments.","2024-01","2024-05-28 05:56:02","2024-05-28 06:22:10","2024-05-28 05:56:03","196-207","","1","27","","Nat Neurosci","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/2KWUGF97/Griggs et al. - 2024 - Decoding motor plans using a closed-loop ultrasoni.pdf","","No bar","Ultrasound; Neural decoding; Motor control; Brain–machine interface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9W2V4C7R","journalArticle","2024","Li, Wei-Ke; Zhang, Shu-Qian; Peng, Wan-Ling; Shi, Yu-Han; Yuan, Bo; Yuan, Yi-Ting; Xue, Zhen-Yu; Wang, Jin-Cheng; Han, Wen-Jian; Chen, Zhi-Fang; Shan, Shi-Fang; Xue, Bi-Qing; Chen, Jin-Long; Zhang, Cheng; Zhu, Shu-Jia; Tai, Yi-Lin; Cheng, Tian-Lin; Qiu, Zi-Long","Whole-brain in vivo base editing reverses behavioral changes in Mef2c-mutant mice","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01499-x","https://www.nature.com/articles/s41593-023-01499-x","Whole-brain genome editing to correct single-base mutations and reduce or reverse behavioral changes in animal models of autism spectrum disorder (ASD) has not yet been achieved. We developed an apolipoprotein B messenger RNA-editing enzyme, catalytic polypeptide-embedded cytosine base editor (AeCBE) system for converting C·G to T·A base pairs. We demonstrate its effectiveness by targeting AeCBE to an ASD-associated mutation of the MEF2C gene (c.104T>C, p.L35P) in vivo in mice. We first constructed Mef2cL35P heterozygous mice. Male heterozygous mice exhibited hyperactivity, repetitive behavior and social abnormalities. We then programmed AeCBE to edit the mutated C·G base pairs of Mef2c in the mouse brain through the intravenous injection of blood–brain barrier-crossing adeno-associated virus. This treatment successfully restored Mef2c protein levels in several brain regions and reversed the behavioral abnormalities in Mef2c-mutant mice. Our work presents an in vivo base-editing paradigm that could potentially correct single-base genetic mutations in the brain.","2024-01","2024-05-28 05:56:02","2024-05-28 06:21:53","2024-05-28 05:56:03","116-128","","1","27","","Nat Neurosci","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/Q2XE88VD/Li et al. - 2024 - Whole-brain in vivo base editing reverses behavior.pdf","","Zero","Social behaviour; Autism spectrum disorders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQJEC6TA","journalArticle","2023","Veerakumar, Avin; Head, Joshua P.; Krasnow, Mark A.","A brainstem circuit for phonation and volume control in mice","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01478-2","https://www.nature.com/articles/s41593-023-01478-2","Mammalian vocalizations are critical for communication and are produced through the process of phonation, in which expiratory muscles force air through the tensed vocal folds of the larynx, which vibrate to produce sound. Despite the importance of phonation, the motor circuits in the brain that control it remain poorly understood. In this study, we identified a subpopulation of ~160 neuropeptide precursor Nts (neurotensin)-expressing neurons in the mouse brainstem nucleus retroambiguus (RAm) that are robustly activated during both neonatal isolation cries and adult social vocalizations. The activity of these neurons is necessary and sufficient for vocalization and bidirectionally controls sound volume. RAm Nts neurons project to all brainstem and spinal cord motor centers involved in phonation and activate laryngeal and expiratory muscles essential for phonation and volume control. Thus, RAm Nts neurons form the core of a brain circuit for making sound and controlling its volume, which are two foundations of vocal communication.","2023-12","2024-05-28 05:56:02","2024-05-28 06:24:00","2024-05-28 05:56:03","2122-2130","","12","26","","Nat Neurosci","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/QENDZBYN/Veerakumar et al. - 2023 - A brainstem circuit for phonation and volume contr.pdf","","No problem","Molecular neuroscience; Neural circuits; Motor control; Social behaviour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PKELLZHB","journalArticle","2024","Alex, Ann M.; Aguate, Fernando; Botteron, Kelly; Buss, Claudia; Chong, Yap-Seng; Dager, Stephen R.; Donald, Kirsten A.; Entringer, Sonja; Fair, Damien A.; Fortier, Marielle V.; Gaab, Nadine; Gilmore, John H.; Girault, Jessica B.; Graham, Alice M.; Groenewold, Nynke A.; Hazlett, Heather; Lin, Weili; Meaney, Michael J.; Piven, Joseph; Qiu, Anqi; Rasmussen, Jerod M.; Roos, Annerine; Schultz, Robert T.; Skeide, Michael A.; Stein, Dan J.; Styner, Martin; Thompson, Paul M.; Turesky, Ted K.; Wadhwa, Pathik D.; Zar, Heather J.; Zöllei, Lilla; de los Campos, Gustavo; Knickmeyer, Rebecca C.","A global multicohort study to map subcortical brain development and cognition in infancy and early childhood","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01501-6","https://www.nature.com/articles/s41593-023-01501-6","The human brain grows quickly during infancy and early childhood, but factors influencing brain maturation in this period remain poorly understood. To address this gap, we harmonized data from eight diverse cohorts, creating one of the largest pediatric neuroimaging datasets to date focused on birth to 6 years of age. We mapped the developmental trajectory of intracranial and subcortical volumes in ∼2,000 children and studied how sociodemographic factors and adverse birth outcomes influence brain structure and cognition. The amygdala was the first subcortical volume to mature, whereas the thalamus exhibited protracted development. Males had larger brain volumes than females, and children born preterm or with low birthweight showed catch-up growth with age. Socioeconomic factors exerted region- and time-specific effects. Regarding cognition, males scored lower than females; preterm birth affected all developmental areas tested, and socioeconomic factors affected visual reception and receptive language. Brain–cognition correlations revealed region-specific associations.","2024-01","2024-05-28 05:56:02","2024-05-28 06:22:54","2024-05-28 05:56:04","176-186","","1","27","","Nat Neurosci","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/84XDSLVB/Alex et al. - 2024 - A global multicohort study to map subcortical brai.pdf","","No bar","Development of the nervous system; Magnetic resonance imaging; Behavioural methods; Psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRK897WF","journalArticle","2023","Wei, Yao; Miao, QianQian; Zhang, Qian; Mao, Shiyu; Li, Mengke; Xu, Xing; Xia, Xian; Wei, Ke; Fan, Yu; Zheng, Xinlei; Fang, Yinquan; Mei, Meng; Zhang, Qingyu; Ding, Jianhua; Fan, Yi; Lu, Ming; Hu, Gang","Aerobic glycolysis is the predominant means of glucose metabolism in neuronal somata, which protects against oxidative damage","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01476-4","https://www.nature.com/articles/s41593-023-01476-4","It is generally thought that under basal conditions, neurons produce ATP mainly through mitochondrial oxidative phosphorylation (OXPHOS), and glycolytic activity only predominates when neurons are activated and need to meet higher energy demands. However, it remains unknown whether there are differences in glucose metabolism between neuronal somata and axon terminals. Here, we demonstrated that neuronal somata perform higher levels of aerobic glycolysis and lower levels of OXPHOS than terminals, both during basal and activated states. We found that the glycolytic enzyme pyruvate kinase 2 (PKM2) is localized predominantly in the somata rather than in the terminals. Deletion of Pkm2 in mice results in a switch from aerobic glycolysis to OXPHOS in neuronal somata, leading to oxidative damage and progressive loss of dopaminergic neurons. Our findings update the conventional view that neurons uniformly use OXPHOS under basal conditions and highlight the important role of somatic aerobic glycolysis in maintaining antioxidant capacity.","2023-12","2024-05-28 05:56:02","2024-05-28 06:23:33","2024-05-28 05:56:04","2081-2089","","12","26","","Nat Neurosci","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/7NZ2GXC9/Wei et al. - 2023 - Aerobic glycolysis is the predominant means of glu.pdf","","No problem","Cellular neuroscience; Molecular neuroscience; Energy metabolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XLXP4WE","journalArticle","2023","Parker, Philip R. L.; Martins, Dylan M.; Leonard, Emmalyn S. P.; Casey, Nathan M.; Sharp, Shelby L.; Abe, Elliott T. T.; Smear, Matthew C.; Yates, Jacob L.; Mitchell, Jude F.; Niell, Cristopher M.","A dynamic sequence of visual processing initiated by gaze shifts","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01481-7","https://www.nature.com/articles/s41593-023-01481-7","Animals move their head and eyes as they explore the visual scene. Neural correlates of these movements have been found in rodent primary visual cortex (V1), but their sources and computational roles are unclear. We addressed this by combining head and eye movement measurements with neural recordings in freely moving mice. V1 neurons responded primarily to gaze shifts, where head movements are accompanied by saccadic eye movements, rather than to head movements where compensatory eye movements stabilize gaze. A variety of activity patterns followed gaze shifts and together these formed a temporal sequence that was absent in darkness. Gaze-shift responses resembled those evoked by sequentially flashed stimuli, suggesting a large component corresponds to onset of new visual input. Notably, neurons responded in a sequence that matches their spatial frequency bias, consistent with coarse-to-fine processing. Recordings in freely gazing marmosets revealed a similar sequence following saccades, also aligned to spatial frequency preference. Our results demonstrate that active vision in both mice and marmosets consists of a dynamic temporal sequence of neural activity associated with visual sampling.","2023-12","2024-05-28 05:56:02","2024-05-28 06:26:01","2024-05-28 05:56:04","2192-2202","","12","26","","Nat Neurosci","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/X92HR7K3/Parker et al. - 2023 - A dynamic sequence of visual processing initiated .pdf","","No problem","Sensory processing; Saccades; Striate cortex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HA5BDBX5","journalArticle","2024","López-Erauskin, Jone; Bravo-Hernandez, Mariana; Presa, Maximiliano; Baughn, Michael W.; Melamed, Ze’ev; Beccari, Melinda S.; Agra de Almeida Quadros, Ana Rita; Arnold-Garcia, Olatz; Zuberi, Aamir; Ling, Karen; Platoshyn, Oleksandr; Niño-Jara, Elkin; Ndayambaje, I. Sandra; McAlonis-Downes, Melissa; Cabrera, Larissa; Artates, Jonathan W.; Ryan, Jennifer; Hermann, Anita; Ravits, John; Bennett, C. Frank; Jafar-Nejad, Paymaan; Rigo, Frank; Marsala, Martin; Lutz, Cathleen M.; Cleveland, Don W.; Lagier-Tourenne, Clotilde","Stathmin-2 loss leads to neurofilament-dependent axonal collapse driving motor and sensory denervation","Nature Neuroscience","","1546-1726","10.1038/s41593-023-01496-0","https://www.nature.com/articles/s41593-023-01496-0","The mRNA transcript of the human STMN2 gene, encoding for stathmin-2 protein (also called SCG10), is profoundly impacted by TAR DNA-binding protein 43 (TDP-43) loss of function. The latter is a hallmark of several neurodegenerative diseases, including amyotrophic lateral sclerosis (ALS). Using a combination of approaches, including transient antisense oligonucleotide-mediated suppression, sustained shRNA-induced depletion in aging mice, and germline deletion, we show that stathmin-2 has an important role in the establishment and maintenance of neurofilament-dependent axoplasmic organization that is critical for preserving the caliber and conduction velocity of myelinated large-diameter axons. Persistent stathmin-2 loss in adult mice results in pathologies found in ALS, including reduced interneurofilament spacing, axonal caliber collapse that drives tearing within outer myelin layers, diminished conduction velocity, progressive motor and sensory deficits, and muscle denervation. These findings reinforce restoration of stathmin-2 as an attractive therapeutic approach for ALS and other TDP-43-dependent neurodegenerative diseases.","2024-01","2024-05-28 05:56:02","2024-05-28 06:20:49","2024-05-28 05:56:04","34-47","","1","27","","Nat Neurosci","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature America, Inc.","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/BMWBGEHS/López-Erauskin et al. - 2024 - Stathmin-2 loss leads to neurofilament-dependent a.pdf","","No problem","Amyotrophic lateral sclerosis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
