"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"477K8NLA","journalArticle","2023","Jiang, Bochen; Zhong, Zhenhui; Gu, Lianfeng; Zhang, Xueyang; Wei, Jiangbo; Ye, Chang; Lin, Guifang; Qu, Gaoping; Xiang, Xian; Wen, Chenjin; Hummel, Maureen; Bailey-Serres, Julia; Wang, Qin; He, Chuan; Wang, Xu; Lin, Chentao","Light-induced LLPS of the CRY2/SPA1/FIO1 complex regulating mRNA methylation and chlorophyll homeostasis in Arabidopsis","Nature Plants","","2055-0278","10.1038/s41477-023-01580-0","https://www.nature.com/articles/s41477-023-01580-0","Abstract                            Light regulates chlorophyll homeostasis and photosynthesis via various molecular mechanisms in plants. The light regulation of transcription and protein stability of nuclear-encoded chloroplast proteins have been extensively studied, but how light regulation of mRNA metabolism affects abundance of nuclear-encoded chloroplast proteins and chlorophyll homeostasis remains poorly understood. Here we show that the blue light receptor cryptochrome 2 (CRY2) and the METTL16-type m               6               A writer FIONA1 (FIO1) regulate chlorophyll homeostasis in response to blue light. In contrast to the CRY2-mediated photo-condensation of the mRNA adenosine methylase (MTA), photoexcited CRY2 co-condenses FIO1 only in the presence of the CRY2-signalling protein SUPPRESSOR of PHYTOCHROME A (SPA1). CRY2 and SPA1 synergistically or additively activate the RNA methyltransferase activity of FIO1 in vitro, whereas CRY2 and FIO1, but not MTA, are required for the light-induced methylation and translation of the mRNAs encoding multiple chlorophyll homeostasis regulators in vivo. Our study demonstrates that the light-induced liquid–liquid phase separation of the photoreceptor/writer complexes is commonly involved in the regulation of photoresponsive changes of mRNA methylation, whereas the different photo-condensation mechanisms of the CRY/FIO1 and CRY/MTA complexes explain, at least partially, the writer-specific functions in plant photomorphogenesis.","2023-12-08","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-03-15 01:51:30","2042-2058","","12","9","","Nat. Plants","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/tlin/Zotero/storage/7PAT6IMN/Jiang et al. - 2023 - Light-induced LLPS of the CRY2SPA1FIO1 complex r.pdf","","No problem","Cell signalling; Light responses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV4BDVZA","journalArticle","2023","Yang, Huanjie; Kim, Xeniya; Skłenar, Jan; Aubourg, Sébastien; Sancho-Andrés, Gloria; Stahl, Elia; Guillou, Marie-Charlotte; Gigli-Bisceglia, Nora; Tran Van Canh, Loup; Bender, Kyle W.; Stintzi, Annick; Reymond, Philippe; Sánchez-Rodríguez, Clara; Testerink, Christa; Renou, Jean-Pierre; Menke, Frank L. H.; Schaller, Andreas; Rhodes, Jack; Zipfel, Cyril","Subtilase-mediated biogenesis of the expanded family of SERINE RICH ENDOGENOUS PEPTIDES","Nature Plants","","2055-0278","10.1038/s41477-023-01583-x","https://www.nature.com/articles/s41477-023-01583-x","Plant signalling peptides are typically released from larger precursors by proteolytic cleavage to regulate plant growth, development and stress responses. Recent studies reported the characterization of a divergent family of Brassicaceae-specific peptides, SERINE RICH ENDOGENOUS PEPTIDES (SCOOPs), and their perception by the leucine-rich repeat receptor kinase MALE DISCOVERER 1-INTERACTING RECEPTOR-LIKE KINASE 2 (MIK2). Here, we reveal that the SCOOP family is highly expanded, containing at least 50 members in the Columbia-0 reference Arabidopsis thaliana genome. Notably, perception of these peptides is strictly MIK2-dependent. How bioactive SCOOP peptides are produced, and to what extent their perception is responsible for the multiple physiological roles associated with MIK2 are currently unclear. Using N-terminomics, we validate the N-terminal cleavage site of representative PROSCOOPs. The cleavage sites are determined by conserved motifs upstream of the minimal SCOOP bioactive epitope. We identified subtilases necessary and sufficient to process PROSCOOP peptides at conserved cleavage motifs. Mutation of these subtilases, or their recognition motifs, suppressed PROSCOOP cleavage and associated overexpression phenotypes. Furthermore, we show that higher-order mutants of these subtilases show phenotypes reminiscent of mik2 null mutant plants, consistent with impaired PROSCOOP biogenesis, and demonstrating biological relevance of SCOOP perception by MIK2. Together, this work provides insights into the molecular mechanisms underlying the functions of the recently identified SCOOP peptides and their receptor MIK2.","2023-12","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-05-27 22:37:45","2085-2094","","12","9","","Nat. Plants","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/MERVNDN2/Yang et al. - 2023 - Subtilase-mediated biogenesis of the expanded fami.pdf","","No problem","Biotic; Plant signalling; Abiotic; Pattern recognition receptors in plants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ED9JTH2L","journalArticle","2023","Peltier, Drew M. P.; Carbone, Mariah S.; Enright, Melissa; Marshall, Margaret C.; Trowbridge, Amy M.; LeMoine, Jim; Koch, George; Richardson, Andrew D.","Old reserves and ancient buds fuel regrowth of coast redwood after catastrophic fire","Nature Plants","","2055-0278","10.1038/s41477-023-01581-z","https://www.nature.com/articles/s41477-023-01581-z","For long-lived organisms, investment in insurance strategies such as reserve energy storage can enable resilience to resource deficits, stress or catastrophic disturbance. Recent fire in California damaged coast redwood (Sequoia sempervirens) groves, consuming all foliage on some of the tallest and oldest trees on Earth. Burned trees recovered through resprouting from roots, trunk and branches, necessarily supported by nonstructural carbon reserves. Nonstructural carbon reserves can be many years old, but direct use of old carbon has rarely been documented and never in such large, old trees. We found some sprouts contained the oldest carbon ever observed to be remobilized for growth. For certain trees, simulations estimate up to half of sprout carbon was acquired in photosynthesis more than 57 years prior, and direct observations in sapwood show trees can access reserves at least as old. Sprouts also emerged from ancient buds—dormant under bark for centuries. For organisms with millennial lifespans, traits enabling survival of infrequent but catastrophic events may represent an important energy sink. Remobilization of decades-old photosynthate after disturbance demonstrates substantial amounts of nonstructural carbon within ancient trees cycles on slow, multidecadal timescales.","2023-12","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-05-27 22:37:45","1978-1985","","12","9","","Nat. Plants","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/38JBGA4C/Peltier et al. - 2023 - Old reserves and ancient buds fuel regrowth of coa.pdf","","No problem","Forest ecology; Fire ecology; Ecophysiology; Abiotic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7WK3Y5NZ","journalArticle","2023","Chen, Shuai; Wang, Pengjie; Kong, Weilong; Chai, Kun; Zhang, Shengcheng; Yu, Jiaxin; Wang, Yibin; Jiang, Mengwei; Lei, Wenlong; Chen, Xiao; Wang, Wenling; Gao, Yingying; Qu, Shenyang; Wang, Fang; Wang, Yinghao; Zhang, Qing; Gu, Mengya; Fang, Kaixing; Ma, Chunlei; Sun, Weijiang; Ye, Naixing; Wu, Hualing; Zhang, Xingtan","Gene mining and genomics-assisted breeding empowered by the pangenome of tea plant Camellia sinensis","Nature Plants","","2055-0278","10.1038/s41477-023-01565-z","https://www.nature.com/articles/s41477-023-01565-z","Tea is one of the world’s oldest crops and is cultivated to produce beverages with various flavours. Despite advances in sequencing technologies, the genetic mechanisms underlying key agronomic traits of tea remain unclear. In this study, we present a high-quality pangenome of 22 elite cultivars, representing broad genetic diversity in the species. Our analysis reveals that a recent long terminal repeat burst contributed nearly 20% of gene copies, introducing functional genetic variants that affect phenotypes such as leaf colour. Our graphical pangenome improves the efficiency of genome-wide association studies and allows the identification of key genes controlling bud flush timing. We also identified strong correlations between allelic variants and flavour-related chemistries. These findings deepen our understanding of the genetic basis of tea quality and provide valuable genomic resources to facilitate its genomics-assisted breeding.","2023-12","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-05-27 22:37:45","1986-1999","","12","9","","Nat. Plants","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/GCNRJAE5/Chen et al. - 2023 - Gene mining and genomics-assisted breeding empower.pdf","","No problem","Plant genetics; Genomics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZNJUY4N","journalArticle","2023","Saul, Franziska; Scharmann, Mathias; Wakatake, Takanori; Rajaraman, Sitaram; Marques, André; Freund, Matthias; Bringmann, Gerhard; Channon, Louisa; Becker, Dirk; Carroll, Emily; Low, Yee Wen; Lindqvist, Charlotte; Gilbert, Kadeem J.; Renner, Tanya; Masuda, Sachiko; Richter, Michaela; Vogg, Gerd; Shirasu, Ken; Michael, Todd P.; Hedrich, Rainer; Albert, Victor A.; Fukushima, Kenji","Subgenome dominance shapes novel gene evolution in the decaploid pitcher plant Nepenthes gracilis","Nature Plants","","2055-0278","10.1038/s41477-023-01562-2","https://www.nature.com/articles/s41477-023-01562-2","Subgenome dominance after whole-genome duplication generates distinction in gene number and expression at the level of chromosome sets, but it remains unclear how this process may be involved in evolutionary novelty. Here we generated a chromosome-scale genome assembly of the Asian pitcher plant Nepenthes gracilis to analyse how its novel traits (dioecy and carnivorous pitcher leaves) are linked to genomic evolution. We found a decaploid karyotype and a clear indication of subgenome dominance. A male-linked and pericentromerically located region on the putative sex chromosome was identified in a recessive subgenome and was found to harbour three transcription factors involved in flower and pollen development, including a likely neofunctionalized LEAFY duplicate. Transcriptomic and syntenic analyses of carnivory-related genes suggested that the paleopolyploidization events seeded genes that subsequently formed tandem clusters in recessive subgenomes with specific expression in the digestive zone of the pitcher, where specialized cells digest prey and absorb derived nutrients. A genome-scale analysis suggested that subgenome dominance likely contributed to evolutionary innovation by permitting recessive subgenomes to diversify functions of novel tissue-specific duplicates. Our results provide insight into how polyploidy can give rise to novel traits in divergent and successful high-ploidy lineages.","2023-12","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-05-27 22:37:45","2000-2015","","12","9","","Nat. Plants","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/GZZ9BLN8/Saul et al. - 2023 - Subgenome dominance shapes novel gene evolution in.pdf","","No problem","Plant sciences; Genetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQE8ALNG","journalArticle","2023","Song, Siyu; Morales Moreira, Zayda; Briggs, Annika L.; Zhang, Xue-Cheng; Diener, Andrew C.; Haney, Cara H.","PSKR1 balances the plant growth–defence trade-off in the rhizosphere microbiome","Nature Plants","","2055-0278","10.1038/s41477-023-01539-1","https://www.nature.com/articles/s41477-023-01539-1","Microbiota benefit their hosts by improving nutrient uptake and pathogen protection. How host immunity restricts microbiota while avoiding autoimmunity is poorly understood. Here we show that the Arabidopsis phytosulfokine receptor 1 (pskr1) mutant displays autoimmunity (plant stunting, defence-gene expression and reduced rhizosphere bacterial growth) in response to growth-promoting Pseudomonas fluorescens. Microbiome profiling and microbiota colonization showed that PSKR1-mediated reduction in bacterial growth and stunting is largely specific to Pseudomonas. Transcriptional profiling demonstrated that PSKR1 regulates the growth–defence trade-off during Pseudomonas colonization: PSKR1 upregulates plant photosynthesis and root growth but suppresses salicylic-acid-mediated defences. Genetic epistasis experiments showed that pskr1 stunting and restriction of bacterial growth are salicylic acid dependent. Finally, we showed that Pseudomonas, but not other bacteria, induces PSKR1 expression in roots, suggesting that Pseudomonas might manipulate plant signalling to promote its colonization. Our data demonstrate a genetic mechanism to coordinate beneficial functions of the microbiome while preventing autoimmunity.","2023-12","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-05-27 22:37:45","2071-2084","","12","9","","Nat. Plants","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/AZM3H5VW/Song et al. - 2023 - PSKR1 balances the plant growth–defence trade-off .pdf","","Log; Zero","Microbiology; Plant molecular biology; Plant signalling; Microbe; Plant hormones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6XP3KU4","journalArticle","2023","Vrielynck, Nathalie; Peuch, Marion; Durand, Stéphanie; Lian, Qichao; Chambon, Aurélie; Hurel, Aurélie; Guérin, Julie; Guérois, Raphaël; Mercier, Raphaël; Grelon, Mathilde; Mézard, Christine","SCEP1 and SCEP2 are two new components of the synaptonemal complex central element","Nature Plants","","2055-0278","10.1038/s41477-023-01558-y","https://www.nature.com/articles/s41477-023-01558-y","The synaptonemal complex (SC) is a proteinaceous structure that forms between homologous chromosomes during meiosis prophase. The SC is widely conserved across species, but its structure and roles during meiotic recombination are still debated. While the SC central region is made up of transverse filaments and central element proteins in mammals and fungi, few central element proteins have been identified in other species. Here we report the identification of two coiled-coil proteins, SCEP1 and SCEP2, that form a complex and localize at the centre of the Arabidopsis thaliana SC. In scep1 and scep2 mutants, chromosomes are aligned but not synapsed (the ZYP1 transverse filament protein is not loaded), crossovers are increased compared with the wild type, interference is lost and heterochiasmy is strongly reduced. We thus report the identification of two plant SC central elements, and homologues of these are found in all major angiosperm clades.","2023-12","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-05-27 22:37:45","2016-2030","","12","9","","Nat. Plants","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/98X4K4BU/Vrielynck et al. - 2023 - SCEP1 and SCEP2 are two new components of the syna.pdf","","No problem","Plant genetics; Phylogenetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26Y7D5DY","journalArticle","2023","Arrivé, Mathilde; Bruggeman, Mathieu; Skaltsogiannis, Vasileios; Coudray, Léna; Quan, Yi-Fat; Schelcher, Cédric; Cognat, Valérie; Hammann, Philippe; Chicher, Johana; Wolff, Philippe; Gobert, Anthony; Giegé, Philippe","A tRNA-modifying enzyme facilitates RNase P activity in Arabidopsis nuclei","Nature Plants","","2055-0278","10.1038/s41477-023-01564-0","https://www.nature.com/articles/s41477-023-01564-0","RNase P is the essential activity that performs the 5′ maturation of transfer RNA (tRNA) precursors. Beyond the ancestral form of RNase P containing a ribozyme, protein-only RNase P enzymes termed PRORP were identified in eukaryotes. In human mitochondria, PRORP forms a complex with two protein partners to become functional. In plants, although PRORP enzymes are active alone, we investigate their interaction network to identify potential tRNA maturation complexes. Here we investigate functional interactions involving the Arabidopsis nuclear RNase P PRORP2. We show, using an immuno-affinity strategy, that PRORP2 occurs in a complex with the tRNA methyl transferases TRM1A and TRM1B in vivo. Beyond RNase P, these enzymes can also interact with RNase Z. We show that TRM1A/TRM1B localize in the nucleus and find that their double knockout mutation results in a severe macroscopic phenotype. Using a combination of immuno-detections, mass spectrometry and a transcriptome-wide tRNA sequencing approach, we observe that TRM1A/TRM1B are responsible for the m22G26 modification of 70% of cytosolic tRNAs in vivo. We use the transcriptome wide tRNAseq approach as well as RNA blot hybridizations to show that RNase P activity is impaired in TRM1A/TRM1B mutants for specific tRNAs, in particular, tRNAs containing a m22G modification at position 26 that are strongly downregulated in TRM1A/TRM1B mutants. Altogether, results indicate that the m22G-adding enzymes TRM1A/TRM1B functionally cooperate with nuclear RNase P in vivo for the early steps of cytosolic tRNA biogenesis.","2023-12","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-05-27 22:37:45","2031-2041","","12","9","","Nat. Plants","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/GLWEX2GU/Arrivé et al. - 2023 - A tRNA-modifying enzyme facilitates RNase P activi.pdf","","No problem","Plant molecular biology; Gene expression analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJFG5TC9","journalArticle","2023","Su, Yu; Feng, Tao; Liu, Chu-Bin; Huang, Haodong; Wang, Ya-Ling; Fu, Xiaojuan; Han, Mei-Ling; Zhang, Xuanhao; Huang, Xing; Wu, Jia-Chen; Song, Tao; Shen, Hui; Yang, Xianpeng; Xu, Lin; Lü, Shiyou; Chao, Dai-Yin","The evolutionary innovation of root suberin lamellae contributed to the rise of seed plants","Nature Plants","","2055-0278","10.1038/s41477-023-01555-1","https://www.nature.com/articles/s41477-023-01555-1","Seed plants overtook ferns to become the dominant plant group during the late Carboniferous, a period in which the climate became colder and dryer1,2. However, the specific innovations driving the success of seed plants are not clear. Here we report that the appearance of suberin lamellae (SL) contributed to the rise of seed plants. We show that the Casparian strip and SL vascular barriers evolved at different times, with the former originating in the most recent common ancestor (MRCA) of vascular plants and the latter in the MRCA of seed plants. Our results further suggest that most of the genes required for suberin formation arose through gene duplication in the MRCA of seed plants. We show that the appearance of the SL in the MRCA of seed plants enhanced drought tolerance through preventing water loss from the stele. We hypothesize that SL provide a decisive selective advantage over ferns in arid environments, resulting in the decline of ferns and the rise of gymnosperms. This study provides insights into the evolutionary success of seed plants and has implications for engineering drought-tolerant crops or fern varieties.","2023-12","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-05-27 22:37:45","1968-1977","","12","9","","Nat. Plants","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/L7FYJM6T/Su et al. - 2023 - The evolutionary innovation of root suberin lamell.pdf","","No problem","Cell wall; Plant evolution; Drought","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WD3MGZHT","journalArticle","2023","Ji, Zhe; Belfield, Eric J.; Zhang, Siyu; Bouvier, Jacques; Li, Shan; Schnell, Jason; Fu, Xiangdong; Harberd, Nicholas P.","Evolution of a plant growth-regulatory protein interaction specificity","Nature Plants","","2055-0278","10.1038/s41477-023-01556-0","https://www.nature.com/articles/s41477-023-01556-0","Specific protein–protein interactions (PPIs) enable biological regulation. However, the evolution of PPI specificity is little understood. Here we trace the evolution of the land-plant growth-regulatory DELLA–SLY1/GID2 PPI, revealing progressive increase in specificity of affinity of SLY1/GID2 for a particular DELLA form. While early-diverging SLY1s display relatively broad-range DELLA affinity, later-diverging SLY1s tend towards increasingly stringent affinity for a specific DELLA A’ form generated by the growth-promoting phytohormone gibberellin (GA). Our novel mutational strategy reveals amino acid substitutions contributing to the evolution of Arabidopsis thaliana SLY1 A’ specificity, also showing that routes permitting reversion to broader affinity became increasingly constrained over evolutionary time. We suggest that progressive affinity narrowing may be an important evolutionary driver of PPI specificity and that increase in SLY1/GID2-DELLA specificity enabled the enhanced flexibility of plant physiological environmental adaptation conferred by the GA-DELLA growth-regulatory mechanism.","2023-12","2024-06-11 00:44:13","2024-06-11 00:44:13","2024-05-27 22:37:45","2059-2070","","12","9","","Nat. Plants","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/6SR53QIT/Ji et al. - 2023 - Evolution of a plant growth-regulatory protein int.pdf","","No problem","Plant genetics; Plant molecular biology; Plant signalling; Plant evolution; Gibberellins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
