"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8IRQQ52S","journalArticle","2023","Abbosh, Christopher; Frankell, Alexander M.; Harrison, Thomas; Kisistok, Judit; Garnett, Aaron; Johnson, Laura; Veeriah, Selvaraju; Moreau, Mike; Chesh, Adrian; Chaunzwa, Tafadzwa L.; Weiss, Jakob; Schroeder, Morgan R.; Ward, Sophia; Grigoriadis, Kristiana; Shahpurwalla, Aamir; Litchfield, Kevin; Puttick, Clare; Biswas, Dhruva; Karasaki, Takahiro; Black, James R. M.; Martínez-Ruiz, Carlos; Bakir, Maise Al; Pich, Oriol; Watkins, Thomas B. K.; Lim, Emilia L.; Huebner, Ariana; Moore, David A.; Godin-Heymann, Nadia; L’Hernault, Anne; Bye, Hannah; Odell, Aaron; Roberts, Paula; Gomes, Fabio; Patel, Akshay J.; Manzano, Elizabeth; Hiley, Crispin T.; Carey, Nicolas; Riley, Joan; Cook, Daniel E.; Hodgson, Darren; Stetson, Daniel; Barrett, J. Carl; Kortlever, Roderik M.; Evan, Gerard I.; Hackshaw, Allan; Daber, Robert D.; Shaw, Jacqui A.; Aerts, Hugo J. W. L.; Licon, Abel; Stahl, Josh; Jamal-Hanjani, Mariam; Birkbak, Nicolai J.; McGranahan, Nicholas; Swanton, Charles","Tracking early lung cancer metastatic dissemination in TRACERx using ctDNA","Nature","","1476-4687","10.1038/s41586-023-05776-4","https://www.nature.com/articles/s41586-023-05776-4","Circulating tumour DNA (ctDNA) can be used to detect and profile residual tumour cells persisting after curative intent therapy1. The study of large patient cohorts incorporating longitudinal plasma sampling and extended follow-up is required to determine the role of ctDNA as a phylogenetic biomarker of relapse in early-stage non-small-cell lung cancer (NSCLC). Here we developed ctDNA methods tracking a median of 200 mutations identified in resected NSCLC tissue across 1,069 plasma samples collected from 197 patients enrolled in the TRACERx study2. A lack of preoperative ctDNA detection distinguished biologically indolent lung adenocarcinoma with good clinical outcome. Postoperative plasma analyses were interpreted within the context of standard-of-care radiological surveillance and administration of cytotoxic adjuvant therapy. Landmark analyses of plasma samples collected within 120 days after surgery revealed ctDNA detection in 25% of patients, including 49% of all patients who experienced clinical relapse; 3 to 6 monthly ctDNA surveillance identified impending disease relapse in an additional 20% of landmark-negative patients. We developed a bioinformatic tool (ECLIPSE) for non-invasive tracking of subclonal architecture at low ctDNA levels. ECLIPSE identified patients with polyclonal metastatic dissemination, which was associated with a poor clinical outcome. By measuring subclone cancer cell fractions in preoperative plasma, we found that subclones seeding future metastases were significantly more expanded compared with non-metastatic subclones. Our findings will support (neo)adjuvant trial advances and provide insights into the process of metastatic dissemination using low-ctDNA-level liquid biopsy.","2023-04","2024-06-12 06:24:29","2024-06-12 06:24:29","2024-05-30 01:21:17","553-562","","7957","616","","","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/K9NPF7YK/Abbosh et al. - 2023 - Tracking early lung cancer metastatic disseminatio.pdf","","No problem","Non-small-cell lung cancer; Cancer genetics; Metastasis; Tumour heterogeneity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EGKDNH54","journalArticle","2023","Abdel-Hafiz, Hany A.; Schafer, Johanna M.; Chen, Xingyu; Xiao, Tong; Gauntner, Timothy D.; Li, Zihai; Theodorescu, Dan","Y chromosome loss in cancer drives growth by evasion of adaptive immunity","Nature","","1476-4687","10.1038/s41586-023-06234-x","https://www.nature.com/articles/s41586-023-06234-x","Loss of the Y chromosome (LOY) is observed in multiple cancer types, including 10–40% of bladder cancers1–6, but its clinical and biological significance is unknown. Here, using genomic and transcriptomic studies, we report that LOY correlates with poor prognoses in patients with bladder cancer. We performed in-depth studies of naturally occurring LOY mutant bladder cancer cells as well as those with targeted deletion of Y chromosome by CRISPR–Cas9. Y-positive (Y+) and Y-negative (Y–) tumours grew similarly in vitro, whereas Y− tumours were more aggressive than Y+ tumours in immune-competent hosts in a T cell-dependent manner. High-dimensional flow cytometric analyses demonstrated that Y− tumours promote striking dysfunction or exhaustion of CD8+ T cells in the tumour microenvironment. These findings were validated using single-nuclei RNA sequencing and spatial proteomic evaluation of human bladder cancers. Of note, compared with Y+ tumours, Y− tumours exhibited an increased response to anti-PD-1 immune checkpoint blockade therapy in both mice and patients with cancer. Together, these results demonstrate that cancer cells with LOY mutations alter T cell function, promoting T cell exhaustion and sensitizing them to PD-1-targeted immunotherapy. This work provides insights into the basic biology of LOY mutation and potential biomarkers for improving cancer immunotherapy.","2023-07","2024-06-12 06:24:29","2024-07-02 01:17:37","2024-05-30 01:18:57","624-631","","7970","619","","","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/73QC3BXE/Abdel-Hafiz et al. - 2023 - Y chromosome loss in cancer drives growth by evasi.pdf","","Log; Others","Tumour immunology; Chromosomes; Predictive markers; Immune evasion; Bladder cancer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCFXTNTZ","journalArticle","2023","Addetia, Amin; Piccoli, Luca; Case, James Brett; Park, Young-Jun; Beltramello, Martina; Guarino, Barbara; Dang, Ha; de Melo, Guilherme Dias; Pinto, Dora; Sprouse, Kaitlin; Scheaffer, Suzanne M.; Bassi, Jessica; Silacci-Fregni, Chiara; Muoio, Francesco; Dini, Marco; Vincenzetti, Lucia; Acosta, Rima; Johnson, Daisy; Subramanian, Sambhavi; Saliba, Christian; Giurdanella, Martina; Lombardo, Gloria; Leoni, Giada; Culap, Katja; McAlister, Carley; Rajesh, Anushka; Dellota, Exequiel; Zhou, Jiayi; Farhat, Nisar; Bohan, Dana; Noack, Julia; Chen, Alex; Lempp, Florian A.; Quispe, Joel; Kergoat, Lauriane; Larrous, Florence; Cameroni, Elisabetta; Whitener, Bradley; Giannini, Olivier; Cippà, Pietro; Ceschi, Alessandro; Ferrari, Paolo; Franzetti-Pellanda, Alessandra; Biggiogero, Maira; Garzoni, Christian; Zappi, Stephanie; Bernasconi, Luca; Kim, Min Jeong; Rosen, Laura E.; Schnell, Gretja; Czudnochowski, Nadine; Benigni, Fabio; Franko, Nicholas; Logue, Jennifer K.; Yoshiyama, Courtney; Stewart, Cameron; Chu, Helen; Bourhy, Hervé; Schmid, Michael A.; Purcell, Lisa A.; Snell, Gyorgy; Lanzavecchia, Antonio; Diamond, Michael S.; Corti, Davide; Veesler, David","Neutralization, effector function and immune imprinting of Omicron variants","Nature","","1476-4687","10.1038/s41586-023-06487-6","https://www.nature.com/articles/s41586-023-06487-6","Currently circulating SARS-CoV-2 variants have acquired convergent mutations at hot spots in the receptor-binding domain1 (RBD) of the spike protein. The effects of these mutations on viral infection and transmission and the efficacy of vaccines and therapies remains poorly understood. Here we demonstrate that recently emerged BQ.1.1 and XBB.1.5 variants bind host ACE2 with high affinity and promote membrane fusion more efficiently than earlier Omicron variants. Structures of the BQ.1.1, XBB.1 and BN.1 RBDs bound to the fragment antigen-binding region of the S309 antibody (the parent antibody for sotrovimab) and human ACE2 explain the preservation of antibody binding through conformational selection, altered ACE2 recognition and immune evasion. We show that sotrovimab binds avidly to all Omicron variants, promotes Fc-dependent effector functions and protects mice challenged with BQ.1.1 and hamsters challenged with XBB.1.5. Vaccine-elicited human plasma antibodies cross-react with and trigger effector functions against current Omicron variants, despite a reduced neutralizing activity, suggesting a mechanism of protection against disease, exemplified by S309. Cross-reactive RBD-directed human memory B cells remained dominant even after two exposures to Omicron spikes, underscoring the role of persistent immune imprinting.","2023-09","2024-06-12 06:24:29","2024-06-12 06:24:29","2024-05-30 01:34:09","592-601","","7979","621","","","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/YK69KX65/Addetia et al. - 2023 - Neutralization, effector function and immune impri.pdf","","Log","RNA vaccines; SARS-CoV-2; Antibodies; Viral infection; Immunological memory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUIU2RM9","journalArticle","2023","Agustinus, Albert S.; Al-Rawi, Duaa; Dameracharla, Bhargavi; Raviram, Ramya; Jones, Bailey S. C. L.; Stransky, Stephanie; Scipioni, Lorenzo; Luebeck, Jens; Di Bona, Melody; Norkunaite, Danguole; Myers, Robert M.; Duran, Mercedes; Choi, Seongmin; Weigelt, Britta; Yomtoubian, Shira; McPherson, Andrew; Toufektchan, Eléonore; Keuper, Kristina; Mischel, Paul S.; Mittal, Vivek; Shah, Sohrab P.; Maciejowski, John; Storchova, Zuzana; Gratton, Enrico; Ly, Peter; Landau, Dan; Bakhoum, Mathieu F.; Koche, Richard P.; Sidoli, Simone; Bafna, Vineet; David, Yael; Bakhoum, Samuel F.","Epigenetic dysregulation from chromosomal transit in micronuclei","Nature","","1476-4687","10.1038/s41586-023-06084-7","https://www.nature.com/articles/s41586-023-06084-7","Chromosomal instability (CIN) and epigenetic alterations are characteristics of advanced and metastatic cancers1–4, but whether they are mechanistically linked is unknown. Here we show that missegregation of mitotic chromosomes, their sequestration in micronuclei5,6 and subsequent rupture of the micronuclear envelope7 profoundly disrupt normal histone post-translational modifications (PTMs), a phenomenon conserved across humans and mice, as well as in cancer and non-transformed cells. Some of the changes in histone PTMs occur because of the rupture of the micronuclear envelope, whereas others are inherited from mitotic abnormalities before the micronucleus is formed. Using orthogonal approaches, we demonstrate that micronuclei exhibit extensive differences in chromatin accessibility, with a strong positional bias between promoters and distal or intergenic regions, in line with observed redistributions of histone PTMs. Inducing CIN causes widespread epigenetic dysregulation, and chromosomes that transit in micronuclei experience heritable abnormalities in their accessibility long after they have been reincorporated into the primary nucleus. Thus, as well as altering genomic copy number, CIN promotes epigenetic reprogramming and heterogeneity in cancer.","2023-07","2024-06-12 06:24:29","2024-06-12 06:24:29","2024-05-30 01:16:20","176-183","","7968","619","","","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/BGENHAZ6/Agustinus et al. - 2023 - Epigenetic dysregulation from chromosomal transit .pdf","","No problem","Chromosomes; Histone post-translational modifications; Tumour heterogeneity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N9HG33TV","journalArticle","2023","Ahmed, Hanin Ibrahim; Heuberger, Matthias; Schoen, Adam; Koo, Dal-Hoe; Quiroz-Chavez, Jesus; Adhikari, Laxman; Raupp, John; Cauet, Stéphane; Rodde, Nathalie; Cravero, Charlotte; Callot, Caroline; Lazo, Gerard R.; Kathiresan, Nagarajan; Sharma, Parva K.; Moot, Ian; Yadav, Inderjit Singh; Singh, Lovepreet; Saripalli, Gautam; Rawat, Nidhi; Datla, Raju; Athiyannan, Naveenkumar; Ramirez-Gonzalez, Ricardo H.; Uauy, Cristobal; Wicker, Thomas; Tiwari, Vijay K.; Abrouk, Michael; Poland, Jesse; Krattinger, Simon G.","Einkorn genomics sheds light on history of the oldest domesticated wheat","Nature","","1476-4687","10.1038/s41586-023-06389-7","https://www.nature.com/articles/s41586-023-06389-7","Einkorn (Triticum monococcum) was the first domesticated wheat species, and was central to the birth of agriculture and the Neolithic Revolution in the Fertile Crescent around 10,000 years ago1,2. Here we generate and analyse 5.2-Gb genome assemblies for wild and domesticated einkorn, including completely assembled centromeres. Einkorn centromeres are highly dynamic, showing evidence of ancient and recent centromere shifts caused by structural rearrangements. Whole-genome sequencing analysis of a diversity panel uncovered the population structure and evolutionary history of einkorn, revealing complex patterns of hybridizations and introgressions after the dispersal of domesticated einkorn from the Fertile Crescent. We also show that around 1% of the modern bread wheat (Triticum aestivum) A subgenome originates from einkorn. These resources and findings highlight the history of einkorn evolution and provide a basis to accelerate the genomics-assisted improvement of einkorn and bread wheat.","2023-08","2024-06-12 06:24:29","2024-06-12 06:24:29","2024-05-30 01:15:30","830-838","","7975","620","","","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/Y2YCKULN/Ahmed et al. - 2023 - Einkorn genomics sheds light on history of the old.pdf","","No problem","Agricultural genetics; Plant genetics; Evolutionary genetics; Genome evolution; Centromeres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHBQ59BX","journalArticle","2023","Ajabi, Zaki; Keinath, Alexandra T.; Wei, Xue-Xin; Brandon, Mark P.","Population dynamics of head-direction neurons during drift and reorientation","Nature","","1476-4687","10.1038/s41586-023-05813-2","https://www.nature.com/articles/s41586-023-05813-2","The head direction (HD) system functions as the brain’s internal compass1,2, classically formalized as a one-dimensional ring attractor network3,4. In contrast to a globally consistent magnetic compass, the HD system does not have a universal reference frame. Instead, it anchors to local cues, maintaining a stable offset when cues rotate5–8 and drifting in the absence of referents5,8–10. However, questions about the mechanisms that underlie anchoring and drift remain unresolved and are best addressed at the population level. For example, the extent to which the one-dimensional description of population activity holds under conditions of reorientation and drift is unclear. Here we performed population recordings of thalamic HD cells using calcium imaging during controlled rotations of a visual landmark. Across experiments, population activity varied along a second dimension, which we refer to as network gain, especially under circumstances of cue conflict and ambiguity. Activity along this dimension predicted realignment and drift dynamics, including the speed of network realignment. In the dark, network gain maintained a ‘memory trace’ of the previously displayed landmark. Further experiments demonstrated that the HD network returned to its baseline orientation after brief, but not longer, exposures to a rotated cue. This experience dependence suggests that memory of previous associations between HD neurons and allocentric cues is maintained and influences the internal HD representation. Building on these results, we show that continuous rotation of a visual landmark induced rotation of the HD representation that persisted in darkness, demonstrating experience-dependent recalibration of the HD system. Finally, we propose a computational model to formalize how the neural compass flexibly adapts to changing environmental cues to maintain a reliable representation of HD. These results challenge classical one-dimensional interpretations of the HD system and provide insights into the interactions between this system and the cues to which it anchors.","2023-03","2024-06-12 06:24:29","2024-06-12 06:24:29","2024-05-30 01:25:53","892-899","","7954","615","","","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/V5UYJMN8/Ajabi et al. - 2023 - Population dynamics of head-direction neurons duri.pdf","","Zero","Network models; Neural circuits; Spatial memory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47ZI6VV8","journalArticle","2023","Al Bakir, Maise; Huebner, Ariana; Martínez-Ruiz, Carlos; Grigoriadis, Kristiana; Watkins, Thomas B. K.; Pich, Oriol; Moore, David A.; Veeriah, Selvaraju; Ward, Sophia; Laycock, Joanne; Johnson, Diana; Rowan, Andrew; Razaq, Maryam; Akther, Mita; Naceur-Lombardelli, Cristina; Prymas, Paulina; Toncheva, Antonia; Hessey, Sonya; Dietzen, Michelle; Colliver, Emma; Frankell, Alexander M.; Bunkum, Abigail; Lim, Emilia L.; Karasaki, Takahiro; Abbosh, Christopher; Hiley, Crispin T.; Hill, Mark S.; Cook, Daniel E.; Wilson, Gareth A.; Salgado, Roberto; Nye, Emma; Stone, Richard Kevin; Fennell, Dean A.; Price, Gillian; Kerr, Keith M.; Naidu, Babu; Middleton, Gary; Summers, Yvonne; Lindsay, Colin R.; Blackhall, Fiona H.; Cave, Judith; Blyth, Kevin G.; Nair, Arjun; Ahmed, Asia; Taylor, Magali N.; Procter, Alexander James; Falzon, Mary; Lawrence, David; Navani, Neal; Thakrar, Ricky M.; Janes, Sam M.; Papadatos-Pastos, Dionysis; Forster, Martin D.; Lee, Siow Ming; Ahmad, Tanya; Quezada, Sergio A.; Peggs, Karl S.; Van Loo, Peter; Dive, Caroline; Hackshaw, Allan; Birkbak, Nicolai J.; Zaccaria, Simone; Jamal-Hanjani, Mariam; McGranahan, Nicholas; Swanton, Charles","The evolution of non-small cell lung cancer metastases in TRACERx","Nature","","1476-4687","10.1038/s41586-023-05729-x","https://www.nature.com/articles/s41586-023-05729-x","Metastatic disease is responsible for the majority of cancer-related deaths1. We report the longitudinal evolutionary analysis of 126 non-small cell lung cancer (NSCLC) tumours from 421 prospectively recruited patients in TRACERx who developed metastatic disease, compared with a control cohort of 144 non-metastatic tumours. In 25% of cases, metastases diverged early, before the last clonal sweep in the primary tumour, and early divergence was enriched for patients who were smokers at the time of initial diagnosis. Simulations suggested that early metastatic divergence more frequently occurred at smaller tumour diameters (less than 8 mm). Single-region primary tumour sampling resulted in 83% of late divergence cases being misclassified as early, highlighting the importance of extensive primary tumour sampling. Polyclonal dissemination, which was associated with extrathoracic disease recurrence, was found in 32% of cases. Primary lymph node disease contributed to metastatic relapse in less than 20% of cases, representing a hallmark of metastatic potential rather than a route to subsequent recurrences/disease progression. Metastasis-seeding subclones exhibited subclonal expansions within primary tumours, probably reflecting positive selection. Our findings highlight the importance of selection in metastatic clone evolution within untreated primary tumours, the distinction between monoclonal versus polyclonal seeding in dictating site of recurrence, the limitations of current radiological screening approaches for early diverging tumours and the need to develop strategies to target metastasis-seeding subclones before relapse.","2023-04","2024-06-12 06:24:29","2024-06-12 06:24:29","2024-05-30 01:21:18","534-542","","7957","616","","","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/NBUC3S2E/Al Bakir et al. - 2023 - The evolution of non-small cell lung cancer metast.pdf","","No problem","Non-small-cell lung cancer; Computational biology and bioinformatics; Cancer genomics; Evolutionary genetics; Metastasis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WISJ5RB5","journalArticle","2023","Alagapan, Sankaraleengam; Choi, Ki Sueng; Heisig, Stephen; Riva-Posse, Patricio; Crowell, Andrea; Tiruvadi, Vineet; Obatusin, Mosadoluwa; Veerakumar, Ashan; Waters, Allison C.; Gross, Robert E.; Quinn, Sinead; Denison, Lydia; O’Shaughnessy, Matthew; Connor, Marissa; Canal, Gregory; Cha, Jungho; Hershenberg, Rachel; Nauvel, Tanya; Isbaine, Faical; Afzal, Muhammad Furqan; Figee, Martijn; Kopell, Brian H.; Butera, Robert; Mayberg, Helen S.; Rozell, Christopher J.","Cingulate dynamics track depression recovery with deep brain stimulation","Nature","","1476-4687","10.1038/s41586-023-06541-3","https://www.nature.com/articles/s41586-023-06541-3","Deep brain stimulation (DBS) of the subcallosal cingulate (SCC) can provide long-term symptom relief for treatment-resistant depression (TRD)1. However, achieving stable recovery is unpredictable2, typically requiring trial-and-error stimulation adjustments due to individual recovery trajectories and subjective symptom reporting3. We currently lack objective brain-based biomarkers to guide clinical decisions by distinguishing natural transient mood fluctuations from situations requiring intervention. To address this gap, we used a new device enabling electrophysiology recording to deliver SCC DBS to ten TRD participants (ClinicalTrials.gov identifier NCT01984710). At the study endpoint of 24 weeks, 90% of participants demonstrated robust clinical response, and 70% achieved remission. Using SCC local field potentials available from six participants, we deployed an explainable artificial intelligence approach to identify SCC local field potential changes indicating the patient’s current clinical state. This biomarker is distinct from transient stimulation effects, sensitive to therapeutic adjustments and accurate at capturing individual recovery states. Variable recovery trajectories are predicted by the degree of preoperative damage to the structural integrity and functional connectivity within the targeted white matter treatment network, and are matched by objective facial expression changes detected using data-driven video analysis. Our results demonstrate the utility of objective biomarkers in the management of personalized SCC DBS and provide new insight into the relationship between multifaceted (functional, anatomical and behavioural) features of TRD pathology, motivating further research into causes of variability in depression treatment.","2023-10","2024-06-12 06:24:29","2024-06-12 06:24:29","2024-05-30 01:23:58","130-138","","7981","622","","","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/G6CM2YDI/Alagapan et al. - 2023 - Cingulate dynamics track depression recovery with .pdf","","No problem","Translational research; Prognostic markers; Depression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZ69FEP5","journalArticle","2023","Albers, Suki; Allen, Elizabeth C.; Bharti, Nikhil; Davyt, Marcos; Joshi, Disha; Perez-Garcia, Carlos G.; Santos, Leonardo; Mukthavaram, Rajesh; Delgado-Toscano, Miguel Angel; Molina, Brandon; Kuakini, Kristen; Alayyoubi, Maher; Park, Kyoung-Joo Jenny; Acharya, Grishma; Gonzalez, Jose A.; Sagi, Amit; Birket, Susan E.; Tearney, Guillermo J.; Rowe, Steven M.; Manfredi, Candela; Hong, Jeong S.; Tachikawa, Kiyoshi; Karmali, Priya; Matsuda, Daiki; Sorscher, Eric J.; Chivukula, Pad; Ignatova, Zoya","Engineered tRNAs suppress nonsense mutations in cells and in vivo","Nature","","1476-4687","10.1038/s41586-023-06133-1","https://www.nature.com/articles/s41586-023-06133-1","Nonsense mutations are the underlying cause of approximately 11% of all inherited genetic diseases1. Nonsense mutations convert a sense codon that is decoded by tRNA into a premature termination codon (PTC), resulting in an abrupt termination of translation. One strategy to suppress nonsense mutations is to use natural tRNAs with altered anticodons to base-pair to the newly emerged PTC and promote translation2–7. However, tRNA-based gene therapy has not yielded an optimal combination of clinical efficacy and safety and there is presently no treatment for individuals with nonsense mutations. Here we introduce a strategy based on altering native tRNAs into  efficient suppressor tRNAs (sup-tRNAs) by individually fine-tuning their sequence to the physico-chemical properties of the amino acid that they carry. Intravenous and intratracheal lipid nanoparticle (LNP) administration of sup-tRNA in mice restored the production of functional proteins with nonsense mutations. LNP–sup-tRNA formulations caused no discernible readthrough at endogenous native stop codons, as determined by ribosome profiling. At clinically important PTCs in the cystic fibrosis transmembrane conductance regulator gene (CFTR), the sup-tRNAs re-established expression and function in cell systems and patient-derived nasal epithelia and restored airway volume homeostasis. These results provide a framework for the development of tRNA-based therapies with a high molecular safety profile and high efficacy in targeted PTC suppression.","2023-06","2024-06-12 06:24:29","2024-06-12 06:24:29","2024-05-30 01:16:20","842-848","","7966","618","","","","","","","","","","en","2023 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/UH7WEW8Z/Albers et al. - 2023 - Engineered tRNAs suppress nonsense mutations in ce.pdf","","Zero","Drug development; tRNAs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52WGSKTH","journalArticle","2024","Alig, Stefan K.; Shahrokh Esfahani, Mohammad; Garofalo, Andrea; Li, Michael Yu; Rossi, Cédric; Flerlage, Tim; Flerlage, Jamie E.; Adams, Ragini; Binkley, Michael S.; Shukla, Navika; Jin, Michael C.; Olsen, Mari; Telenius, Adèle; Mutter, Jurik A.; Schroers-Martin, Joseph G.; Sworder, Brian J.; Rai, Shinya; King, Daniel A.; Schultz, Andre; Bögeholz, Jan; Su, Shengqin; Kathuria, Karan R.; Liu, Chih Long; Kang, Xiaoman; Strohband, Maya J.; Langfitt, Deanna; Pobre-Piza, Kristine Faye; Surman, Sherri; Tian, Feng; Spina, Valeria; Tousseyn, Thomas; Buedts, Lieselot; Hoppe, Richard; Natkunam, Yasodha; Fornecker, Luc-Matthieu; Castellino, Sharon M.; Advani, Ranjana; Rossi, Davide; Lynch, Ryan; Ghesquières, Hervé; Casasnovas, Olivier; Kurtz, David M.; Marks, Lianna J.; Link, Michael P.; André, Marc; Vandenberghe, Peter; Steidl, Christian; Diehn, Maximilian; Alizadeh, Ash A.","Distinct Hodgkin lymphoma subtypes defined by noninvasive genomic profiling","Nature","","1476-4687","10.1038/s41586-023-06903-x","https://www.nature.com/articles/s41586-023-06903-x","The scarcity of malignant Hodgkin and Reed–Sternberg cells hampers tissue-based comprehensive genomic profiling of classic Hodgkin lymphoma (cHL). By contrast, liquid biopsies show promise for molecular profiling of cHL due to relatively high circulating tumour DNA (ctDNA) levels1–4. Here we show that the plasma representation of mutations exceeds the bulk tumour representation in most cases, making cHL particularly amenable to noninvasive profiling. Leveraging single-cell transcriptional profiles of cHL tumours, we demonstrate Hodgkin and Reed–Sternberg ctDNA shedding to be shaped by DNASE1L3, whose increased tumour microenvironment-derived expression drives high ctDNA concentrations. Using this insight, we comprehensively profile 366 patients, revealing two distinct cHL genomic subtypes with characteristic clinical and prognostic correlates, as well as distinct transcriptional and immunological profiles. Furthermore, we identify a novel class of truncating IL4R mutations that are dependent on IL-13 signalling and therapeutically targetable with IL-4Rα-blocking antibodies. Finally, using PhasED-seq5, we demonstrate the clinical value of pretreatment and on-treatment ctDNA levels for longitudinally refining cHL risk prediction and for detection of radiographically occult minimal residual disease. Collectively, these results support the utility of noninvasive strategies for genotyping and dynamic monitoring of cHL, as well as capturing molecularly distinct subtypes with diagnostic, prognostic and therapeutic potential.","2024-01","2024-06-12 06:24:29","2024-06-12 06:24:29","2024-05-30 01:20:30","778-787","","7996","625","","","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","/Users/tlin/Zotero/storage/H72XCM26/Alig et al. - 2024 - Distinct Hodgkin lymphoma subtypes defined by noni.pdf","","No problem","Cancer genomics; Hodgkin lymphoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
