"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"49WAJVHC","journalArticle","2023","Whiteside, Sarah K.; Grant, Francis M.; Alvisi, Giorgia; Clarke, James; Tang, Leqi; Imianowski, Charlotte J.; Zhang, Baojie; Evans, Alexander C.; Wesolowski, Alexander J.; Conti, Alberto G.; Yang, Jie; Lauder, Sarah N.; Clement, Mathew; Humphreys, Ian R.; Dooley, James; Burton, Oliver; Liston, Adrian; Alloisio, Marco; Voulaz, Emanuele; Langhorne, Jean; Okkenhaug, Klaus; Lugli, Enrico; Roychoudhuri, Rahul","Acquisition of suppressive function by conventional T cells limits antitumor immunity upon Treg depletion","Science Immunology","","","10.1126/sciimmunol.abo5558","https://www.science.org/doi/10.1126/sciimmunol.abo5558","Regulatory T (Treg) cells contribute to immune homeostasis but suppress immune responses to cancer. Strategies to disrupt Treg cell–mediated cancer immunosuppression have been met with limited clinical success, but the underlying mechanisms for treatment failure are poorly understood. By modeling Treg cell–targeted immunotherapy in mice, we find that CD4+ Foxp3− conventional T (Tconv) cells acquire suppressive function upon depletion of Foxp3+ Treg cells, limiting therapeutic efficacy. Foxp3− Tconv cells within tumors adopt a Treg cell–like transcriptional profile upon ablation of Treg cells and acquire the ability to suppress T cell activation and proliferation ex vivo. Suppressive activity is enriched among CD4+ Tconv cells marked by expression of C-C motif receptor 8 (CCR8), which are found in mouse and human tumors. Upon Treg cell depletion, CCR8+ Tconv cells undergo systemic and intratumoral activation and expansion, and mediate IL-10–dependent suppression of antitumor immunity. Consequently, conditional deletion of Il10 within T cells augments antitumor immunity upon Treg cell depletion in mice, and antibody blockade of IL-10 signaling synergizes with Treg cell depletion to overcome treatment resistance. These findings reveal a secondary layer of immunosuppression by Tconv cells released upon therapeutic Treg cell depletion and suggest that broader consideration of suppressive function within the T cell lineage is required for development of effective Treg cell–targeted therapies.","2023-12-15","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:39:56","eabo5558","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/VNH523VH/Whiteside et al. - 2023 - Acquisition of suppressive function by conventiona.pdf","","Zero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TDGZAT3","journalArticle","2022","Bastard, Paul; Vazquez, Sara E.; Liu, Jamin; Laurie, Matthew T.; Wang, Chung Yu; Gervais, Adrian; Le Voyer, Tom; Bizien, Lucy; Zamecnik, Colin; Philippot, Quentin; Rosain, Jérémie; Catherinot, Emilie; Willmore, Andrew; Mitchell, Anthea M.; Bair, Rebecca; Garçon, Pierre; Kenney, Heather; Fekkar, Arnaud; Salagianni, Maria; Poulakou, Garyphallia; Siouti, Eleni; Sahanic, Sabina; Tancevski, Ivan; Weiss, Günter; Nagl, Laurenz; Manry, Jérémy; Duvlis, Sotirija; Arroyo-Sánchez, Daniel; Paz Artal, Estela; Rubio, Luis; Perani, Cristiano; Bezzi, Michela; Sottini, Alessandra; Quaresima, Virginia; Roussel, Lucie; Vinh, Donald C.; Reyes, Luis Felipe; Garzaro, Margaux; Hatipoglu, Nevin; Boutboul, David; Tandjaoui-Lambiotte, Yacine; Borghesi, Alessandro; Aliberti, Anna; Cassaniti, Irene; Venet, Fabienne; Monneret, Guillaume; Halwani, Rabih; Sharif-Askari, Narjes Saheb; Danielson, Jeffrey; Burrel, Sonia; Morbieu, Caroline; Stepanovskyy, Yurii; Bondarenko, Anastasia; Volokha, Alla; Boyarchuk, Oksana; Gagro, Alenka; Neuville, Mathilde; Neven, Bénédicte; Keles, Sevgi; Hernu, Romain; Bal, Antonin; Novelli, Antonio; Novelli, Giuseppe; Saker, Kahina; Ailioaie, Oana; Antolí, Arnau; Jeziorski, Eric; Rocamora-Blanch, Gemma; Teixeira, Carla; Delaunay, Clarisse; Lhuillier, Marine; Le Turnier, Paul; Zhang, Yu; Mahevas, Matthieu; Pan-Hammarström, Qiang; Abolhassani, Hassan; Bompoil, Thierry; Dorgham, Karim; COVID HGE Consortium; French COVID Study Group; COMET Consortium; Gorochov, Guy; Laouenan, Cédric; Rodríguez-Gallego, Carlos; Ng, Lisa F. P.; Renia, Laurent; Pujol, Aurora; Belot, Alexandre; Raffi, François; Allende, Luis M.; Martinez-Picado, Javier; Ozcelik, Tayfun; Imberti, Luisa; Notarangelo, Luigi D.; Troya, Jesus; Solanich, Xavier; Zhang, Shen-Ying; Puel, Anne; Wilson, Michael R.; Trouillet-Assant, Sophie; Abel, Laurent; Jouanguy, Emmanuelle; Ye, Chun Jimmie; Cobat, Aurélie; Thompson, Leslie M.; Andreakos, Evangelos; Zhang, Qian; Anderson, Mark S.; Casanova, Jean-Laurent; DeRisi, Joseph L.","Vaccine breakthrough hypoxemic COVID-19 pneumonia in patients with auto-Abs neutralizing type I IFNs","Science Immunology","","","10.1126/sciimmunol.abp8966","https://www.science.org/doi/10.1126/sciimmunol.abp8966","Life-threatening “breakthrough” cases of critical COVID-19 are attributed to poor or waning antibody (Ab) response to SARS-CoV-2 vaccines in individuals already at risk. Preexisting auto-Abs neutralizing type I IFNs underlie at least 15% of critical COVID-19 pneumonia cases in unvaccinated individuals; their contribution to hypoxemic breakthrough cases in vaccinated people is unknown. We studied a cohort of 48 individuals (aged 20 to 86 years) who received two doses of a messenger RNA (mRNA) vaccine and developed a breakthrough infection with hypoxemic COVID-19 pneumonia 2 weeks to 4 months later. Ab levels to the vaccine, neutralization of the virus, and auto-Abs to type I IFNs were measured in the plasma. Forty-two individuals had no known deficiency of B cell immunity and a normal Ab response to the vaccine. Among them, 10 (24%) had auto-Abs neutralizing type I IFNs (aged 43 to 86 years). Eight of these 10 patients had auto-Abs neutralizing both IFN-α2 and IFN-ω, whereas two neutralized IFN-ω only. No patient neutralized IFN-β. Seven neutralized type I IFNs at 10 ng/ml and three at 100 pg/ml only. Seven patients neutralized SARS-CoV-2 D614G and Delta efficiently, whereas one patient neutralized Delta slightly less efficiently. Two of the three patients neutralizing only type I IFNs at 100 pg/ml neutralized both D614G and Delta less efficiently. Despite two mRNA vaccine inoculations and the presence of circulating Abs capable of neutralizing SARS-CoV-2, auto-Abs neutralizing type I IFNs may underlie a notable proportion of hypoxemic COVID-19 pneumonia cases, highlighting the importance of this particularly vulnerable population.","2022-06-14","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:39:59","eabp8966","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/7PK9EVZD/Bastard et al. - 2022 - Vaccine breakthrough hypoxemic COVID-19 pneumonia .pdf","","No bar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6HAAJ7K","journalArticle","2023","Ruef, Nora; Martínez Magdaleno, Jose; Ficht, Xenia; Purvanov, Vladimir; Palayret, Matthieu; Wissmann, Stefanie; Pfenninger, Petra; Stolp, Bettina; Thelen, Flavian; Barreto de Albuquerque, Juliana; Germann, Philipp; Sharpe, James; Abe, Jun; Legler, Daniel F.; Stein, Jens V.","Exocrine gland–resident memory CD8+ T cells use mechanosensing for tissue surveillance","Science Immunology","","","10.1126/sciimmunol.add5724","https://www.science.org/doi/10.1126/sciimmunol.add5724","Tissue-resident CD8+ T cells (TRM) continuously scan peptide-MHC (pMHC) complexes in their organ of residence to intercept microbial invaders. Recent data showed that TRM lodged in exocrine glands scan tissue in the absence of any chemoattractant or adhesion receptor signaling, thus bypassing the requirement for canonical migration-promoting factors. The signals eliciting this noncanonical motility and its relevance for organ surveillance have remained unknown. Using mouse models of viral infections, we report that exocrine gland TRM autonomously generated front-to-back F-actin flow for locomotion, accompanied by high cortical actomyosin contractility, and leading-edge bleb formation. The distinctive mode of exocrine gland TRM locomotion was triggered by sensing physical confinement and was closely correlated with nuclear deformation, which acts as a mechanosensor via an arachidonic acid and Ca2+ signaling pathway. By contrast, naïve CD8+ T cells or TRM surveilling microbe-exposed epithelial barriers did not show mechanosensing capacity. Inhibition of nuclear mechanosensing disrupted exocrine gland TRM scanning and impaired their ability to intercept target cells. These findings indicate that confinement is sufficient to elicit autonomous T cell surveillance in glands with restricted chemokine expression and constitutes a scanning strategy that complements chemosensing-dependent migration.","2023-12-22","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:40:00","eadd5724","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/PBMLSPP4/Ruef et al. - 2023 - Exocrine gland–resident memory CD8+ T cells use me.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FVYSGZVN","journalArticle","2023","Shibasaki, Yasuhiro; Afanasyev, Sergei; Fernández-Montero, Alvaro; Ding, Yang; Watanabe, Shota; Takizawa, Fumio; Lamas, Jesús; Fontenla-Iglesias, Francisco; Leiro, José Manuel; Krasnov, Aleksei; Boudinot, Pierre; Sunyer, J. Oriol","Cold-blooded vertebrates evolved organized germinal center–like structures","Science Immunology","","","10.1126/sciimmunol.adf1627","https://www.science.org/doi/10.1126/sciimmunol.adf1627","Germinal centers (GCs) or analogous secondary lymphoid microstructures (SLMs) are thought to have evolved in endothermic species. However, living representatives of their ectothermic ancestors can mount potent secondary antibody responses upon infection or immunization, despite the apparent lack of SLMs in these cold-blooded vertebrates. How and where adaptive immune responses are induced in ectothermic species in the absence of GCs or analogous SLMs remain poorly understood. Here, we infected a teleost fish (trout) with the parasite Ichthyophthirius multifiliis (Ich) and identified the formation of large aggregates of highly proliferating IgM+ B cells and CD4+ T cells, contiguous to splenic melanomacrophage centers (MMCs). Most of these MMC-associated lymphoid aggregates (M-LAs) contained numerous antigen (Ag)–specific B cells. Analysis of the IgM heavy chain CDR3 repertoire of microdissected splenic M-LAs and non–M-LA areas revealed that the most frequent B cell clones induced after Ich infection were highly shared only within the M-LAs of infected animals. These M-LAs represented highly polyclonal SLMs in which Ag-specific B cell clonal expansion occurred. M-LA–associated B cells expressed high levels of activation-induced cytidine deaminase and underwent significant apoptosis, and somatic hypermutation of Igμ genes occurred prevalently in these cells. Our findings demonstrate that ectotherms evolved organized SLMs with GC-like roles. Moreover, our results also point to primordially conserved mechanisms by which M-LAs and mammalian polyclonal GCs develop and function.","2023-11","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:40:02","eadf1627","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/I2HJVRKH/Shibasaki et al. - 2023 - Cold-blooded vertebrates evolved organized germina.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7M7FLDK","journalArticle","2023","Ran, Li; Ye, Tao; Erbs, Eric; Ehl, Stephan; Spassky, Nathalie; Sumara, Izabela; Zhang, Zhirong; Ricci, Romeo","KCNN4 links PIEZO-dependent mechanotransduction to NLRP3 inflammasome activation","Science Immunology","","","10.1126/sciimmunol.adf4699","https://www.science.org/doi/10.1126/sciimmunol.adf4699","Immune cells sense the microenvironment to fine-tune their inflammatory responses. Patients with cryopyrin-associated periodic syndrome (CAPS), caused by mutations in the NLRP3 gene, develop autoinflammation triggered by nonantigenic cues such as from the environment. However, the underlying mechanisms are poorly understood. Here, we uncover that KCNN4, a calcium-activated potassium channel, links PIEZO-mediated mechanotransduction to NLRP3 inflammasome activation. Yoda1, a PIEZO1 agonist, lowered the threshold for NLRP3 inflammasome activation. PIEZO-mediated sensing of stiffness and shear stress increased NLRP3-dependent inflammation. Myeloid-specific deletion of PIEZO1/2 protected mice from gouty arthritis. Mechanistically, activation of PIEZO1 triggers calcium influx, which activates KCNN4 to evoke potassium efflux and promotes NLRP3 inflammasome activation. Activation of PIEZO signaling was sufficient to activate the inflammasome in cells expressing CAPS-causing NLRP3 mutants via KCNN4. Last, pharmacological inhibition of KCNN4 alleviated autoinflammation in cells of patients with CAPS and in mice bearing a CAPS mutation. Thus, PIEZO-dependent mechanical inputs boost inflammation in NLRP3-dependent diseases, including CAPS.","2023-12-22","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:40:03","eadf4699","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/L6EYZK9J/Ran et al. - 2023 - KCNN4 links PIEZO-dependent mechanotransduction to.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WMFZKKZK","journalArticle","2023","Wu, Lingling; Hong, Xiaochuan; Yang, Chao; Yang, Yuanqin; Li, Wenwen; Lu, Lu; Cai, Meichun; Cao, Dongqing; Zhuang, Guanglei; Deng, Liufu","Noncanonical MAVS signaling restrains dendritic cell–driven antitumor immunity by inhibiting IL-12","Science Immunology","","","10.1126/sciimmunol.adf4919","https://www.science.org/doi/10.1126/sciimmunol.adf4919","Mitochondrial antiviral signaling protein (MAVS)–mediated cytosolic RNA sensing plays a central role in tumor immunogenicity. However, the effects of host MAVS signaling on antitumor immunity remain unclear. Here, we demonstrate that the host MAVS pathway supports tumor growth and impairs antitumor immunity, whereas MAVS deficiency in dendritic cells (DCs) promotes tumor-reactive CD8+ T cell responses. Specifically, CD8+ T cell priming capacity was enhanced by MAVS ablation in a type I interferon–independent, but IL-12–dependent, manner. Mechanistically, loss of the RIG-I/MAVS cascade activated the noncanonical NF-κB pathway and in turn induced IL-12 production by DCs. MAVS-restrained IL-12 promoted cross-talk between CD8+ T cells and DCs, which was licensed by IFN-γ. Moreover, ablation of host MAVS sensitized tumors to immunotherapy and attenuated radiation resistance, thereby facilitating the maintenance of effector CD8+ T cells. These findings demonstrate that the host MAVS pathway acts as an immune regulator of DC-driven antitumor immunity and support the development of immunotherapies that antagonize MAVS signaling in DCs.","2023-12","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:40:04","eadf4919","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/GFM8ZYBB/Wu et al. - 2023 - Noncanonical MAVS signaling restrains dendritic ce.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ATCKRXR","journalArticle","2023","Barnes, Josephine L.; Yoshida, Masahiro; He, Peng; Worlock, Kaylee B.; Lindeboom, Rik G.H.; Suo, Chenqu; Pett, J. Patrick; Wilbrey-Clark, Anna; Dann, Emma; Mamanova, Lira; Richardson, Laura; Polanski, Krzysztof; Pennycuick, Adam; Allen-Hyttinen, Jessica; Herczeg, Iván T.; Arzili, Romina; Hynds, Robert E.; Teixeira, Vitor H.; Haniffa, Muzlifah; Lim, Kyungtae; Sun, Dawei; Rawlins, Emma L.; Oliver, Amanda J.; Lyons, Paul A.; Marioni, John C.; Ruhrberg, Christiana; Tuong, Zewen Kelvin; Clatworthy, Menna R.; Reading, James L.; Janes, Sam M.; Teichmann, Sarah A.; Meyer, Kerstin B.; Nikolić, Marko Z.","Early human lung immune cell development and its role in epithelial cell fate","Science Immunology","","","10.1126/sciimmunol.adf9988","https://www.science.org/doi/10.1126/sciimmunol.adf9988","Studies of human lung development have focused on epithelial and mesenchymal cell types and function, but much less is known about the developing lung immune cells, even though the airways are a major site of mucosal immunity after birth. An unanswered question is whether tissue-resident immune cells play a role in shaping the tissue as it develops in utero. Here, we profiled human embryonic and fetal lung immune cells using scRNA-seq, smFISH, and immunohistochemistry. At the embryonic stage, we observed an early wave of innate immune cells, including innate lymphoid cells, natural killer cells, myeloid cells, and lineage progenitors. By the canalicular stage, we detected naive T lymphocytes expressing high levels of cytotoxicity genes and the presence of mature B lymphocytes, including B-1 cells. Our analysis suggests that fetal lungs provide a niche for full B cell maturation. Given the presence and diversity of immune cells during development, we also investigated their possible effect on epithelial maturation. We found that IL-1β drives epithelial progenitor exit from self-renewal and differentiation to basal cells in vitro. In vivo, IL-1β–producing myeloid cells were found throughout the lung and adjacent to epithelial tips, suggesting that immune cells may direct human lung epithelial development.","2023-12-15","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:40:05","eadf9988","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/3SZCNQAF/Barnes et al. - 2023 - Early human lung immune cell development and its r.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z29DP9CG","journalArticle","2023","Cai, Curtis; Gao, Yu; Adamo, Sarah; Rivera-Ballesteros, Olga; Hansson, Lotta; Österborg, Anders; Bergman, Peter; Sandberg, Johan K.; Ljunggren, Hans-Gustaf; Björkström, Niklas K.; Strålin, Kristoffer; Llewellyn-Lacey, Sian; Price, David A.; Qin, Chuan; Grifoni, Alba; Weiskopf, Daniela; Wherry, E. John; Sette, Alessandro; Aleman, Soo; Buggert, Marcus","SARS-CoV-2 vaccination enhances the effector qualities of spike-specific T cells induced by COVID-19","Science Immunology","","","10.1126/sciimmunol.adh0687","https://www.science.org/doi/10.1126/sciimmunol.adh0687","T cells are critical for immune protection against severe COVID-19, but it has remained unclear whether repeated exposure to SARS-CoV-2 antigens delivered in the context of vaccination fuels T cell exhaustion or reshapes T cell functionality. Here, we sampled convalescent donors with a history of mild or severe COVID-19 before and after SARS-CoV-2 vaccination to profile the functional spectrum of hybrid T cell immunity. Using combined single-cell technologies and high-dimensional flow cytometry, we found that the frequencies and functional capabilities of spike-specific CD4+ and CD8+ T cells in previously infected individuals were enhanced by vaccination, despite concomitant increases in the expression of inhibitory receptors such as PD-1 and TIM3. In contrast, CD4+ and CD8+ T cells targeting non-spike proteins remained functionally static and waned over time, and only minimal effects were observed in healthy vaccinated donors experiencing breakthrough infections with SARS-CoV-2. Moreover, hybrid immunity was characterized by elevated expression of IFN-γ, which was linked with clonotype specificity in the CD8+ T cell lineage. Collectively, these findings identify a molecular hallmark of hybrid immunity and suggest that vaccination after infection is associated with cumulative immunological benefits over time, potentially conferring enhanced protection against subsequent episodes of COVID-19.","2023-12-08","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:40:06","eadh0687","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/GBP9XWTY/Cai et al. - 2023 - SARS-CoV-2 vaccination enhances the effector quali.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GY5TGIWT","journalArticle","2023","Jost, Stephanie; Lucar, Olivier; Lee, Esther; Yoder, Taylor; Kroll, Kyle; Sugawara, Sho; Smith, Scott; Jones, Rhianna; Tweet, George; Werner, Alexandra; Tomezsko, Phillip J.; Dugan, Haley L.; Ghofrani, Joshua; Rascle, Philippe; Altfeld, Marcus; Müller-Trutwin, Michaela; Goepfert, Paul; Reeves, R. Keith","Antigen-specific memory NK cell responses against HIV and influenza use the NKG2/HLA-E axis","Science Immunology","","","10.1126/sciimmunol.adi3974","https://www.science.org/doi/10.1126/sciimmunol.adi3974","Multiple studies have broadened the roles of natural killer (NK) cells functioning as purely innate lymphocytes by demonstrating that they are capable of putative antigen-specific immunological memory against multiple infectious agents including HIV-1 and influenza. However, the mechanisms underlying antigen specificity remain unknown. Here, we demonstrate that antigen-specific human NK cell memory develops upon exposure to both HIV and influenza, unified by a conserved and epitope-specific targetable mechanism largely dependent on the activating CD94/NKG2C receptor and its ligand HLA-E. We validated the permanent acquisition of antigen specificity by individual memory NK cells by single-cell cloning. We identified elevated expression of KLRG1, α4β7, and NKG2C as biomarkers of antigen-specific NK cell memory through complex immunophenotyping. Last, we uncovered individual HLA-E–restricted peptides that may constitute the dominant NK cell response in HIV-1– and influenza-infected persons in vivo. Our findings clarify the mechanisms contributing to antigen-specific memory NK cell responses and suggest that they could be potentially targeted therapeutically for vaccines or other therapeutic interventions.","2023-12-08","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:40:07","eadi3974","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/CDXI5YKC/Jost et al. - 2023 - Antigen-specific memory NK cell responses against .pdf","","Zero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F5VU34Y4","journalArticle","2023","Sun, Yi; Florio, Tyler J.; Gupta, Sagar; Young, Michael C.; Marshall, Quinlen F.; Garfinkle, Samuel E.; Papadaki, Georgia F.; Truong, Hau V.; Mycek, Emily; Li, Peiyao; Farrel, Alvin; Church, Nicole L.; Jabar, Shereen; Beasley, Matthew D.; Kiefel, Ben R.; Yarmarkovich, Mark; Mallik, Leena; Maris, John M.; Sgourakis, Nikolaos G.","Structural principles of peptide-centric chimeric antigen receptor recognition guide therapeutic expansion","Science Immunology","","","10.1126/sciimmunol.adj5792","https://www.science.org/doi/10.1126/sciimmunol.adj5792","Peptide-centric chimeric antigen receptors (PC-CARs) recognize oncoprotein epitopes displayed by cell-surface human leukocyte antigens (HLAs) and offer a promising strategy for targeted cancer therapy. We have previously developed a PC-CAR targeting a neuroblastoma-associated PHOX2B peptide, leading to robust tumor cell lysis restricted by two common HLA allotypes. Here, we determine the 2.1-angstrom crystal structure of the PC-CAR–PHOX2B–HLA-A*24:02–β2m complex, which reveals the basis for antigen-specific recognition through interactions with CAR complementarity-determining regions (CDRs). This PC-CAR adopts a diagonal docking mode, where interactions with both conserved and polymorphic HLA framework residues permit recognition of multiple HLA allotypes from the A9 serological cross-reactive group, covering a combined global population frequency of up to 46.7%. Biochemical binding assays, molecular dynamics simulations, and structural and functional analyses demonstrate that high-affinity PC-CAR recognition of cross-reactive pHLAs necessitates the presentation of a specific peptide backbone, where subtle structural adaptations of the peptide are critical for high-affinity complex formation, and CAR T cell killing. Our results provide a molecular blueprint for engineering CARs with optimal recognition of tumor-associated antigens in the context of different HLAs, while minimizing cross-reactivity with self-epitopes.","2023-12","2024-06-11 00:42:53","2024-06-11 00:42:53","2024-05-27 23:40:08","eadj5792","","90","8","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/JJFQNG3V/Sun et al. - 2023 - Structural principles of peptide-centric chimeric .pdf","","Log","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
