"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EMC2GNLV","journalArticle","2023","Mazzarella, Luca; Santoro, Fabio; Ravasio, Roberto; Fumagalli, Valeria; Massa, Paul E.; Rodighiero, Simona; Gavilán, Elena; Romanenghi, Mauro; Duso, Bruno A.; Bonetti, Emanuele; Manganaro, Lara; Pallavi, Rani; Trastulli, Deborah; Pallavicini, Isabella; Gentile, Claudia; Monzani, Silvia; Leonardi, Tommaso; Pasqualato, Sebastiano; Buttinelli, Gabriele; Di Martino, Angela; Fedele, Giorgio; Schiavoni, Ilaria; Stefanelli, Paola; Meroni, Giuseppe; de Francesco, Raffaele; Steinkuhler, Christian; Fossati, Gianluca; Iannacone, Matteo; Minucci, Saverio; Pelicci, Pier Giuseppe","Inhibition of the lysine demethylase LSD1 modulates the balance between inflammatory and antiviral responses against coronaviruses","Science Signaling","","","10.1126/scisignal.ade0326","https://www.science.org/doi/10.1126/scisignal.ade0326","Innate immune responses to coronavirus infections are highly cell specific. Tissue-resident macrophages, which are infected by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in patients but are inconsistently infected in vitro, exert critical but conflicting effects by secreting both antiviral type I interferons (IFNs) and tissue-damaging inflammatory cytokines. Steroids, the only class of host-targeting drugs approved for the treatment of coronavirus disease 2019 (COVID-19), indiscriminately suppress both responses, possibly impairing viral clearance. Here, we established in vitro cell culture systems that enabled us to separately investigate the cell-intrinsic and cell-extrinsic proinflammatory and antiviral activities of mouse macrophages infected with the prototypical murine coronavirus MHV-A59. We showed that the nuclear factor κB–dependent inflammatory response to viral infection was selectively inhibited by loss of the lysine demethylase LSD1, which was previously implicated in innate immune responses to cancer, with negligible effects on the antiviral IFN response. LSD1 ablation also enhanced an IFN-independent antiviral response, blocking viral egress through the lysosomal pathway. The macrophage-intrinsic antiviral and anti-inflammatory activity of Lsd1 inhibition was confirmed in vitro and in a humanized mouse model of SARS-CoV-2 infection. These results suggest that LSD1 controls innate immune responses against coronaviruses at multiple levels and provide a mechanistic rationale for potentially repurposing LSD1 inhibitors for COVID-19 treatment.","2023-12-19","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:37:45","eade0326","","816","16","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/YPKFMNJG/Mazzarella et al. - 2023 - Inhibition of the lysine demethylase LSD1 modulate.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQZZLGUH","journalArticle","2023","Li, Yuanyuan; Shah, Richa B.; Sarti, Samanta; Belcher, Alicia L.; Lee, Brian J.; Gorbatenko, Andrej; Nemati, Francesca; Yu, Honglin; Stanley, Zoe; Rahman, Mahbuba; Shao, Zhengping; Silva, Jose M.; Zha, Shan; Sidi, Samuel","A noncanonical IRAK4-IRAK1 pathway counters DNA damage–induced apoptosis independently of TLR/IL-1R signaling","Science Signaling","","","10.1126/scisignal.adh3449","https://www.science.org/doi/10.1126/scisignal.adh3449","Interleukin-1 receptor (IL-1R)–associated kinases (IRAKs) are core effectors of Toll-like receptors (TLRs) and IL-1R in innate immunity. Here, we found that IRAK4 and IRAK1 together inhibited DNA damage–induced cell death independently of TLR or IL-1R signaling. In human cancer cells, IRAK4 was activated downstream of ATR kinase in response to double-strand breaks (DSBs) induced by ionizing radiation (IR). Activated IRAK4 then formed a complex with and activated IRAK1. The formation of this complex required the E3 ubiquitin ligase Pellino1, acting structurally but not catalytically, and the activation of IRAK1 occurred independently of extracellular signaling, intracellular TLRs, and the TLR/IL-1R signaling adaptor MyD88. Activated IRAK1 translocated to the nucleus in a Pellino2-dependent manner. In the nucleus, IRAK1 bound to the PIDD1 subunit of the proapoptotic PIDDosome and interfered with platform assembly, thus supporting cell survival. This noncanonical IRAK signaling pathway was also activated in response to other DSB-inducing agents. The loss of IRAK4, of IRAK4 kinase activity, of either Pellino protein, or of the nuclear localization sequence in IRAK1 sensitized p53-mutant zebrafish to radiation. Thus, the findings may lead to strategies for overcoming tumor resistance to conventional cancer treatments.","2023-12-19","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:38:13","eadh3449","","816","16","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/MD9S7MBL/Li et al. - 2023 - A noncanonical IRAK4-IRAK1 pathway counters DNA da.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DMT8UVS4","journalArticle","2023","Korwek, Zbigniew; Czerkies, Maciej; Jaruszewicz-Błońska, Joanna; Prus, Wiktor; Kosiuk, Ilona; Kochańczyk, Marek; Lipniacki, Tomasz","Nonself RNA rewires IFN-β signaling: A mathematical model of the innate immune response","Science Signaling","","","10.1126/scisignal.abq1173","https://www.science.org/doi/10.1126/scisignal.abq1173","Type I interferons (IFNs) are key coordinators of the innate immune response to viral infection, which, through activation of the transcriptional regulators STAT1 and STAT2 (STAT1/2) in bystander cells, induce the expression of IFN-stimulated genes (ISGs). Here, we showed that in cells transfected with poly(I:C), an analog of viral RNA, the transcriptional activity of STAT1/2 was terminated because of depletion of the interferon-β (IFN-β) receptor, IFNAR. Activation of RNase L and PKR, products of two ISGs, not only hindered the replenishment of IFNAR but also suppressed negative regulators of IRF3 and NF-κB, consequently promoting IFNB transcription. We incorporated these findings into a mathematical model of innate immunity. By coupling signaling through the IRF3–NF-κB and STAT1/2 pathways with the activities of RNase L and PKR, the model explains how poly(I:C) switches the transcriptional program from being STAT1/2 induced to being IRF3 and NF-κB induced, which converts IFN-β–responding cells to IFN-β–secreting cells.","2023-12-12","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:38:14","eabq1173","","815","16","","","Nonself RNA rewires IFN-β signaling","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/EMLXWLRR/Korwek et al. - 2023 - Nonself RNA rewires IFN-β signaling A mathematica.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YUC7SG5","journalArticle","2023","LaPak, Kyle M.; Saeidi, Soma; Bok, Ilah; Wamsley, Nathan T.; Plutzer, Isaac B.; Bhatt, Dhaval P.; Luo, Jingqin; Ashrafi, Ghazaleh; Ben Major, M.","Proximity proteomic analysis of the NRF family reveals the Parkinson’s disease protein ZNF746/PARIS as a co-complexed repressor of NRF2","Science Signaling","","","10.1126/scisignal.adi9018","https://www.science.org/doi/10.1126/scisignal.adi9018","The nuclear factor erythroid 2-related factor 2 (NRF2) transcription factor activates cytoprotective and metabolic gene expression in response to various electrophilic stressors. Constitutive NRF2 activity promotes cancer progression, whereas decreased NRF2 function contributes to neurodegenerative diseases. We used proximity proteomic analysis to define protein networks for NRF2 and its family members NRF1, NRF3, and the NRF2 heterodimer MAFG. A functional screen of co-complexed proteins revealed previously uncharacterized regulators of NRF2 transcriptional activity. We found that ZNF746 (also known as PARIS), a zinc finger transcription factor implicated in Parkinson’s disease, physically associated with NRF2 and MAFG, resulting in suppression of NRF2-driven transcription. ZNF746 overexpression increased oxidative stress and apoptosis in a neuronal cell model of Parkinson’s disease, phenotypes that were reversed by chemical and genetic hyperactivation of NRF2. This study presents a functionally annotated proximity network for NRF2 and suggests a link between ZNF746 overexpression in Parkinson’s disease and inhibition of NRF2-driven neuroprotection.","2023-12-12","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:38:15","eadi9018","","815","16","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/2QPT42E2/LaPak et al. - 2023 - Proximity proteomic analysis of the NRF family rev.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UTA428VN","journalArticle","2023","Jiang, Yi; Xu, Yuejie; Zhu, Chengliang; Xu, Guifang; Xu, Lei; Rao, Zijian; Zhou, Lixing; Jiang, Ping; Malik, Sara; Fang, Jingyuan; Lin, Hening; Zhang, Mingming","STAT3 palmitoylation initiates a positive feedback loop that promotes the malignancy of hepatocellular carcinoma cells in mice","Science Signaling","","","10.1126/scisignal.add2282","https://www.science.org/doi/10.1126/scisignal.add2282","Constitutive activation of the transcription factor STAT3 (signal transducer and activator of transcription 3) contributes to the malignancy of many cancers such as hepatocellular carcinoma (HCC) and is associated with poor prognosis. STAT3 activity is increased by the reversible palmitoylation of Cys108 by the palmitoyltransferase DHHC7 (encoded by ZDHHC7). Here, we investigated the consequences of S-palmitoylation of STAT3 in HCC. Increased ZDHHC7 abundance in HCC cases was associated with poor prognosis, as revealed by bioinformatics analysis of patient data. In HepG2 cells in vitro, DHHC7-mediated palmitoylation enhanced the expression of STAT3 target genes, including HIF1A, which encodes the hypoxia-inducible transcription factor HIF1α. Inhibiting DHHC7 decreased the S-palmitoylation of STAT3 and decreased HIF1α abundance. Furthermore, stabilization of HIF1α by cyclin-dependent kinase 5 (CDK5) enabled it to promote the expression of ZDHHC7, which generated a positive feedback loop between DHHC7, STAT3, and HIF1α. Perturbing this loop reduced the growth of HCC cells in vivo. Moreover, DHHC7, STAT3, and HIF1α were all abundant in human HCC tissues. Our study identifies a pathway connecting these proteins that is initiated by S-palmitoylation, which may be broadly applicable to understanding the role of this modification in cancer.","2023-12-05","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:38:16","eadd2282","","814","16","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/NFKIJB68/Jiang et al. - 2023 - STAT3 palmitoylation initiates a positive feedback.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DEM4NT26","journalArticle","2023","Liu, Huicong; Yan, Peipei; Wu, Can; Rao, Muding; Zhu, Jiangli; Lv, Luxian; Li, Wenqiang; Liang, Yinming; Qi, Shiqian; Lu, Kefeng; Kong, Eryan","Palmitoylated Sept8-204 modulates learning and anxiety by regulating filopodia arborization and actin dynamics","Science Signaling","","","10.1126/scisignal.adi8645","https://www.science.org/doi/10.1126/scisignal.adi8645","Septin proteins are involved in diverse physiological functions, including the formation of specialized cytoskeletal structures. Septin 8 (Sept8) is implicated in spine morphogenesis and dendritic branching through palmitoylation. We explored the role and regulation of a Sept8 variant in human neural-like cells and in the mouse brain. We identified Sept8-204 as a brain-specific variant of Sept8 that was abundant in neurons and modified by palmitoylation, specifically at Cys469, Cys470, and Cys472. Sept8-204 palmitoylation was mediated by the palmitoyltransferase ZDHHC7 and was removed by the depalmitoylase PPT1. Palmitoylation of Sept8-204 bound to F-actin and induced cytoskeletal dynamics to promote the outgrowth of filopodia in N2a cells and the arborization of neurites in hippocampal neurons. In contrast, a Sept8-204 variant that could not be palmitoylated because of mutation of all three Cys residues (Sept8-204-3CA) lost its ability to bind F-actin, and expression of this mutant did not promote morphological changes. Genetic deletion of Sept8, Sept8-204, or Zdhhc7 caused deficits in learning and memory and promoted anxiety-like behaviors in mice. Our findings provide greater insight into the regulation of Sept8-204 by palmitoylation and its role in neuronal morphology and function in relation to cognition.","2023-12-05","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:38:17","eadi8645","","814","16","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/SM2KID72/Liu et al. - 2023 - Palmitoylated Sept8-204 modulates learning and anx.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8JPQPHMA","journalArticle","2023","Kobialka, Piotr; Llena, Judith; Deleyto-Seldas, Nerea; Munar-Gelabert, Margalida; Dengra, Jose A.; Villacampa, Pilar; Albinyà-Pedrós, Alba; Muixi, Laia; Andrade, Jorge; van Splunder, Hielke; Angulo-Urarte, Ana; Potente, Michael; Grego-Bessa, Joaquim; Castillo, Sandra D.; Vanhaesebroeck, Bart; Efeyan, Alejo; Graupera, Mariona","PI3K-C2β limits mTORC1 signaling and angiogenic growth","Science Signaling","","","10.1126/scisignal.adg1913","https://www.science.org/doi/10.1126/scisignal.adg1913","Phosphoinositide 3-kinases (PI3Ks) phosphorylate intracellular inositol lipids to regulate signaling and intracellular vesicular trafficking. Mammals have eight PI3K isoforms, of which class I PI3Kα and class II PI3K-C2α are essential for vascular development. The class II PI3K-C2β is also abundant in endothelial cells. Using in vivo and in vitro approaches, we found that PI3K-C2β was a critical regulator of blood vessel growth by restricting endothelial mTORC1 signaling. Mice expressing a kinase-inactive form of PI3K-C2β displayed enlarged blood vessels without corresponding changes in endothelial cell proliferation or migration. Instead, inactivation of PI3K-C2β resulted in an increase in the size of endothelial cells, particularly in the sprouting zone of angiogenesis. Mechanistically, we showed that the aberrantly large size of PI3K-C2β mutant endothelial cells was caused by mTORC1 activation, which sustained growth in these cells. Consistently, pharmacological inhibition of mTORC1 with rapamycin normalized vascular morphogenesis in PI3K-C2β mutant mice. Together, these results identify PI3K-C2β as a crucial determinant of endothelial signaling and illustrate the importance of mTORC1 regulation during angiogenic growth.","2023-11-28","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:38:18","eadg1913","","813","16","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/49GUIQTH/Kobialka et al. - 2023 - PI3K-C2β limits mTORC1 signaling and angiogenic gr.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W7YG52XV","journalArticle","2023","Paillon, Noémie; Mouro, Violette; Dogniaux, Stéphanie; Maurin, Mathieu; Saez Pons, Juan-José; Ferran, Hermine; Bataille, Laurence; Zucchetti, Andrés Ernesto; Hivroz, Claire","PD-1 inhibits T cell actin remodeling at the immunological synapse independently of its signaling motifs","Science Signaling","","","10.1126/scisignal.adh2456","https://www.science.org/doi/10.1126/scisignal.adh2456","Engagement of the receptor programmed cell death molecule 1 (PD-1) by its ligands PD-L1 and PD-L2 inhibits T cell–mediated immune responses. Blocking such signaling provides the clinical effects of PD-1–targeted immunotherapy. Here, we investigated the mechanisms underlying PD-1–mediated inhibition. Because dynamic actin remodeling is crucial for T cell functions, we characterized the effects of PD-1 engagement on actin remodeling at the immunological synapse, the interface between a T cell and an antigen-presenting cell (APC) or target cell. We used microscopy to analyze the formation of immunological synapses between PD-1+ Jurkat cells or primary human CD8+ cytotoxic T cells and APCs that presented T cell–activating antibodies and were either positive or negative for PD-L1. PD-1 binding to PD-L1 inhibited T cell spreading induced by antibody-mediated activation, which was characterized by the absence of the F-actin–dense distal lamellipodial network at the immunological synapse and the Arp2/3 complex, which mediates branched actin formation. PD-1–induced inhibition of actin remodeling also prevented the characteristic deformation of T cells that contact APCs and the release of cytotoxic granules. We showed that the effects of PD-1 on actin remodeling did not require its tyrosine-based signaling motifs, which are thought to mediate the co-inhibitory effects of PD-1. Our study highlights a previously unappreciated mechanism of PD-1–mediated suppression of T cell activity, which depends on the regulation of actin cytoskeleton dynamics in a signaling motif–independent manner.","2023-11-28","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:38:19","eadh2456","","813","16","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/TT2DAGYV/Paillon et al. - 2023 - PD-1 inhibits T cell actin remodeling at the immun.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55KFCX7J","journalArticle","2023","Morales-Soto, Wilmarie; Gonzales, Jacques; Jackson, William F.; Gulbransen, Brian D.","Enteric glia promote visceral hypersensitivity during inflammation through intercellular signaling with gut nociceptors","Science Signaling","","","10.1126/scisignal.adg1668","https://www.science.org/doi/10.1126/scisignal.adg1668","Inflammation in the intestines causes abdominal pain that is challenging to manage. The terminals of sensory neurons innervating the gut are surrounded by glia. Here, using a mouse model of acute colitis, we found that enteric glia contribute to visceral pain by secreting factors that sensitized sensory nerves innervating the gut in response to inflammation. Acute colitis induced a transient increase in the production of proinflammatory cytokines in the intestines of male and female mice. Of these, IL-1β was produced in part by glia and augmented the opening of the intercellular communication hemichannel connexin-43 in glia, which made normally innocuous stimuli painful in female mice. Chemogenetic glial activation paired with calcium imaging in nerve terminals demonstrated that glia sensitized gut-innervating nociceptors only under inflammatory conditions. This inflammatory, glial-driven visceral hypersensitivity involved an increased abundance of the enzyme COX-2 in glia, resulting in greater production and release of prostaglandin E2 that activated EP4 receptors on sensory nerve terminals. Blocking EP4 receptors reduced nociceptor sensitivity in response to glial stimulation in tissue samples from colitis-model mice, and impairing glial connexin-43 reduced visceral hypersensitivity induced by IL-1β in female mice. The findings suggest that therapies targeting enteric glial–neuron signaling might alleviate visceral pain caused by inflammatory disorders.","2023-11-21","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:38:21","eadg1668","","812","16","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/C27ZAN69/Morales-Soto et al. - 2023 - Enteric glia promote visceral hypersensitivity dur.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8AJ6J5S","journalArticle","2023","Spiller, Lukas; Manjula, Ramu; Leissing, Franz; Basquin, Jerome; Bourilhon, Priscila; Sinitski, Dzmitry; Brandhofer, Markus; Levecque, Sophie; Gerra, Simona; Sabelleck, Björn; Zhang, Lin; Feederle, Regina; Flatley, Andrew; Hoffmann, Adrian; Panstruga, Ralph; Bernhagen, Jürgen; Lolis, Elias","Plant MDL proteins synergize with the cytokine MIF at CXCR2 and CXCR4 receptors in human cells","Science Signaling","","","10.1126/scisignal.adg2621","https://www.science.org/doi/10.1126/scisignal.adg2621","Mammalian macrophage migration inhibitory factor (MIF) and its paralog, D-dopachrome tautomerase, are multifunctional inflammatory cytokines. Plants have orthologous MIF and D-dopachrome tautomerase–like (MDL) proteins that mimic some of the effects of MIF on immune cells in vitro. We explored the structural and functional similarities between the three Arabidopsis thaliana MDLs and MIF. X-ray crystallography of the MDLs revealed high structural similarity between MDL and MIF homotrimers and suggested a potential explanation for the lack of tautomerase activity in the MDLs. MDL1 and MDL2 interacted with each other and with MIF in vitro, in yeast, and in plant leaves and formed hetero-oligomeric complexes with MIF in vitro. The MDLs stimulated signaling through the MIF receptors CXCR2 or CXCR4 and enhanced the responses to MIF in a yeast reporter system, in human neutrophils, and in human lung epithelial cells. Pharmacological inhibitors that disrupted MIF activity or prevented the formation of MIF-MDL hetero-oligomers blocked the observed synergism. These findings demonstrate that MDLs can enhance cellular responses to MIF, which may have functional implications in tissues exposed to MDLs from the diet or environment.","2023-11-21","2024-06-11 00:41:30","2024-06-11 00:41:30","2024-05-28 02:38:21","eadg2621","","812","16","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/727ZJ2MX/Spiller et al. - 2023 - Plant MDL proteins synergize with the cytokine MIF.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
