"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IDF52MFV","journalArticle","2023","Sung, Yun Ju; Yang, Chengran; Norton, Joanne; Johnson, Matt; Fagan, Anne; Bateman, Randall J.; Perrin, Richard J.; Morris, John C.; Farlow, Martin R.; Chhatwal, Jasmeer P.; Schofield, Peter R.; Chui, Helena; Wang, Fengxian; Novotny, Brenna; Eteleeb, Abdallah; Karch, Celeste; Schindler, Suzanne E.; Rhinn, Herve; Johnson, Erik C. B.; Oh, Hamilton Se-Hwee; Rutledge, Jarod Evert; Dammer, Eric B.; Seyfried, Nicholas T.; Wyss-Coray, Tony; Harari, Oscar; Cruchaga, Carlos","Proteomics of brain, CSF, and plasma identifies molecular signatures for distinguishing sporadic and genetic Alzheimer’s disease","Science Translational Medicine","","","10.1126/scitranslmed.abq5923","https://www.science.org/doi/10.1126/scitranslmed.abq5923","Proteomic studies for Alzheimer’s disease (AD) are instrumental in identifying AD pathways but often focus on single tissues and sporadic AD cases. Here, we present a proteomic study analyzing 1305 proteins in brain tissue, cerebrospinal fluid (CSF), and plasma from patients with sporadic AD, TREM2 risk variant carriers, patients with autosomal dominant AD (ADAD), and healthy individuals. We identified 8 brain, 40 CSF, and 9 plasma proteins that were altered in individuals with sporadic AD, and we replicated these findings in several external datasets. We identified a proteomic signature that differentiated TREM2 variant carriers from both individuals with sporadic AD and healthy individuals. The proteins associated with sporadic AD were also altered in patients with ADAD, but with a greater effect size. Brain-derived proteins associated with ADAD were also replicated in additional CSF samples. Enrichment analyses highlighted several pathways, including those implicated in AD (calcineurin and Apo E), Parkinson’s disease (α-synuclein and LRRK2), and innate immune responses (SHC1, ERK-1, and SPP1). Our findings suggest that combined proteomics across brain tissue, CSF, and plasma can be used to identify markers for sporadic and genetically defined AD.","2023-07-05","2024-02-20 20:03:57","2024-05-26 17:44:10","2024-02-20 20:03:57","eabq5923","","703","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/78SV2Q76/Sung et al. - 2023 - Proteomics of brain, CSF, and plasma identifies mo.pdf","","No bar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U9EEBGQD","journalArticle","2023","Walker, Keenan A.; Chen, Jingsha; Shi, Liu; Yang, Yunju; Fornage, Myriam; Zhou, Linda; Schlosser, Pascal; Surapaneni, Aditya; Grams, Morgan E.; Duggan, Michael R.; Peng, Zhongsheng; Gomez, Gabriela T.; Tin, Adrienne; Hoogeveen, Ron C.; Sullivan, Kevin J.; Ganz, Peter; Lindbohm, Joni V.; Kivimaki, Mika; Nevado-Holgado, Alejo J.; Buckley, Noel; Gottesman, Rebecca F.; Mosley, Thomas H.; Boerwinkle, Eric; Ballantyne, Christie M.; Coresh, Josef","Proteomics analysis of plasma from middle-aged adults identifies protein markers of dementia risk in later life","Science Translational Medicine","","","10.1126/scitranslmed.adf5681","https://www.science.org/doi/10.1126/scitranslmed.adf5681","A diverse set of biological processes have been implicated in the pathophysiology of Alzheimer’s disease (AD) and related dementias. However, there is limited understanding of the peripheral biological mechanisms relevant in the earliest phases of the disease. Here, we used a large-scale proteomics platform to examine the association of 4877 plasma proteins with 25-year dementia risk in 10,981 middle-aged adults. We found 32 dementia-associated plasma proteins that were involved in proteostasis, immunity, synaptic function, and extracellular matrix organization. We then replicated the association between 15 of these proteins and clinically relevant neurocognitive outcomes in two independent cohorts. We demonstrated that 12 of these 32 dementia-associated proteins were associated with cerebrospinal fluid (CSF) biomarkers of AD, neurodegeneration, or neuroinflammation. We found that eight of these candidate protein markers were abnormally expressed in human postmortem brain tissue from patients with AD, although some of the proteins that were most strongly associated with dementia risk, such as GDF15, were not detected in these brain tissue samples. Using network analyses, we found a protein signature for dementia risk that was characterized by dysregulation of specific immune and proteostasis/autophagy pathways in adults in midlife ~20 years before dementia onset, as well as abnormal coagulation and complement signaling ~10 years before dementia onset. Bidirectional two-sample Mendelian randomization genetically validated nine of our candidate proteins as markers of AD in midlife and inferred causality of SERPINA3 in AD pathogenesis. Last, we prioritized a set of candidate markers for AD and dementia risk prediction in midlife.","2023-07-19","2024-02-20 20:04:18","2024-05-26 16:48:46","2024-02-20 20:04:18","eadf5681","","705","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/7RS6W96I/Walker et al. - 2023 - Proteomics analysis of plasma from middle-aged adu.pdf","","Zero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9D6V6GQU","journalArticle","2023","Cherief, Masnsen; Xu, Jiajia; Li, Zhao; Tower, Robert J.; Ramesh, Sowmya; Qin, Qizhi; Gomez-Salazar, Mario; Yea, Ji-Hye; Lee, Seungyong; Negri, Stefano; Xu, Mingxin; Price, Theodore; Kendal, Adrian R.; Fan, Chen-Ming; Clemens, Thomas L.; Levi, Benjamin; James, Aaron W.","TrkA-mediated sensory innervation of injured mouse tendon supports tendon sheath progenitor cell expansion and tendon repair","Science Translational Medicine","","","10.1126/scitranslmed.ade4619","https://www.science.org/doi/10.1126/scitranslmed.ade4619","Peripheral neurons terminate at the surface of tendons partly to relay nociceptive pain signals; however, the role of peripheral nerves in tendon injury and repair remains unclear. Here, we show that after Achilles tendon injury in mice, there is new nerve growth near tendon cells that express nerve growth factor (NGF). Conditional deletion of the Ngf gene in either myeloid or mesenchymal mouse cells limited both innervation and tendon repair. Similarly, inhibition of the NGF receptor tropomyosin receptor kinase A (TrkA) abrogated tendon healing in mouse tendon injury. Sural nerve transection blocked the postinjury increase in tendon sensory innervation and the expansion of tendon sheath progenitor cells (TSPCs) expressing tubulin polymerization promoting protein family member 3. Single cell and spatial transcriptomics revealed that disruption of sensory innervation resulted in dysregulated inflammatory signaling and transforming growth factor–β (TGFβ) signaling in injured mouse tendon. Culture of mouse TSPCs with conditioned medium from dorsal root ganglia neuron further supported a role for neuronal mediators and TGFβ signaling in TSPC proliferation. Transcriptomic and histologic analyses of injured human tendon biopsy samples supported a role for innervation and TGFβ signaling in human tendon regeneration. Last, treating mice after tendon injury systemically with a small-molecule partial agonist of TrkA increased neurovascular response, TGFβ signaling, TSPC expansion, and tendon tissue repair. Although further studies should investigate the potential effects of denervation on mechanical loading of tendon, our results suggest that peripheral innervation is critical for the regenerative response after acute tendon injury.","2023-12-20","2024-05-26 07:00:09","2024-05-26 07:14:19","2024-05-26 07:00:09","eade4619","","727","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/JC8AUR8Y/Cherief et al. - 2023 - TrkA-mediated sensory innervation of injured mouse.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2UAGFPX","journalArticle","2023","Prado-Acosta, Mariano; Jeong, Seihwan; Utrero-Rico, Alberto; Goncharov, Tatiana; Webster, Joshua D.; Holler, Ernst; Morales, George; Dellepiane, Sergio; Levine, John E.; Rothenberg, Michael E.; Vucic, Domagoj; Ferrara, James L. M.","Inhibition of RIP1 improves immune reconstitution and reduces GVHD mortality while preserving graft-versus-leukemia effects","Science Translational Medicine","","","10.1126/scitranslmed.adf8366","https://www.science.org/doi/10.1126/scitranslmed.adf8366","Graft-versus-host disease (GVHD) remains the major cause of morbidity and nonrelapse mortality (NRM) after hematopoietic cell transplantation (HCT). Inflammatory cytokines mediate damage to key GVHD targets such as intestinal stem cells (ISCs) and also activate receptor interacting protein kinase 1 (RIP1; RIPK1), a critical regulator of apoptosis and necroptosis. We therefore investigated the role of RIP1 in acute GVHD using samples from HCT patients, modeling GVHD damage in vitro with both human and mouse gastrointestinal (GI) organoids, and blocking RIP1 activation in vivo using several well-characterized mouse HCT models. Increased phospho-RIP1 expression in GI biopsies from patients with acute GVHD correlated with tissue damage and predicted NRM. Both the genetic inactivation of RIP1 and the RIP1 inhibitor GNE684 prevented GVHD-induced apoptosis of ISCs in vivo and in vitro. Daily administration of GNE684 for 14 days reduced inflammatory infiltrates in three GVHD target organs (intestine, liver, and spleen) in mice. Unexpectedly, GNE684 administration also reversed the marked loss of regulatory T cells in the intestines and liver during GVHD and reduced splenic T cell exhaustion, thus improving immune reconstitution. Pharmacological and genetic inhibition of RIP1 improved long-term survival without compromising the graft-versus-leukemia (GVL) effect in lymphocytic and myeloid leukemia mouse models. Thus, RIP1inhibition may represent a nonimmunosuppressive treatment for GVHD.","2023-12-20","2024-05-26 07:00:11","2024-05-26 07:13:09","2024-05-26 07:00:11","eadf8366","","727","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/TDM65CDM/Prado-Acosta et al. - 2023 - Inhibition of RIP1 improves immune reconstitution .pdf","","Others","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W53G7HYW","journalArticle","2023","Borna, Šimon; Lee, Esmond; Nideffer, Jason; Ramachandran, Akshaya; Wang, Bing; Baker, Jeanette; Mavers, Melissa; Lakshmanan, Uma; Narula, Mansi; Garrett, Amy Kang-hee; Schulze, Janika; Olek, Sven; Marois, Louis; Gernez, Yael; Bhatia, Monica; Chong, Hey Jin; Walter, Jolan; Kitcharoensakkul, Maleewan; Lang, Abigail; Cooper, Megan A.; Bertaina, Alice; Roncarolo, Maria Grazia; Meffre, Eric; Bacchetta, Rosa","Identification of unstable regulatory and autoreactive effector T cells that are expanded in patients with FOXP3 mutations","Science Translational Medicine","","","10.1126/scitranslmed.adg6822","https://www.science.org/doi/10.1126/scitranslmed.adg6822","Studies of the monogenic autoimmune disease immunodysregulation polyendocrinopathy enteropathy X-linked syndrome (IPEX) have elucidated the essential function of the transcription factor FOXP3 and thymic-derived regulatory T cells (Tregs) in controlling peripheral tolerance. However, the presence and the source of autoreactive T cells in IPEX remain undetermined. Here, we investigated how FOXP3 deficiency affects the T cell receptor (TCR) repertoire and Treg stability in vivo and compared T cell abnormalities in patients with IPEX with those in patients with autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy syndrome (APECED). To study Tregs independently of their phenotype and to analyze T cell autoreactivity, we combined Treg-specific demethylation region analyses, single-cell multiomic profiling, and bulk TCR sequencing. We found that patients with IPEX, unlike patients with APECED, have expanded autoreactive T cells originating from both autoreactive effector T cells (Teffs) and Tregs. In addition, a fraction of the expanded Tregs from patients with IPEX lost their phenotypic and functional markers, including CD25 and FOXP3. Functional experiments with CRISPR-Cas9–mediated FOXP3 knockout Tregs and Tregs from patients with IPEX indicated that the patients’ Tregs gain a TH2-skewed Teff-like function, which is consistent with immune dysregulation observed in these patients. Analyses of FOXP3 mutation-carrier mothers and a patient with IPEX after hematopoietic stem cell transplantation indicated that Tregs expressing nonmutated FOXP3 prevent the accumulation of autoreactive Teffs and unstable Tregs. These findings could be directly used for diagnostic and prognostic purposes and for monitoring the effects of immunomodulatory treatments.","2023-12-20","2024-05-26 07:00:13","2024-05-26 07:15:29","2024-05-26 07:00:13","eadg6822","","727","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/CUZWIWEM/Borna et al. - 2023 - Identification of unstable regulatory and autoreac.pdf","","Log; Zero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KAES9MDS","journalArticle","2023","Harrigan, Markus E.; Filous, Angela R.; Vadala, Christopher P.; Webb, Amy; Pietrzak, Maciej; Sahenk, Zarife; Prüss, Harald; Reiser, Peter J.; Popovich, Phillip G.; Arnold, W. David; Schwab, Jan M.","Lesion level–dependent systemic muscle wasting after spinal cord injury is mediated by glucocorticoid signaling in mice","Science Translational Medicine","","","10.1126/scitranslmed.adh2156","https://www.science.org/doi/10.1126/scitranslmed.adh2156","An incomplete mechanistic understanding of skeletal muscle wasting early after spinal cord injury (SCI) precludes targeted molecular interventions. Here, we demonstrated systemic wasting that also affected innervated nonparalyzed (supralesional) muscles and emerged within 1 week after experimental SCI in mice. Systemic muscle wasting caused muscle weakness, affected fast type 2 myofibers preferentially, and became exacerbated after high (T3) compared with low (T9) thoracic paraplegia, indicating lesion level–dependent (“neurogenic”) mechanisms. The wasting of nonparalyzed muscle and its rapid onset and severity beyond what can be explained by disuse implied unknown systemic drivers. Muscle transcriptome and biochemical analysis revealed a glucocorticoid-mediated catabolic signature early after T3 SCI. SCI-induced systemic muscle wasting was mitigated by (i) endogenous glucocorticoid ablation (adrenalectomy) and (ii) pharmacological glucocorticoid receptor (GR) blockade and was (iii) completely prevented after T3 relative to T9 SCI by genetic muscle-specific GR deletion. These results suggest that neurogenic hypercortisolism contributes to a rapid systemic and functionally relevant muscle wasting syndrome early after paraplegic SCI in mice.","2023-12-20","2024-05-26 07:00:14","2024-05-26 07:13:50","2024-05-26 07:00:14","eadh2156","","727","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/EXM44E2D/Harrigan et al. - 2023 - Lesion level–dependent systemic muscle wasting aft.pdf","","Others","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFEDXJFC","journalArticle","2023","Zhang, Cheng; Yu, Jiao-jiao; Yang, Chen; Yuan, Zhen-long; Zeng, Hui; Wang, Jun-jian; Shang, Shuang; Lv, Xiao-xi; Liu, Xiao-tong; Liu, Jing; Xue, Qi; Cui, Bing; Tan, Feng-wei; Hua, Fang","Wild-type IDH1 maintains NSCLC stemness and chemoresistance through activation of the serine biosynthetic pathway","Science Translational Medicine","","","10.1126/scitranslmed.ade4113","https://www.science.org/doi/10.1126/scitranslmed.ade4113","Tumor-initiating cells (TICs) reprogram their metabolic features to meet their bioenergetic, biosynthetic, and redox demands. Our previous study established a role for wild-type isocitrate dehydrogenase 1 (IDH1WT) as a potential diagnostic and prognostic biomarker for non–small cell lung cancer (NSCLC), but how IDH1WT modulates NSCLC progression remains elusive. Here, we report that IDH1WT activates serine biosynthesis by enhancing the expression of phosphoglycerate dehydrogenase (PHGDH) and phosphoserine aminotransferase 1 (PSAT1), the first and second enzymes of de novo serine synthetic pathway. Augmented serine synthesis leads to GSH/ROS imbalance and supports pyrimidine biosynthesis, maintaining tumor initiation capacity and enhancing gemcitabine chemoresistance. Mechanistically, we identify that IDH1WT interacts with and stabilizes PHGDH and fragile X–related protein-1 (FXR1) by impeding their association with the E3 ubiquitin ligase parkin by coimmunoprecipitation assay and proximity ligation assay. Subsequently, stabilized FXR1 supports PSAT1 mRNA stability and translation, as determined by actinomycin D chase experiment and in vitro translation assay. Disrupting IDH1WT-PHGDH and IDH1WT-FXR1 interactions synergistically reduces NSCLC stemness and sensitizes NSCLC cells to gemcitabine and serine/glycine–depleted diet therapy in lung cancer xenograft models. Collectively, our findings offer insights into the role of IDH1WT in serine metabolism, highlighting IDH1WT as a potential therapeutic target for eradicating TICs and overcoming gemcitabine chemoresistance in NSCLC.","2023-12-13","2024-05-26 07:00:17","2024-05-26 07:16:31","2024-05-26 07:00:17","eade4113","","726","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/CRIDTZCY/Zhang et al. - 2023 - Wild-type IDH1 maintains NSCLC stemness and chemor.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4STYVQ66","journalArticle","2023","Wen, Yumeng; Su, Emily; Xu, Leyuan; Menez, Steven; Moledina, Dennis G.; Obeid, Wassim; Palevsky, Paul M.; Mansour, Sherry G.; Devarajan, Prasad; Cantley, Lloyd G.; Cahan, Patrick; Parikh, Chirag R.; Kidney Precision Medicine Project; TRANSLATIONAL INVESTIGATION OF BIOMARKER ENDPOINT OF ACUTE KIDNEY INJURY","Analysis of the human kidney transcriptome and plasma proteome identifies markers of proximal tubule maladaptation to injury","Science Translational Medicine","","","10.1126/scitranslmed.ade7287","https://www.science.org/doi/10.1126/scitranslmed.ade7287","Acute kidney injury (AKI) is a major risk factor for long-term adverse outcomes, including chronic kidney disease. In mouse models of AKI, maladaptive repair of the injured proximal tubule (PT) prevents complete tissue recovery. However, evidence for PT maladaptation and its etiological relationship with complications of AKI is lacking in humans. We performed single-nucleus RNA sequencing of 120,985 nuclei in kidneys from 17 participants with AKI and seven healthy controls from the Kidney Precision Medicine Project. Maladaptive PT cells, which exhibited transcriptomic features of dedifferentiation and enrichment in pro-inflammatory and profibrotic pathways, were present in participants with AKI of diverse etiologies. To develop plasma markers of PT maladaptation, we analyzed the plasma proteome in two independent cohorts of patients undergoing cardiac surgery and a cohort of marathon runners, linked it to the transcriptomic signatures associated with maladaptive PT, and identified nine proteins whose genes were specifically up- or down-regulated by maladaptive PT. After cardiac surgery, both cohorts of patients had increased transforming growth factor–β2 (TGFB2), collagen type XXIII-α1 (COL23A1), and X-linked neuroligin 4 (NLGN4X) and had decreased plasminogen (PLG), ectonucleotide pyrophosphatase/phosphodiesterase 6 (ENPP6), and protein C (PROC). Similar changes were observed in marathon runners with exercise-associated kidney injury. Postoperative changes in these markers were associated with AKI progression in adults after cardiac surgery and post-AKI kidney atrophy in mouse models of ischemia-reperfusion injury and toxic injury. Our results demonstrate the feasibility of a multiomics approach to discovering noninvasive markers and associating PT maladaptation with adverse clinical outcomes.","2023-12-13","2024-05-26 07:00:19","2024-05-26 07:16:54","2024-05-26 07:00:19","eade7287","","726","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/4QYPH66I/Wen et al. - 2023 - Analysis of the human kidney transcriptome and pla.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUG7VKZA","journalArticle","2023","Limnander, Andre; Kaur, Navneet; Asrat, Seblewongel; Tasker, Carley; Boyapati, Anita; Ben, Li-Hong; Janczy, John; Pedraza, Paulina; Abreu, Pablo; Chen, Wen-Chi; Godin, Stephen; Daniel, Benjamin J.; Chin, Harvey; DeVeaux, Michelle; Rodriguez Lorenc, Karen; Sirulnik, Andres; Harari, Olivier; Stahl, Neil; Sleeman, Matthew A.; Murphy, Andrew J.; Yancopoulos, George D.; Orengo, Jamie M.","A therapeutic strategy to target distinct sources of IgE and durably reverse allergy","Science Translational Medicine","","","10.1126/scitranslmed.adf9561","https://www.science.org/doi/10.1126/scitranslmed.adf9561","Immunoglobulin E (IgE) is a key driver of type 1 hypersensitivity reactions and allergic disorders, which are globally increasing in number and severity. Although eliminating pathogenic IgE may be a powerful way to treat allergy, no therapeutic strategy reported to date can fully ablate IgE production. Interleukin-4 receptor α (IL-4Rα) signaling is required for IgE class switching, and IL-4Rα blockade gradually reduces, but does not eliminate, IgE. The persistence of IgE after IL-4Rα blockade may be due to long-lived IgE+ plasma cells that maintain serological memory to allergens and thus may be susceptible to plasma cell–targeted therapeutics. We demonstrate that transient administration of a B cell maturation antigen x CD3 (BCMAxCD3) bispecific antibody markedly depletes IgE, as well as other immunoglobulins, by ablating long-lived plasma cells, although IgE and other immunoglobulins rapidly rebound after treatment. Concomitant IL-4Rα blockade specifically and durably prevents the reemergence of IgE by blocking IgE class switching while allowing the restoration of other immunoglobulins. Moreover, this combination treatment prevented anaphylaxis in mice. Together with additional cynomolgus monkey and human data, our studies demonstrate that allergic memory is primarily maintained by both non-IgE+ memory B cells that require class switching and long-lived IgE+ plasma cells. Our combination approach to durably eliminate pathogenic IgE has potential to benefit allergy in humans while preserving antibody-mediated immunity.","2023-12-13","2024-05-26 07:00:20","2024-05-26 07:17:43","2024-05-26 07:00:20","eadf9561","","726","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/FAFAZKHN/Limnander et al. - 2023 - A therapeutic strategy to target distinct sources .pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"395WYMW5","journalArticle","2023","González, Silvia; Wall, Richard J.; Thomas, John; Braillard, Stephanie; Brunori, Gino; Camino Díaz, Isabel; Cantizani, Juan; Carvalho, Sandra; Castañeda Casado, Pablo; Chatelain, Eric; Cotillo, Ignacio; Fiandor, Jose M.; Francisco, Amanda Fortes; Grimsditch, David; Keenan, Martine; Kelly, John M.; Kessler, Albane; Luise, Chiara; Lyon, Jon J.; MacLean, Lorna; Marco, Maria; Martin, J. Julio; Martinez Martinez, Maria S.; Paterson, Christy; Read, Kevin D.; Santos-Villarejo, Angel; Zuccotto, Fabio; Wyllie, Susan; Miles, Tim J.; De Rycker, Manu","Short-course combination treatment for experimental chronic Chagas disease","Science Translational Medicine","","","10.1126/scitranslmed.adg8105","https://www.science.org/doi/10.1126/scitranslmed.adg8105","Chagas disease, caused by the protozoan parasite Trypanosoma cruzi, affects millions of people in the Americas and across the world, leading to considerable morbidity and mortality. Current treatment options, benznidazole (BNZ) and nifurtimox, offer limited efficacy and often lead to adverse side effects because of long treatment durations. Better treatment options are therefore urgently required. Here, we describe a pyrrolopyrimidine series, identified through phenotypic screening, that offers an opportunity to improve on current treatments. In vitro cell-based washout assays demonstrate that compounds in the series are incapable of killing all parasites; however, combining these pyrrolopyrimidines with a subefficacious dose of BNZ can clear all parasites in vitro after 5 days. These findings were replicated in a clinically predictive in vivo model of chronic Chagas disease, where 5 days of treatment with the combination was sufficient to prevent parasite relapse. Comprehensive mechanism of action studies, supported by ligand-structure modeling, show that compounds from this pyrrolopyrimidine series inhibit the Qi active site of T. cruzi cytochrome b, part of the cytochrome bc1 complex of the electron transport chain. Knowledge of the molecular target enabled a cascade of assays to be assembled to evaluate selectivity over the human cytochrome b homolog. As a result, a highly selective and efficacious lead compound was identified. The combination of our lead compound with BNZ rapidly clears T. cruzi parasites, both in vitro and in vivo, and shows great potential to overcome key issues associated with currently available treatments.","2023-12-13","2024-05-26 07:00:22","2024-05-26 07:17:59","2024-05-26 07:00:21","eadg8105","","726","15","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/N9M57RZ2/González et al. - 2023 - Short-course combination treatment for experimenta.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
