"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8BYHRMC3","journalArticle","2023","Heydenreich, Franziska M.; Marti-Solano, Maria; Sandhu, Manbir; Kobilka, Brian K.; Bouvier, Michel; Babu, M. Madan","Molecular determinants of ligand efficacy and potency in GPCR signaling","Science","","","10.1126/science.adh1859","https://www.science.org/doi/10.1126/science.adh1859","Heterotrimeric guanine nucleotide–binding protein (G protein)–coupled receptors (GPCRs) bind to extracellular ligands and drugs and modulate intracellular responses through conformational changes. Despite their importance as drug targets, the molecular origins of pharmacological properties such as efficacy (maximum signaling response) and potency (the ligand concentration at half-maximal response) remain poorly understood for any ligand-receptor-signaling system. We used the prototypical adrenaline–β2 adrenergic receptor–G protein system to reveal how specific receptor residues decode and translate the information encoded in a ligand to mediate a signaling response. We present a data science framework to integrate pharmacological and structural data to uncover structural changes and allosteric networks relevant for ligand pharmacology. These methods can be tailored to study any ligand-receptor-signaling system, and the principles open possibilities for designing orthosteric and allosteric compounds with defined signaling properties.","2023-12-22","2024-07-04 21:41:52","2024-07-04 21:51:34","2024-07-04 21:41:52","eadh1859","","6677","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/I634TDJQ/Heydenreich et al. - 2023 - Molecular determinants of ligand efficacy and pote.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26FUNYBS","journalArticle","2023","Koscher, Brent A.; Canty, Richard B.; McDonald, Matthew A.; Greenman, Kevin P.; McGill, Charles J.; Bilodeau, Camille L.; Jin, Wengong; Wu, Haoyang; Vermeire, Florence H.; Jin, Brooke; Hart, Travis; Kulesza, Timothy; Li, Shih-Cheng; Jaakkola, Tommi S.; Barzilay, Regina; Gómez-Bombarelli, Rafael; Green, William H.; Jensen, Klavs F.","Autonomous, multiproperty-driven molecular discovery: From predictions to measurements and back","Science","","","10.1126/science.adi1407","https://www.science.org/doi/10.1126/science.adi1407","A closed-loop, autonomous molecular discovery platform driven by integrated machine learning tools was developed to accelerate the design of molecules with desired properties. We demonstrated two case studies on dye-like molecules, targeting absorption wavelength, lipophilicity, and photooxidative stability. In the first study, the platform experimentally realized 294 unreported molecules across three automatic iterations of molecular design-make-test-analyze cycles while exploring the structure-function space of four rarely reported scaffolds. In each iteration, the property prediction models that guided exploration learned the structure-property space of diverse scaffold derivatives, which were realized with multistep syntheses and a variety of reactions. The second study exploited property models trained on the explored chemical space and previously reported molecules to discover nine top-performing molecules within a lightly explored structure-property space.","2023-12-22","2024-07-04 21:41:54","2024-07-04 21:51:02","2024-07-04 21:41:54","eadi1407","","6677","382","","","Autonomous, multiproperty-driven molecular discovery","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/QU6MZE4W/Koscher et al. - 2023 - Autonomous, multiproperty-driven molecular discove.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKCZWPGN","journalArticle","2023","Chen, Xizi; Liu, Weida; Wang, Qianmin; Wang, Xinxin; Ren, Yulei; Qu, Xuechun; Li, Wanjun; Xu, Yanhui","Structural visualization of transcription initiation in action","Science","","","10.1126/science.adi5120","https://www.science.org/doi/10.1126/science.adi5120","Transcription initiation is a complex process, and its mechanism is incompletely understood. We determined the structures of de novo transcribing complexes TC2 to TC17 with RNA polymerase II halted on G-less promoters when nascent RNAs reach 2 to 17 nucleotides in length, respectively. Connecting these structures generated a movie and a working model. As initially synthesized RNA grows, general transcription factors (GTFs) remain bound to the promoter and the transcription bubble expands. Nucleoside triphosphate (NTP)–driven RNA-DNA translocation and template-strand accumulation in a nearly sealed channel may promote the transition from initially transcribing complexes (ITCs) (TC2 to TC9) to early elongation complexes (EECs) (TC10 to TC17). Our study shows dynamic processes of transcription initiation and reveals why ITCs require GTFs and bubble expansion for initial RNA synthesis, whereas EECs need GTF dissociation from the promoter and bubble collapse for promoter escape.","2023-12-22","2024-07-04 21:41:55","2024-07-04 21:51:46","2024-07-04 21:41:55","eadi5120","","6677","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/F6ZQBHC9/Chen et al. - 2023 - Structural visualization of transcription initiati.pdf","","No bar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FCYD7JBQ","journalArticle","2023","Lau, Sally C. Y.; Wilson, Nerida G.; Golledge, Nicholas R.; Naish, Tim R.; Watts, Phillip C.; Silva, Catarina N. S.; Cooke, Ira R.; Allcock, A. Louise; Mark, Felix C.; Linse, Katrin; Strugnell, Jan M.","Genomic evidence for West Antarctic Ice Sheet collapse during the Last Interglacial","Science","","","10.1126/science.ade0664","https://www.science.org/doi/10.1126/science.ade0664","The marine-based West Antarctic Ice Sheet (WAIS) is considered vulnerable to irreversible collapse under future climate trajectories, and its tipping point may lie within the mitigated warming scenarios of 1.5° to 2°C of the United Nations Paris Agreement. Knowledge of ice loss during similarly warm past climates could resolve this uncertainty, including the Last Interglacial when global sea levels were 5 to 10 meters higher than today and global average temperatures were 0.5° to 1.5°C warmer than preindustrial levels. Using a panel of genome-wide, single-nucleotide polymorphisms of a circum-Antarctic octopus, we show persistent, historic signals of gene flow only possible with complete WAIS collapse. Our results provide the first empirical evidence that the tipping point of WAIS loss could be reached even under stringent climate mitigation scenarios.","2023-12-22","2024-07-04 21:41:57","2024-07-04 21:50:31","2024-07-04 21:41:57","1384-1389","","6677","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/GYKPJQGW/Lau et al. - 2023 - Genomic evidence for West Antarctic Ice Sheet coll.pdf","","No bar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLKXBNC9","journalArticle","2023","Zhu, Hanwen; Tonelli, Francesca; Turk, Martin; Prescott, Alan; Alessi, Dario R.; Sun, Ji","Rab29-dependent asymmetrical activation of leucine-rich repeat kinase 2","Science","","","10.1126/science.adi9926","https://www.science.org/doi/10.1126/science.adi9926","Gain-of-function mutations in LRRK2, which encodes the leucine-rich repeat kinase 2 (LRRK2), are the most common genetic cause of late-onset Parkinson’s disease. LRRK2 is recruited to membrane organelles and activated by Rab29, a Rab guanosine triphosphatase encoded in the PARK16 locus. We present cryo–electron microscopy structures of Rab29–LRRK2 complexes in three oligomeric states, providing key snapshots during LRRK2 recruitment and activation. Rab29 induces an unexpected tetrameric assembly of LRRK2, formed by two kinase-active central protomers and two kinase-inactive peripheral protomers. The central protomers resemble the active-like state trapped by the type I kinase inhibitor DNL201, a compound that underwent a phase 1 clinical trial. Our work reveals the structural mechanism of LRRK2 spatial regulation and provides insights into LRRK2 inhibitor design for Parkinson’s disease treatment.","2023-12-22","2024-07-04 21:42:00","2024-07-04 21:49:37","2024-07-04 21:42:00","1404-1411","","6677","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/HU6FYJZP/Zhu et al. - 2023 - Rab29-dependent asymmetrical activation of leucine.pdf","","Zero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EVURDPAB","journalArticle","2023","Miyashita, Tomoyuki; Murakami, Kanako; Kikuchi, Emi; Ofusa, Kyouko; Mikami, Kyohei; Endo, Kentaro; Miyaji, Takaaki; Moriyama, Sawako; Konno, Kotaro; Muratani, Hinako; Moriyama, Yoshinori; Watanabe, Masahiko; Horiuchi, Junjiro; Saitoe, Minoru","Glia transmit negative valence information during aversive learning in Drosophila","Science","","","10.1126/science.adf7429","https://www.science.org/doi/10.1126/science.adf7429","During Drosophila aversive olfactory conditioning, aversive shock information needs to be transmitted to the mushroom bodies (MBs) to associate with odor information. We report that aversive information is transmitted by ensheathing glia (EG) that surround the MBs. Shock induces vesicular exocytosis of glutamate from EG. Blocking exocytosis impairs aversive learning, whereas activation of EG can replace aversive stimuli during conditioning. Glutamate released from EG binds to N-methyl-d-aspartate receptors in the MBs, but because of Mg2+ block, Ca2+ influx occurs only when flies are simultaneously exposed to an odor. Vesicular exocytosis from EG also induces shock-associated dopamine release, which plays a role in preventing formation of inappropriate associations. These results demonstrate that vesicular glutamate released from EG transmits negative valence information required for associative learning.","2023-12-15","2024-07-04 21:42:04","2024-07-04 21:52:54","2024-07-04 21:42:04","eadf7429","","6677","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/DZGLQLMM/Miyashita et al. - 2023 - Glia transmit negative valence information during .pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYV7AAH3","journalArticle","2023","Li, Lijia; Lai, Fangnong; Hu, Xiaoyu; Liu, Bofeng; Lu, Xukun; Lin, Zili; Liu, Ling; Xiang, Yunlong; Frum, Tristan; Halbisen, Michael A.; Chen, Fengling; Fan, Qiang; Ralston, Amy; Xie, Wei","Multifaceted SOX2-chromatin interaction underpins pluripotency progression in early embryos","Science","","","10.1126/science.adi5516","https://www.science.org/doi/10.1126/science.adi5516","Pioneer transcription factors (TFs), such as OCT4 and SOX2, play crucial roles in pluripotency regulation. However, the master TF-governed pluripotency regulatory circuitry was largely inferred from cultured cells. In this work, we investigated SOX2 binding from embryonic day 3.5 (E3.5) to E7.5 in the mouse. In E3.5 inner cell mass (ICM), SOX2 regulates the ICM-trophectoderm program but is dispensable for opening global enhancers. Instead, SOX2 occupies preaccessible enhancers in part opened by early-stage expressing TFs TFAP2C and NR5A2. SOX2 then widely redistributes when cells adopt naive and formative pluripotency by opening enhancers or poising them for rapid future activation. Hence, multifaceted pioneer TF–enhancer interaction underpins pluripotency progression in embryos, including a distinctive state in E3.5 ICM that bridges totipotency and pluripotency.","2023-12-15","2024-07-04 21:42:06","2024-07-04 21:53:42","2024-07-04 21:42:06","eadi5516","","6676","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/PDN5FCZA/Li et al. - 2023 - Multifaceted SOX2-chromatin interaction underpins .pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZFVS53L","journalArticle","2023","Spragge, Frances; Bakkeren, Erik; Jahn, Martin T.; B. N. Araujo, Elizete; Pearson, Claire F.; Wang, Xuedan; Pankhurst, Louise; Cunrath, Olivier; Foster, Kevin R.","Microbiome diversity protects against pathogens by nutrient blocking","Science","","","10.1126/science.adj3502","https://www.science.org/doi/10.1126/science.adj3502","The human gut microbiome plays an important role in resisting colonization of the host by pathogens, but we lack the ability to predict which communities will be protective. We studied how human gut bacteria influence colonization of two major bacterial pathogens, both in vitro and in gnotobiotic mice. Whereas single species alone had negligible effects, colonization resistance greatly increased with community diversity. Moreover, this community-level resistance rested critically upon certain species being present. We explained these ecological patterns through the collective ability of resistant communities to consume nutrients that overlap with those used by the pathogen. Furthermore, we applied our findings to successfully predict communities that resist a novel target strain. Our work provides a reason why microbiome diversity is beneficial and suggests a route for the rational design of pathogen-resistant communities.","2023-12-15","2024-07-04 21:42:07","2024-07-04 21:52:31","2024-07-04 21:42:07","eadj3502","","6676","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/X9CBN9JZ/Spragge et al. - 2023 - Microbiome diversity protects against pathogens by.pdf","","No bar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84R8W7KI","journalArticle","2023","Migueles, Stephen A.; Nettere, Danielle M.; Gavil, Noah V.; Wang, Lawrence T.; Toulmin, Sushila A.; Kelly, Elizabeth P.; Ward, Addison J.; Lin, Siying; Thompson, Sarah A.; Peterson, Bennett A.; Abdeen, Cassidy S.; Sclafani, Carina R.; Pryal, Patrick F.; Leach, Benjamin G.; Ludwig, Amanda K.; Rogan, Daniel C.; Przygonska, Paulina A.; Cattani, Angela; Imamichi, Hiromi; Sachs, Abraham; Cafri, Gal; Huang, Ning-Na; Patamawenu, Andy; Liang, C. Jason; Hallahan, Claire W.; Kambach, Diane M.; Han, Edward X.; Coupet, Tiffany; Chen, Jonathan; Moir, Susan L.; Chun, Tae-Wook; Coates, Emily E.; Ledgerwood, Julie; Schmidt, Julien; Taillandier-Coindard, Marie; Michaux, Justine; Pak, HuiSong; Bassani-Sternberg, Michal; Frahm, Nicole; McElrath, M. Juliana; Connors, Mark","HIV vaccines induce CD8+ T cells with low antigen receptor sensitivity","Science","","","10.1126/science.adg0514","https://www.science.org/doi/10.1126/science.adg0514","Current HIV vaccines designed to stimulate CD8+ T cells have failed to induce immunologic control upon infection. The functions of vaccine-induced HIV-specific CD8+ T cells were investigated here in detail. Cytotoxic capacity was significantly lower than in HIV controllers and was not a consequence of low frequency or unaccumulated functional cytotoxic proteins. Low cytotoxic capacity was attributable to impaired degranulation in response to the low antigen levels present on HIV-infected targets. The vaccine-induced T cell receptor (TCR) repertoire was polyclonal and transduction of these TCRs conferred the same reduced functions. These results define a mechanism accounting for poor antiviral activity induced by these vaccines and suggest that an effective CD8+ T cell response may require a vaccination strategy that drives further TCR clonal selection.","2023-12-15","2024-07-04 21:42:11","2024-07-04 21:53:04","2024-07-04 21:42:11","1270-1276","","6676","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/FIAXYZC4/Migueles et al. - 2023 - HIV vaccines induce CD8+ T cells with low antigen .pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISMG53GE","journalArticle","2023","Fiddaman, Steven R.; Dimopoulos, Evangelos A.; Lebrasseur, Ophélie; du Plessis, Louis; Vrancken, Bram; Charlton, Sophy; Haruda, Ashleigh F.; Tabbada, Kristina; Flammer, Patrik G.; Dascalu, Stefan; Marković, Nemanja; Li, Hannah; Franklin, Gabrielle; Symmons, Robert; Baron, Henriette; Daróczi-Szabó, László; Shaymuratova, Dilyara N.; Askeyev, Igor V.; Putelat, Olivier; Sana, Maria; Davoudi, Hossein; Fathi, Homa; Mucheshi, Amir Saed; Vahdati, Ali Akbar; Zhang, Liangren; Foster, Alison; Sykes, Naomi; Baumberg, Gabrielle Cass; Bulatović, Jelena; Askeyev, Arthur O.; Askeyev, Oleg V.; Mashkour, Marjan; Pybus, Oliver G.; Nair, Venugopal; Larson, Greger; Smith, Adrian L.; Frantz, Laurent A. F.","Ancient chicken remains reveal the origins of virulence in Marek’s disease virus","Science","","","10.1126/science.adg2238","https://www.science.org/doi/10.1126/science.adg2238","The pronounced growth in livestock populations since the 1950s has altered the epidemiological and evolutionary trajectory of their associated pathogens. For example, Marek’s disease virus (MDV), which causes lymphoid tumors in chickens, has experienced a marked increase in virulence over the past century. Today, MDV infections kill >90% of unvaccinated birds, and controlling it costs more than US$1 billion annually. By sequencing MDV genomes derived from archeological chickens, we demonstrate that it has been circulating for at least 1000 years. We functionally tested the Meq oncogene, one of 49 viral genes positively selected in modern strains, demonstrating that ancient MDV was likely incapable of driving tumor formation. Our results demonstrate the power of ancient DNA approaches to trace the molecular basis of virulence in economically relevant pathogens.","2023-12-15","2024-07-04 21:42:13","2024-07-04 21:54:18","2024-07-04 21:42:13","1276-1281","","6676","382","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","/Users/tlin/Zotero/storage/TTZYYX29/Fiddaman et al. - 2023 - Ancient chicken remains reveal the origins of viru.pdf","","No problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
